A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
?,199.0,2.0,2.0,4.0,65.0,?,2.0,87.0,133.0,?,1.0,1.0,0.0,1
?,185.0,2.0,10.0,2.0,1.0,1.0,?,45.0,156.0,1.0,?,0.0,1.0,0
238.0,118.0,2.0,11.0,4.0,2.0,2.0,2.0,69.0,94.0,1.0,1.0,1.0,0.0,1
?,79.0,2.0,7.0,4.0,73.0,1.0,1.0,?,1.0,1.0,0.0,0.0,1.0,0
173.0,82.0,2.0,4.0,4.0,14.0,1.0,2.0,84.0,1.0,1.0,0.0,0.0,1.0,0
70.0,14.0,2.0,3.0,?,9.0,1.0,1.0,47.0,1.0,0.0,0.0,?,1.0,0
?,66.0,2.0,3.0,4.0,26.0,?,2.0,73.0,1.0,1.0,0.0,0.0,1.0,0
78.0,1.0,2.0,8.0,4.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,0.0,0.0,1
115.0,95.0,1.0,?,5.0,58.0,1.0,2.0,69.0,160.0,1.0,0.0,0.0,0.0,0
?,203.0,2.0,2.0,?,126.0,18.0,2.0,?,1.0,1.0,1.0,?,1.0,1
322.0,92.0,1.0,1.0,1.0,85.0,1.0,2.0,1.0,?,0.0,0.0,?,1.0,0
48.0,151.0,1.0,8.0,4.0,58.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,1
104.0,17.0,2.0,8.0,8.0,24.0,?,2.0,151.0,1.0,0.0,1.0,0.0,?,1
49.0,40.0,1.0,8.0,8.0,34.0,4.0,2.0,45.0,79.0,1.0,?,1.0,1.0,0
1.0,87.0,1.0,9.0,4.0,43.0,3.0,2.0,?,150.0,?,1.0,1.0,?,1
290.0,214.0,?,1.0,1.0,?,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0
134.0,84.0,2.0,6.0,4.0,7.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,1.0,0
54.0,1.0,2.0,8.0,4.0,14.0,1.0,1.0,?,1.0,1.0,0.0,?,1.0,0
13.0,79.0,2.0,3.0,4.0,9.0,1.0,2.0,45.0,3.0,1.0,0.0,0.0,1.0,0
122.0,180.0,?,6.0,5.0,7.0,1.0,2.0,165.0,1.0,?,?,0.0,?,0
127.0,55.0,2.0,4.0,8.0,77.0,3.0,2.0,64.0,1.0,1.0,1.0,1.0,1.0,1
47.0,1.0,2.0,8.0,4.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,0.0,0.0,0
321.0,177.0,2.0,7.0,4.0,31.0,5.0,2.0,69.0,1.0,1.0,1.0,1.0,1.0,1
234.0,51.0,1.0,7.0,4.0,5.0,1.0,1.0,131.0,?,?,0.0,0.0,0.0,0
85.0,20.0,1.0,13.0,8.0,4.0,1.0,2.0,86.0,2.0,1.0,?,0.0,?,0
19.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0
281.0,11.0,2.0,?,?,?,20.0,2.0,1.0,233.0,1.0,1.0,1.0,0.0,1
239.0,119.0,?,6.0,5.0,73.0,2.0,?,1.0,115.0,1.0,1.0,1.0,0.0,1
75.0,?,2.0,11.0,4.0,7.0,1.0,2.0,38.0,140.0,0.0,0.0,0.0,1.0,0
?,54.0,?,8.0,8.0,80.0,1.0,2.0,92.0,77.0,1.0,1.0,?,0.0,1
?,47.0,2.0,9.0,4.0,74.0,6.0,2.0,?,4.0,?,?,1.0,1.0,1
95.0,175.0,2.0,4.0,4.0,52.0,3.0,2.0,38.0,?,1.0,1.0,1.0,?,0
73.0,169.0,2.0,?,4.0,11.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0
343.0,196.0,2.0,10.0,9.0,1.0,15.0,?,1.0,204.0,0.0,1.0,?,0.0,1
91.0,187.0,?,1.0,1.0,1.0,1.0,2.0,65.0,1.0,1.0,0.0,0.0,0.0,0
149.0,36.0,1.0,8.0,?,2.0,?,2.0,58.0,73.0,1.0,0.0,0.0,?,0
81.0,20.0,2.0,?,8.0,3.0,1.0,2.0,63.0,1.0,1.0,1.0,0.0,0.0,0
61.0,173.0,2.0,8.0,4.0,7.0,1.0,2.0,63.0,1.0,0.0,0.0,0.0,1.0,0
?,8.0,1.0,4.0,4.0,7.0,12.0,2.0,124.0,197.0,1.0,1.0,1.0,0.0,1
141.0,55.0,1.0,10.0,8.0,47.0,1.0,?,91.0,18.0,?,0.0,0.0,0.0,0
?,180.0,1.0,4.0,8.0,31.0,?,2.0,1.0,?,1.0,0.0,0.0,1.0,0
262.0,61.0,2.0,3.0,5.0,20.0,1.0,2.0,159.0,1.0,1.0,?,0.0,0.0,0
72.0,26.0,2.0,3.0,4.0,39.0,2.0,2.0,?,10.0,1.0,0.0,1.0,1.0,0
347.0,201.0,2.0,1.0,1.0,1.0,?,?,1.0,1.0,1.0,1.0,0.0,1.0,1
299.0,151.0,2.0,3.0,5.0,1.0,12.0,2.0,?,?,1.0,1.0,1.0,0.0,1
141.0,19.0,2.0,9.0,4.0,8.0,2.0,2.0,111.0,198.0,?,0.0,1.0,0.0,0
104.0,26.0,2.0,8.0,5.0,?,?,2.0,113.0,24.0,1.0,1.0,0.0,0.0,1
273.0,87.0,2.0,5.0,?,1.0,1.0,2.0,32.0,?,0.0,1.0,0.0,0.0,1
304.0,1.0,?,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
79.0,46.0,?,11.0,4.0,55.0,4.0,2.0,1.0,122.0,1.0,1.0,1.0,1.0,1
252.0,15.0,2.0,8.0,8.0,6.0,7.0,2.0,77.0,147.0,1.0,1.0,1.0,0.0,1
193.0,88.0,1.0,3.0,?,110.0,8.0,2.0,?,1.0,1.0,1.0,1.0,1.0,1
145.0,56.0,1.0,14.0,8.0,2.0,1.0,2.0,40.0,2.0,?,0.0,0.0,0.0,0
181.0,77.0,?,14.0,4.0,69.0,4.0,2.0,124.0,1.0,1.0,1.0,1.0,1.0,1
332.0,47.0,2.0,11.0,?,4.0,1.0,2.0,92.0,1.0,1.0,1.0,?,1.0,1
315.0,125.0,2.0,4.0,8.0,100.0,?,2.0,32.0,36.0,0.0,1.0,1.0,1.0,0
12.0,12.0,1.0,4.0,4.0,8.0,1.0,?,69.0,?,1.0,0.0,0.0,0.0,0
208.0,102.0,2.0,8.0,5.0,58.0,7.0,?,1.0,104.0,1.0,1.0,1.0,0.0,1
173.0,18.0,2.0,13.0,4.0,2.0,1.0,?,141.0,230.0,0.0,1.0,0.0,0.0,1
72.0,26.0,2.0,8.0,4.0,47.0,3.0,2.0,69.0,107.0,0.0,?,1.0,1.0,0
99.0,57.0,2.0,8.0,8.0,63.0,1.0,2.0,117.0,2.0,0.0,1.0,0.0,1.0,0
95.0,167.0,2.0,?,4.0,58.0,18.0,2.0,69.0,159.0,1.0,1.0,1.0,0.0,1
232.0,144.0,2.0,7.0,4.0,?,15.0,2.0,?,211.0,1.0,1.0,1.0,0.0,1
7.0,26.0,2.0,8.0,4.0,43.0,6.0,2.0,?,130.0,1.0,1.0,1.0,1.0,1
163.0,17.0,2.0,8.0,5.0,23.0,1.0,1.0,107.0,1.0,1.0,1.0,0.0,1.0,0
99.0,?,2.0,8.0,4.0,8.0,8.0,2.0,30.0,?,1.0,1.0,?,1.0,1
210.0,26.0,1.0,?,4.0,16.0,1.0,2.0,86.0,?,1.0,0.0,0.0,0.0,0
?,148.0,2.0,8.0,4.0,7.0,1.0,2.0,45.0,1.0,?,1.0,0.0,0.0,0
142.0,95.0,2.0,9.0,4.0,104.0,3.0,2.0,109.0,1.0,1.0,1.0,?,1.0,1
137.0,196.0,2.0,8.0,8.0,91.0,12.0,2.0,1.0,191.0,?,1.0,1.0,0.0,1
82.0,70.0,2.0,1.0,?,?,1.0,2.0,53.0,25.0,1.0,0.0,0.0,0.0,0
70.0,135.0,1.0,14.0,4.0,57.0,1.0,2.0,55.0,1.0,0.0,?,0.0,0.0,1
42.0,123.0,?,8.0,?,14.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0
276.0,185.0,2.0,3.0,5.0,89.0,10.0,2.0,1.0,1.0,0.0,1.0,1.0,?,1
159.0,75.0,2.0,8.0,4.0,58.0,3.0,?,53.0,33.0,1.0,0.0,1.0,1.0,0
310.0,?,2.0,10.0,4.0,112.0,?,2.0,1.0,1.0,1.0,1.0,1.0,?,1
334.0,200.0,?,?,4.0,117.0,?,2.0,?,229.0,0.0,1.0,0.0,1.0,1
164.0,26.0,?,6.0,?,73.0,1.0,2.0,?,1.0,1.0,0.0,0.0,1.0,0
251.0,32.0,2.0,14.0,4.0,58.0,1.0,2.0,153.0,125.0,1.0,1.0,0.0,0.0,1
41.0,?,?,8.0,4.0,22.0,6.0,2.0,45.0,6.0,0.0,?,1.0,1.0,0
323.0,12.0,2.0,3.0,5.0,26.0,1.0,?,88.0,187.0,?,1.0,0.0,1.0,0
198.0,102.0,2.0,14.0,8.0,104.0,7.0,2.0,1.0,?,1.0,?,1.0,1.0,1
79.0,182.0,2.0,8.0,4.0,4.0,3.0,2.0,1.0,217.0,1.0,0.0,?,?,0
281.0,66.0,2.0,7.0,5.0,58.0,13.0,2.0,?,195.0,1.0,1.0,1.0,1.0,1
7.0,12.0,2.0,1.0,1.0,1.0,2.0,2.0,53.0,59.0,0.0,0.0,1.0,?,0
142.0,99.0,?,7.0,4.0,47.0,2.0,2.0,146.0,43.0,1.0,0.0,1.0,1.0,0
81.0,33.0,2.0,?,4.0,?,1.0,1.0,98.0,1.0,1.0,0.0,0.0,?,0
136.0,46.0,1.0,8.0,4.0,37.0,1.0,2.0,1.0,81.0,1.0,1.0,0.0,1.0,0
?,166.0,2.0,14.0,8.0,13.0,2.0,2.0,32.0,1.0,1.0,1.0,1.0,?,1
249.0,47.0,2.0,3.0,5.0,73.0,1.0,2.0,76.0,1.0,1.0,0.0,0.0,0.0,1
108.0,138.0,2.0,6.0,4.0,35.0,1.0,2.0,53.0,66.0,0.0,1.0,0.0,0.0,1
84.0,175.0,2.0,8.0,4.0,49.0,1.0,1.0,24.0,1.0,1.0,0.0,0.0,0.0,0
38.0,?,2.0,11.0,4.0,2.0,1.0,2.0,124.0,1.0,0.0,?,0.0,?,0
92.0,180.0,?,6.0,?,37.0,13.0,2.0,38.0,121.0,0.0,1.0,1.0,1.0,1
72.0,12.0,?,?,4.0,20.0,1.0,1.0,53.0,?,0.0,0.0,0.0,0.0,0
105.0,?,2.0,13.0,?,14.0,1.0,2.0,1.0,?,1.0,0.0,0.0,0.0,0
?,173.0,2.0,14.0,8.0,14.0,3.0,?,102.0,119.0,0.0,1.0,1.0,1.0,1
242.0,?,2.0,3.0,5.0,1.0,1.0,1.0,102.0,1.0,1.0,0.0,0.0,0.0,0
66.0,61.0,2.0,?,4.0,4.0,1.0,?,53.0,?,1.0,0.0,0.0,0.0,0
78.0,?,2.0,?,4.0,3.0,1.0,?,1.0,1.0,?,1.0,?,0.0,1
?,102.0,2.0,?,4.0,10.0,3.0,2.0,1.0,31.0,1.0,1.0,1.0,?,0
83.0,16.0,1.0,9.0,4.0,61.0,7.0,2.0,72.0,100.0,1.0,1.0,1.0,1.0,0
33.0,141.0,1.0,?,4.0,26.0,5.0,2.0,?,115.0,0.0,?,?,1.0,1
176.0,63.0,2.0,2.0,8.0,95.0,1.0,?,101.0,1.0,1.0,0.0,0.0,?,0
204.0,31.0,2.0,6.0,4.0,20.0,5.0,2.0,1.0,175.0,?,1.0,1.0,0.0,1
66.0,176.0,2.0,8.0,4.0,72.0,3.0,2.0,63.0,72.0,1.0,0.0,1.0,1.0,0
331.0,70.0,2.0,9.0,4.0,43.0,6.0,?,18.0,39.0,1.0,1.0,1.0,1.0,1
103.0,78.0,2.0,?,8.0,53.0,2.0,2.0,135.0,22.0,1.0,0.0,1.0,1.0,0
35.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,152.0,2.0,1.0,?,0.0,1.0,1
92.0,73.0,2.0,11.0,?,44.0,19.0,2.0,1.0,115.0,?,1.0,1.0,0.0,1
206.0,67.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,150.0,1.0,0.0,?,?,0
8.0,2.0,2.0,8.0,4.0,2.0,1.0,2.0,1.0,?,1.0,0.0,0.0,?,1
295.0,188.0,2.0,4.0,8.0,?,1.0,2.0,?,1.0,0.0,1.0,0.0,1.0,1
246.0,119.0,2.0,11.0,4.0,14.0,4.0,2.0,48.0,1.0,0.0,?,1.0,1.0,1
11.0,40.0,2.0,11.0,4.0,7.0,2.0,?,34.0,48.0,0.0,0.0,1.0,0.0,0
109.0,10.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
43.0,40.0,2.0,?,?,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
197.0,40.0,1.0,3.0,8.0,14.0,?,2.0,53.0,1.0,0.0,0.0,0.0,1.0,0
25.0,151.0,2.0,9.0,4.0,26.0,2.0,2.0,38.0,2.0,0.0,0.0,1.0,0.0,0
154.0,161.0,2.0,11.0,8.0,3.0,?,2.0,?,4.0,0.0,0.0,1.0,1.0,0
84.0,25.0,2.0,9.0,4.0,7.0,2.0,2.0,86.0,5.0,0.0,0.0,1.0,?,0
15.0,144.0,2.0,6.0,4.0,43.0,11.0,2.0,1.0,11.0,0.0,0.0,1.0,1.0,0
76.0,54.0,2.0,5.0,3.0,1.0,2.0,2.0,69.0,37.0,0.0,0.0,1.0,0.0,0
47.0,127.0,2.0,4.0,4.0,?,2.0,2.0,53.0,83.0,?,1.0,1.0,0.0,1
90.0,186.0,1.0,6.0,4.0,2.0,1.0,2.0,38.0,113.0,1.0,0.0,0.0,1.0,0
225.0,80.0,2.0,9.0,?,76.0,?,?,126.0,168.0,1.0,1.0,1.0,0.0,1
43.0,5.0,2.0,11.0,4.0,26.0,2.0,2.0,86.0,136.0,0.0,?,1.0,0.0,1
85.0,22.0,2.0,8.0,4.0,5.0,1.0,2.0,?,1.0,1.0,0.0,?,0.0,1
90.0,52.0,?,8.0,4.0,5.0,1.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0
179.0,66.0,1.0,9.0,4.0,101.0,1.0,2.0,98.0,1.0,?,0.0,0.0,?,0
188.0,109.0,1.0,8.0,4.0,37.0,1.0,?,18.0,1.0,1.0,?,0.0,?,0
103.0,180.0,2.0,13.0,4.0,30.0,23.0,2.0,45.0,89.0,1.0,1.0,1.0,1.0,1
95.0,180.0,2.0,6.0,4.0,65.0,1.0,1.0,3.0,1.0,1.0,1.0,?,1.0,1
16.0,?,2.0,3.0,4.0,?,1.0,2.0,18.0,50.0,1.0,0.0,0.0,0.0,0
2.0,123.0,2.0,10.0,?,26.0,?,2.0,161.0,1.0,1.0,0.0,0.0,?,0
211.0,92.0,2.0,11.0,4.0,73.0,1.0,?,144.0,36.0,1.0,0.0,0.0,0.0,0
97.0,115.0,2.0,8.0,4.0,26.0,?,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1
152.0,43.0,2.0,9.0,8.0,2.0,4.0,?,1.0,29.0,0.0,0.0,1.0,0.0,0
305.0,43.0,1.0,8.0,8.0,114.0,1.0,2.0,69.0,?,1.0,1.0,0.0,1.0,0
285.0,82.0,2.0,6.0,4.0,73.0,1.0,1.0,82.0,1.0,1.0,1.0,?,0.0,1
?,191.0,2.0,9.0,4.0,111.0,7.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1
?,1.0,2.0,4.0,?,26.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
?,?,2.0,4.0,4.0,3.0,1.0,2.0,116.0,?,1.0,?,?,1.0,0
63.0,18.0,1.0,14.0,4.0,2.0,2.0,2.0,167.0,40.0,1.0,1.0,1.0,?,1
10.0,9.0,?,?,4.0,4.0,1.0,2.0,69.0,2.0,0.0,0.0,?,0.0,0
?,?,2.0,?,5.0,6.0,1.0,2.0,158.0,1.0,?,0.0,0.0,0.0,0
103.0,11.0,1.0,8.0,4.0,37.0,1.0,2.0,53.0,1.0,1.0,0.0,0.0,?,0
124.0,46.0,2.0,7.0,4.0,47.0,1.0,1.0,118.0,1.0,0.0,1.0,0.0,0.0,0
?,27.0,2.0,9.0,4.0,8.0,2.0,2.0,136.0,91.0,1.0,0.0,?,0.0,0
13.0,4.0,1.0,8.0,4.0,2.0,1.0,2.0,45.0,?,1.0,0.0,0.0,0.0,0
229.0,?,2.0,13.0,4.0,73.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,?,1
71.0,?,1.0,6.0,4.0,15.0,?,2.0,38.0,42.0,1.0,?,0.0,1.0,0
95.0,178.0,2.0,13.0,8.0,73.0,7.0,2.0,131.0,112.0,0.0,1.0,1.0,?,1
47.0,160.0,1.0,14.0,8.0,1.0,1.0,2.0,51.0,28.0,0.0,0.0,0.0,1.0,0
40.0,?,2.0,11.0,4.0,47.0,3.0,2.0,24.0,1.0,1.0,?,1.0,1.0,1
90.0,17.0,2.0,11.0,8.0,37.0,1.0,2.0,98.0,141.0,0.0,1.0,0.0,0.0,1
63.0,17.0,2.0,8.0,4.0,4.0,1.0,2.0,117.0,1.0,1.0,0.0,0.0,0.0,0
163.0,?,2.0,2.0,4.0,24.0,1.0,1.0,168.0,1.0,1.0,1.0,0.0,1.0,0
50.0,104.0,1.0,5.0,4.0,8.0,1.0,2.0,?,74.0,1.0,0.0,0.0,0.0,0
82.0,77.0,1.0,4.0,4.0,11.0,2.0,2.0,98.0,?,1.0,0.0,1.0,1.0,0
122.0,193.0,2.0,14.0,8.0,67.0,2.0,?,38.0,12.0,0.0,1.0,1.0,0.0,1
97.0,82.0,2.0,?,4.0,17.0,8.0,?,1.0,223.0,1.0,?,1.0,0.0,1
47.0,123.0,?,8.0,4.0,40.0,4.0,2.0,69.0,170.0,1.0,1.0,1.0,0.0,1
141.0,?,1.0,14.0,?,26.0,1.0,2.0,98.0,14.0,0.0,0.0,0.0,0.0,0
?,30.0,1.0,8.0,8.0,7.0,1.0,2.0,98.0,78.0,1.0,0.0,0.0,0.0,0
23.0,122.0,1.0,7.0,4.0,2.0,1.0,?,45.0,1.0,1.0,0.0,0.0,0.0,0
280.0,132.0,2.0,?,5.0,?,7.0,2.0,123.0,239.0,0.0,1.0,1.0,0.0,1
