height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
?,29.0,174.0,?,0.3389999999999999,?,?,59.0,152.0,?,1
?,?,2142.0,26.444000000000003,0.168,0.614,?,?,1316.0,?,1
8.0,12.0,96.0,1.5,?,0.969,1.65,38.0,?,?,1
?,?,38.0,?,?,?,1.8,?,38.0,5.0,1
12.0,?,?,?,?,?,1.8,?,?,?,1
?,285.0,?,?,0.158,0.165,?,?,4287.0,36.0,0
?,?,306.0,3.778,?,0.8859999999999999,?,98.0,?,63.0,1
8.0,?,?,1.625,?,?,?,42.0,?,20.0,1
8.0,?,?,1.125,0.431,0.903,?,31.0,65.0,?,1
7.0,?,224.0,4.571000000000001,?,?,?,61.0,193.0,?,1
10.0,?,?,24.2,0.26,?,2.08,630.0,?,303.0,1
15.0,29.0,?,?,?,0.97,?,228.0,?,?,1
4.0,?,76.0,?,0.421,0.921,?,32.0,70.0,?,1
6.0,40.0,?,?,?,0.983,?,?,236.0,42.0,1
?,?,20.0,0.8,0.7,?,2.33,14.0,20.0,?,1
?,47.0,?,5.875,?,?,?,?,264.0,?,1
13.0,228.0,?,?,?,0.942,?,783.0,2791.0,?,1
11.0,?,2508.0,20.727,?,?,2.96,708.0,?,239.0,1
?,?,?,9.8,0.4629999999999999,0.945,?,?,?,?,1
?,?,280.0,4.375,?,0.775,?,?,217.0,51.0,1
?,?,?,4.625,?,?,?,?,294.0,77.0,1
7.0,?,294.0,6.0,0.235,0.5710000000000001,1.33,?,?,?,1
?,330.0,9240.0,11.786,0.057,?,31.0,527.0,614.0,?,0
8.0,?,360.0,5.625,0.156,0.725,?,?,261.0,?,1
?,1.0,?,0.143,1.0,1.0,7.0,7.0,?,?,0
10.0,162.0,1620.0,16.2,?,?,5.93,?,?,?,1
7.0,34.0,238.0,4.857,?,?,1.4,63.0,178.0,45.0,1
7.0,?,63.0,?,?,?,?,?,?,?,1
?,21.0,?,?,0.324,?,3.4,?,126.0,20.0,1
30.0,61.0,?,?,?,?,1.88,288.0,884.0,?,0
?,?,?,0.1,?,?,10.0,?,?,1.0,0
?,?,180.0,2.222,0.361,?,?,65.0,?,?,1
9.0,32.0,288.0,?,0.3329999999999999,0.861,1.68,?,248.0,57.0,1
?,?,?,?,0.373,0.621,?,?,243.0,?,1
8.0,33.0,?,?,0.436,0.8859999999999999,?,115.0,234.0,61.0,1
?,?,?,2.667,?,?,1.28,46.0,101.0,36.0,1
12.0,?,1404.0,9.75,?,0.7120000000000001,1.68,?,?,193.0,1
8.0,?,4200.0,?,0.095,?,?,?,1865.0,?,1
6.0,36.0,216.0,6.0,0.509,0.991,?,110.0,214.0,?,1
10.0,?,510.0,?,0.337,0.773,2.12,?,394.0,81.0,1
?,33.0,33.0,33.0,?,?,3.67,?,?,?,0
?,?,276.0,?,0.322,?,1.48,89.0,242.0,?,1
?,82.0,?,9.111,0.306,?,?,226.0,513.0,?,1
10.0,165.0,1650.0,16.5,?,?,?,?,1147.0,258.0,1
8.0,261.0,?,?,0.218,?,1.34,455.0,?,340.0,1
?,?,?,?,?,0.7709999999999999,?,?,1117.0,279.0,1
?,?,2241.0,27.667,?,0.7390000000000001,1.96,674.0,?,?,1
53.0,48.0,?,?,?,?,?,400.0,685.0,?,0
?,?,266.0,?,?,?,1.45,?,?,?,1
?,?,242.0,?,0.632,0.8640000000000001,?,153.0,?,19.0,1
7.0,14.0,?,?,0.337,0.7859999999999999,?,33.0,77.0,24.0,1
?,?,49.0,1.0,?,0.898,1.36,15.0,?,11.0,1
12.0,?,?,23.667,0.325,0.725,2.87,?,?,?,1
?,118.0,?,10.727,?,0.7979999999999999,?,376.0,?,?,1
8.0,?,552.0,?,0.205,?,1.38,?,456.0,?,1
9.0,?,1521.0,18.778,0.3429999999999999,?,?,?,1058.0,200.0,1
7.0,14.0,?,2.0,0.367,?,1.57,36.0,?,?,1
?,48.0,384.0,6.0,?,?,1.89,?,332.0,?,1
1.0,12.0,?,?,?,?,1.75,7.0,?,4.0,1
1.0,?,?,?,0.356,?,1.07,?,45.0,15.0,1
9.0,?,?,3.222,?,?,1.53,75.0,?,?,1
?,28.0,?,?,0.327,0.589,?,?,?,?,1
2.0,?,138.0,?,?,?,10.75,?,?,8.0,0
7.0,?,280.0,5.714,0.186,0.754,2.26,?,211.0,23.0,1
52.0,461.0,23972.0,?,0.192,?,11.52,4607.0,5938.0,?,0
8.0,148.0,1184.0,18.5,?,?,?,?,?,180.0,1
?,13.0,?,2.167,?,?,1.6,24.0,68.0,15.0,1
10.0,?,600.0,6.0,?,0.7879999999999999,?,219.0,473.0,?,1
12.0,?,?,?,0.225,?,?,451.0,?,234.0,1
5.0,24.0,?,?,?,?,?,?,114.0,?,1
1.0,?,36.0,36.0,0.222,1.0,1.14,8.0,?,7.0,1
?,?,2422.0,49.429,?,0.7070000000000001,?,?,1712.0,?,1
?,?,184.0,?,0.348,0.723,2.0,?,?,32.0,1
?,?,?,?,0.282,?,?,221.0,677.0,156.0,1
?,245.0,?,20.417,0.204,0.797,?,?,?,353.0,1
11.0,154.0,?,14.0,?,?,?,609.0,?,206.0,1
7.0,35.0,?,?,?,0.804,1.36,60.0,197.0,44.0,1
9.0,?,?,5.778,?,0.8270000000000001,2.4,?,?,70.0,1
?,271.0,2710.0,?,0.1969999999999999,0.748,?,533.0,?,386.0,1
5.0,3.0,15.0,?,0.467,?,?,7.0,?,?,1
?,70.0,560.0,?,0.3879999999999999,?,2.21,?,471.0,98.0,1
?,?,498.0,?,?,?,1.58,164.0,?,?,1
24.0,?,4488.0,?,0.485,0.918,?,2178.0,?,?,1
?,12.0,?,?,0.455,0.977,2.22,?,?,27.0,1
?,?,?,?,?,?,?,?,143.0,29.0,1
?,?,112.0,?,0.357,?,2.0,40.0,75.0,?,1
?,?,171.0,2.111,?,0.977,1.34,?,?,32.0,1
11.0,185.0,2035.0,?,?,0.772,?,?,?,246.0,1
?,?,1589.0,?,?,?,?,345.0,809.0,?,1
?,?,371.0,?,?,?,1.5,33.0,91.0,?,1
?,?,11232.0,?,?,0.922,?,5296.0,?,689.0,1
8.0,192.0,?,24.0,0.207,0.579,1.57,318.0,?,?,1
25.0,340.0,8500.0,13.6,0.866,?,16.57,7358.0,?,?,1
?,7.0,56.0,0.875,0.268,0.7859999999999999,?,?,?,9.0,1
8.0,9.0,?,1.125,?,?,2.09,?,?,11.0,1
10.0,?,5110.0,?,0.141,0.529,?,721.0,?,?,1
8.0,?,264.0,4.125,0.39,?,?,103.0,?,?,1
?,?,?,?,?,?,2.71,477.0,1183.0,?,1
9.0,?,432.0,5.332999999999999,0.257,0.738,1.41,?,319.0,79.0,1
?,82.0,?,9.111,?,?,?,?,682.0,?,1
?,1.0,?,0.125,?,?,?,8.0,8.0,1.0,0
?,?,32.0,?,?,1.0,2.71,19.0,32.0,?,1
?,?,1310.0,?,?,?,?,?,1123.0,?,1
?,24.0,192.0,3.0,?,0.964,?,?,?,40.0,1
7.0,32.0,?,?,?,?,?,60.0,186.0,47.0,1
?,130.0,?,?,?,0.773,?,552.0,1005.0,198.0,1
9.0,?,927.0,?,?,?,?,225.0,?,?,1
8.0,64.0,512.0,8.0,?,0.947,3.85,?,?,72.0,1
?,353.0,?,9.051,?,0.608,16.89,?,8370.0,454.0,1
?,11.0,?,?,0.318,?,?,28.0,88.0,?,1
6.0,?,?,0.667,?,?,6.0,?,18.0,2.0,1
?,?,2088.0,25.778,0.2739999999999999,?,1.76,573.0,?,326.0,1
?,7.0,?,1.0,0.245,?,?,?,?,7.0,1
11.0,9.0,?,?,0.465,?,?,46.0,81.0,5.0,1
7.0,46.0,322.0,6.571000000000001,0.177,0.304,8.14,57.0,?,7.0,0
?,?,?,16.889,?,?,?,518.0,1047.0,187.0,1
?,7.0,35.0,1.4,?,1.0,2.5,?,?,?,1
?,84.0,?,10.5,0.2289999999999999,?,?,154.0,463.0,110.0,1
?,52.0,364.0,?,0.266,?,?,97.0,349.0,?,1
8.0,?,384.0,6.0,?,0.914,?,116.0,351.0,?,1
?,?,?,?,?,0.6609999999999999,1.92,136.0,?,71.0,1
8.0,108.0,?,?,?,?,?,203.0,534.0,?,1
?,28.0,280.0,2.8,?,0.8,?,?,?,?,1
8.0,114.0,912.0,14.25,?,0.408,1.45,106.0,372.0,73.0,1
?,43.0,?,?,0.31,?,2.32,?,409.0,?,1
?,?,?,33.846,0.255,?,?,1459.0,?,?,1
?,?,104.0,?,?,?,8.25,?,?,8.0,1
8.0,12.0,96.0,?,0.427,0.75,?,?,?,?,1
8.0,?,?,3.625,?,0.884,?,93.0,?,39.0,1
?,?,90.0,?,0.6890000000000001,1.0,?,62.0,90.0,18.0,1
?,?,1771.0,14.636,0.3289999999999999,?,?,582.0,1071.0,?,1
?,?,?,1.0,?,1.0,?,?,49.0,8.0,1
?,16.0,?,?,0.313,0.813,?,25.0,65.0,?,1
?,63.0,?,?,?,0.778,?,?,441.0,?,1
10.0,40.0,?,4.0,?,?,?,?,358.0,56.0,1
1.0,?,40.0,?,?,1.0,40.0,40.0,40.0,1.0,0
?,20.0,160.0,2.5,?,0.906,?,?,?,?,1
6.0,?,?,?,0.179,?,?,?,72.0,7.0,1
?,21.0,189.0,?,0.529,0.958,?,100.0,?,?,1
7.0,37.0,?,?,0.521,0.954,?,?,?,43.0,1
?,?,10.0,?,?,1.0,10.0,?,?,1.0,0
?,174.0,?,19.333,0.15,0.738,?,?,?,?,1
10.0,?,?,?,?,0.6559999999999999,?,164.0,?,75.0,1
8.0,48.0,384.0,?,?,0.737,1.96,?,?,?,1
10.0,99.0,?,?,0.473,0.917,2.93,?,908.0,?,1
?,?,40.0,?,0.375,?,15.0,?,?,?,1
12.0,207.0,?,?,?,?,?,?,?,292.0,1
10.0,?,230.0,?,0.361,?,2.44,?,178.0,?,1
?,?,1106.0,22.571,0.211,?,1.6,?,610.0,?,1
?,?,1020.0,7.082999999999999,?,?,?,486.0,?,90.0,1
9.0,49.0,?,5.444,0.231,?,1.46,102.0,302.0,70.0,1
?,?,5744.0,?,?,0.652,5.41,2158.0,?,399.0,1
?,?,473.0,3.909,0.336,?,2.74,?,356.0,58.0,1
8.0,299.0,?,?,?,?,1.32,?,?,338.0,1
8.0,?,224.0,?,0.397,?,?,?,223.0,43.0,1
5.0,23.0,?,4.6,0.504,0.7829999999999999,2.42,?,?,24.0,1
?,?,?,6.0,?,0.623,?,?,?,133.0,1
9.0,?,144.0,?,?,1.0,2.08,?,?,?,1
?,17.0,153.0,?,0.608,?,7.15,?,131.0,13.0,1
?,?,?,?,?,?,?,?,178.0,30.0,1
?,102.0,?,?,0.4029999999999999,?,?,329.0,?,122.0,1
?,72.0,720.0,?,0.292,0.667,?,?,480.0,?,1
13.0,?,4797.0,?,0.397,0.662,?,?,?,?,1
?,?,440.0,?,0.225,0.645,1.77,99.0,?,56.0,1
5.0,4.0,20.0,?,0.45,0.8,?,?,16.0,3.0,1
8.0,12.0,96.0,?,0.4379999999999999,?,?,42.0,96.0,?,1
?,155.0,1395.0,?,0.346,?,?,483.0,1020.0,198.0,1
?,497.0,?,41.417,?,0.7509999999999999,2.27,1657.0,?,?,1
5.0,12.0,?,?,0.317,0.75,?,19.0,45.0,?,1
?,350.0,4550.0,26.923,?,0.589,4.49,1732.0,2682.0,386.0,1
4.0,?,36.0,2.25,0.611,?,?,22.0,22.0,?,0
?,?,96.0,?,?,0.7190000000000001,2.73,41.0,69.0,15.0,1
3.0,?,?,37.667,?,?,?,?,160.0,?,0
?,?,?,2.571,?,0.8809999999999999,?,?,?,25.0,1
?,?,?,5.375,0.3429999999999999,0.977,?,?,336.0,69.0,1
?,8.0,?,0.667,?,1.0,?,?,?,?,1
6.0,14.0,84.0,?,?,?,?,25.0,52.0,14.0,1
?,?,91.0,1.857,?,0.923,?,30.0,?,?,1
?,?,?,5.222,0.2739999999999999,0.747,?,?,316.0,?,1
?,?,?,3.0,0.203,0.568,1.7,39.0,?,?,1
?,?,40.0,0.4,?,0.4,15.0,15.0,?,?,1
13.0,239.0,3107.0,?,?,?,2.16,?,?,?,1
?,80.0,640.0,?,0.303,?,1.72,?,?,?,1
?,?,198.0,2.444,?,0.596,?,?,?,16.0,1
9.0,54.0,486.0,?,?,0.741,1.24,93.0,?,75.0,1
?,43.0,?,?,?,0.774,?,133.0,?,?,1
?,535.0,4280.0,66.875,?,?,?,704.0,2566.0,520.0,1
?,19.0,114.0,?,?,?,?,33.0,90.0,24.0,1
?,?,300.0,8.333,0.327,0.687,2.0,?,206.0,49.0,1
?,64.0,512.0,?,?,0.912,?,197.0,?,?,1
8.0,?,?,1.5,0.427,?,2.05,41.0,89.0,20.0,1
24.0,?,2016.0,?,0.474,0.872,8.69,?,1758.0,110.0,1
13.0,?,?,?,0.314,0.957,3.6,?,473.0,43.0,1
?,?,?,?,?,?,1.17,195.0,743.0,?,1
?,162.0,?,20.25,0.435,?,?,?,?,?,1
9.0,96.0,864.0,10.667,0.281,0.815,1.96,243.0,704.0,124.0,1
?,100.0,?,10.0,0.41,0.846,2.81,?,?,146.0,1
?,?,?,?,?,0.981,1.41,24.0,?,?,1
?,17.0,?,?,?,?,17.0,17.0,17.0,?,0
?,21.0,189.0,2.333,0.291,0.762,?,?,144.0,?,1
17.0,245.0,?,14.412,0.913,0.997,12.97,3801.0,?,293.0,1
12.0,40.0,480.0,?,0.271,?,?,130.0,?,66.0,1
?,?,4420.0,?,0.188,?,?,833.0,?,?,1
?,?,?,3.1,?,?,?,?,188.0,44.0,1
10.0,20.0,?,?,?,0.855,2.27,?,171.0,33.0,1
7.0,46.0,322.0,?,0.304,?,2.58,?,?,?,1
?,?,?,4.444,0.356,?,?,128.0,?,56.0,1
?,?,?,?,0.335,0.77,1.68,67.0,?,40.0,1
22.0,?,440.0,?,?,?,?,123.0,251.0,23.0,1
12.0,73.0,?,?,0.257,0.591,2.14,?,518.0,105.0,1
8.0,26.0,208.0,3.25,?,?,?,?,?,30.0,1
26.0,?,26.0,?,1.0,1.0,26.0,26.0,?,1.0,0
7.0,?,231.0,?,0.264,0.8440000000000001,?,61.0,?,?,1
?,?,470.0,?,0.336,0.628,2.26,158.0,?,70.0,1
?,?,?,?,0.406,?,2.07,?,174.0,?,1
8.0,216.0,?,27.0,0.408,0.747,?,?,?,?,1
5.0,94.0,470.0,18.8,0.183,0.7979999999999999,?,86.0,375.0,53.0,1
?,?,?,8.0,?,0.5479999999999999,1.61,156.0,?,97.0,1
?,4.0,24.0,0.667,0.667,1.0,8.0,16.0,24.0,2.0,1
?,?,312.0,?,0.205,0.7120000000000001,?,64.0,222.0,47.0,1
4.0,?,24.0,1.5,?,?,10.0,10.0,12.0,?,1
22.0,72.0,?,?,0.469,0.848,8.64,743.0,1343.0,86.0,1
?,23.0,230.0,?,0.313,?,?,?,205.0,30.0,1
?,?,?,10.286,?,0.6509999999999999,1.7,119.0,328.0,70.0,1
14.0,?,2618.0,?,0.265,0.477,2.31,693.0,?,300.0,1
8.0,?,64.0,?,0.344,?,1.83,22.0,?,12.0,1
7.0,?,700.0,14.286,0.411,?,1.83,?,594.0,157.0,1
?,45.0,?,3.75,0.467,?,6.63,?,?,38.0,1
8.0,?,?,3.875,?,?,?,92.0,?,?,1
6.0,?,?,?,0.37,0.722,2.0,?,?,?,1
24.0,?,?,?,0.211,0.4679999999999999,?,?,3822.0,?,1
?,?,824.0,?,?,?,?,350.0,769.0,129.0,1
?,85.0,935.0,?,?,0.894,?,?,836.0,144.0,1
?,118.0,?,?,?,0.7340000000000001,?,377.0,1039.0,189.0,1
7.0,?,777.0,?,0.254,?,?,?,?,?,1
?,?,?,21.556,0.1689999999999999,?,?,?,1043.0,?,1
11.0,?,?,0.636,?,1.0,3.6,36.0,?,?,1
11.0,?,825.0,6.818,0.27,?,?,223.0,?,?,1
8.0,?,?,?,?,?,?,?,?,?,1
?,?,?,4.8,?,0.706,?,278.0,339.0,?,1
11.0,?,?,?,0.353,0.765,?,?,2063.0,?,1
8.0,?,?,1.5,0.4579999999999999,0.938,2.59,44.0,90.0,?,1
?,?,?,0.6,?,?,2.5,20.0,?,?,1
25.0,?,?,6.12,0.255,0.611,?,977.0,?,?,1
7.0,12.0,?,?,?,?,?,?,?,19.0,1
5.0,?,?,3.2,?,1.0,1.36,34.0,?,25.0,1
7.0,41.0,287.0,5.857,0.226,0.784,?,?,?,?,1
8.0,?,?,5.125,?,?,?,87.0,202.0,37.0,1
11.0,?,?,?,?,0.584,?,?,?,210.0,1
6.0,7.0,42.0,?,?,?,30.0,?,?,?,1
11.0,40.0,?,3.636,0.27,?,?,?,272.0,?,1
?,?,?,5.0,0.482,0.841,?,118.0,206.0,42.0,1
9.0,?,?,4.0,0.552,0.926,3.51,179.0,300.0,51.0,1
5.0,?,590.0,?,?,?,?,?,?,63.0,1
8.0,?,48.0,0.75,?,?,1.58,?,?,12.0,1
7.0,?,?,?,?,?,?,147.0,428.0,?,1
9.0,12.0,?,?,?,?,?,53.0,96.0,22.0,1
6.0,?,?,?,?,0.69,10.0,?,?,?,0
2.0,?,22.0,?,?,0.955,?,9.0,?,1.0,1
?,346.0,?,49.429,?,0.7490000000000001,1.17,386.0,1813.0,329.0,1
13.0,?,1690.0,10.0,?,0.6970000000000001,4.77,?,?,?,1
2.0,?,36.0,9.0,?,?,?,?,?,1.0,0
?,?,?,?,1.0,1.0,?,?,?,?,0
?,?,729.0,9.0,?,0.916,2.04,?,668.0,117.0,1
?,42.0,?,4.667,0.347,0.915,2.34,131.0,346.0,56.0,1
?,71.0,639.0,7.888999999999999,?,?,?,249.0,?,?,1
?,21.0,?,?,?,0.613,?,?,?,8.0,1
16.0,?,?,23.875,?,?,?,2292.0,?,444.0,1
?,?,?,7.182,0.342,0.841,2.2,297.0,731.0,135.0,1
?,?,1225.0,?,?,?,1.21,228.0,1110.0,188.0,1
?,?,?,7.778,?,0.851,?,273.0,?,98.0,1
?,125.0,?,5.207999999999999,0.915,?,?,2746.0,2877.0,?,1
7.0,?,63.0,1.286,0.302,?,1.46,?,57.0,?,1
?,18.0,?,2.0,0.241,0.981,1.44,?,159.0,27.0,1
6.0,4.0,?,0.667,?,?,2.5,10.0,?,4.0,1
?,50.0,400.0,6.25,0.3779999999999999,?,?,?,?,89.0,1
?,60.0,?,?,0.154,0.457,1.85,278.0,?,150.0,0
?,?,?,?,0.546,0.838,?,131.0,?,?,1
11.0,?,?,?,?,?,?,?,362.0,?,1
3.0,213.0,639.0,71.0,?,0.379,11.94,203.0,242.0,?,0
?,294.0,4410.0,?,0.395,?,?,?,?,330.0,1
8.0,?,32.0,?,0.469,0.875,5.0,?,?,3.0,1
?,?,?,?,?,?,123.0,?,124.0,1.0,0
9.0,?,4815.0,?,0.184,?,1.49,887.0,?,596.0,1
?,?,500.0,?,0.602,?,5.57,?,373.0,?,1
7.0,?,?,?,0.246,?,?,?,285.0,?,1
?,11.0,?,2.2,0.309,?,?,?,46.0,10.0,1
?,?,?,41.0,0.927,?,?,38.0,?,3.0,0
9.0,4.0,?,0.444,?,?,5.67,?,31.0,3.0,1
?,242.0,1936.0,?,0.171,0.409,1.45,331.0,792.0,?,1
?,75.0,75.0,?,0.92,?,?,69.0,75.0,6.0,0
?,?,?,11.708,0.4679999999999999,0.903,7.95,3155.0,?,?,1
?,?,90.0,?,0.356,?,1.6,?,?,20.0,1
9.0,38.0,?,4.222,0.377,0.731,?,?,?,?,1
10.0,?,?,4.8,0.3,?,?,144.0,?,?,1
8.0,22.0,?,2.75,0.324,?,?,?,160.0,32.0,1
12.0,84.0,?,7.0,0.282,0.778,1.91,284.0,784.0,149.0,1
10.0,?,?,3.8,0.195,0.55,1.48,?,209.0,?,1
