Dataset;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;Denoise_autoencoder_imputation;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection;no_indicators_and_Gain_Imputer;no_indicators_and_Mean-Mode_Imputation;no_indicators_and_Missing_Forest_Imputation;no_indicators_and_Soft_Imputation;no_indicators_and_PPCA_Imputation;no_indicators_and_Denoise_autoencoder_imputation;Indicator_Variables_and_Gain_Imputer;Indicator_Variables_and_Mean-Mode_Imputation;Indicator_Variables_and_Missing_Forest_Imputation;Indicator_Variables_and_Soft_Imputation;Indicator_Variables_and_PPCA_Imputation;Indicator_Variables_and_Denoise_autoencoder_imputation
dresses-sales;0.572479475;0.58955665;0.618850575;0.545254516;0.596551724;0.631133005;0.631133005;0.604794745;0.598949097;0.611100164;0.586338259;0.600525452;0.619835796;0.573136289;0.545254516;0.564827586;0.560525452;0.551461412;0.618850575;0.631133005;0.558292282;0.558292282;0.570541872;0.564827586;0.558916256;0.631133005;0.554909688;0.56180624;0.562364532;0.564400657;0.564827586;0.5;0.562364532;0.564827586;0.565977011;0.562364532;0.564827586;0.549261084;0.560525452;0.562364532;0.563415435;0.583513957;0.618850575;0.560525452;0.564827586;0.545254516;0.631133005;0.564400657;0.562364532;0.560525452;0.564827586;0.611100164;0.562364532
eucalyptus;0.777921008;0.777921008;0.776667741;0.820209833;0.778995238;0.849160311;0.849160311;0.776810971;0.777706162;0.823611559;0.776739356;0.843592223;0.855301321;0.855301321;0.823611559;0.817416837;0.77797472;0.838292692;0.833190103;0.849160311;0.834371755;0.797579403;0.755594944;0.849160311;0.849160311;0.849160311;0.855301321;0.822984925;0.833190103;0.820693236;0.842106205;0.749847818;0.807086332;0.831131163;0.835374369;0.833190103;0.817416837;0.815751781;0.82033516;0.833512372;0.833261718;0.832438142;0.833190103;0.777795682;0.842106205;0.820209833;0.849160311;0.835696638;0.833190103;0.77750922;0.817416837;0.823611559;0.855301321
hepatitis;0.84375;0.865927419;0.825604839;0.876008065;0.868951613;0.851814516;0.825604839;0.847782258;0.865927419;0.865927419;0.849798387;0.86391129;0.868951613;0.847782258;0.799395161;0.86391129;0.873991935;0.85483871;0.847782258;0.868951613;0.825604839;0.799395161;0.797379032;0.825604839;0.847782258;0.847782258;0.847782258;0.803427419;0.748487903;0.833669355;0.673387097;0.799395161;0.825604839;0.825604839;0.807459677;0.748487903;0.673387097;0.799395161;0.829637097;0.825604839;0.825604839;0.857862903;0.825604839;0.866935484;0.868951613;0.799395161;0.851814516;0.865927419;0.847782258;0.857862903;0.86391129;0.799395161;0.868951613
hungarian;0.917302288;0.90124448;0.917703733;0.894821357;0.881372943;0.914291449;0.917703733;0.915495785;0.90124448;0.897631473;0.914893617;0.895222802;0.911682055;0.915495785;0.894821357;0.871336813;0.892312324;0.905258932;0.917703733;0.914291449;0.895624247;0.882778001;0.917703733;0.917703733;0.917703733;0.917703733;0.915495785;0.893014853;0.899437977;0.883179446;0.871336813;0.896828583;0.874949819;0.898233641;0.866619831;0.899437977;0.871336813;0.896828583;0.883982336;0.874949819;0.889000401;0.913287836;0.917703733;0.887394621;0.871336813;0.894821357;0.914291449;0.918305901;0.915495785;0.888398234;0.871336813;0.896828583;0.911682055
kdd_el_nino-small;0.987642968;0.983533536;0.986809587;0.98042991;0.984683028;0.985688833;0.986809587;0.989453417;0.985056612;0.984711765;0.988188976;0.988160239;0.98709696;0.989453417;0.984711765;0.988160239;0.982930053;0.986867061;0.986809587;0.98709696;0.988562561;0.978159664;0.956807863;0.986809587;0.986809587;0.986809587;0.989453417;0.987757917;0.982728892;0.980200011;0.983303638;0.949824703;0.983274901;0.987470544;0.98741307;0.982728892;0.980889706;0.925599172;0.98106213;0.986105523;0.988562561;0.9883614;0.986809587;0.981952986;0.984683028;0.98042991;0.985688833;0.98709696;0.989453417;0.986292316;0.988160239;0.984711765;0.98709696
mushroom;0.999999029;1;1;0.999946597;1;1;0.999946597;1;1;0.999981794;1;1;1;1;0.99988482;0.999997815;0.999997815;1;1;1;0.999997815;0.999997815;0.999997815;0.999997815;0.999997815;1;0.999997815;1;1;0.999997815;0.999997815;0.99988482;1;0.999997815;1;1;0.999997815;0.999677398;1;1;0.999997815;1;1;0.999997815;0.999997815;0.99988482;1;1;1;1;0.999997815;0.999981794;1
pbcseq;0.856066368;0.856839557;0.848902747;0.84135042;0.846490227;0.848121108;0.849517496;0.849599885;0.844491765;0.838306251;0.847983793;0.844652318;0.842218673;0.842218673;0.84135042;0.844652318;0.850637142;0.854002417;0.848902747;0.842218673;0.848666143;0.785830777;0.705201494;0.849920991;0.849394969;0.848868947;0.842218673;0.839937131;0.848666143;0.851477932;0.835805004;0.848628117;0.846158559;0.848666143;0.848585866;0.848666143;0.83098419;0.848628117;0.851822276;0.843203116;0.843203116;0.850603341;0.848902747;0.851133589;0.846490227;0.84135042;0.848121108;0.848944998;0.849599885;0.849899866;0.844652318;0.838306251;0.842218673
primary-tumor;0.870721726;0.875186012;0.880022321;0.860956101;0.876581101;0.880022321;0.853887649;0.891834077;0.87546503;0.870070685;0.879743304;0.889229911;0.891834077;0.891834077;0.870070685;0.889229911;0.886811756;0.861886161;0.891834077;0.891834077;0.882068452;0.831008185;0.891834077;0.88188244;0.891834077;0.891834077;0.891834077;0.845889137;0.875093006;0.855189732;0.82905506;0.82905506;0.786365327;0.82905506;0.874441964;0.886997768;0.882068452;0.863560268;0.874906994;0.886997768;0.882068452;0.885602679;0.880022321;0.867280506;0.876581101;0.860956101;0.880022321;0.870070685;0.891834077;0.892392113;0.889229911;0.870070685;0.891834077
profb;0.694595026;0.69136639;0.694555166;0.578722895;0.694555166;0.692602041;0.698820153;0.695631378;0.692522321;0.580416932;0.692442602;0.695631378;0.695471939;0.694913903;0.630540497;0.694555166;0.691804847;0.692602041;0.694555166;0.692602041;0.641820791;0.642498406;0.693518814;0.684390944;0.688695791;0.698461416;0.701012436;0.642498406;0.642498406;0.641820791;0.642498406;0.630540497;0.642498406;0.641820791;0.642498406;0.641820791;0.642498406;0.630540497;0.642498406;0.642498406;0.641820791;0.691884566;0.694555166;0.691685268;0.694555166;0.630540497;0.692602041;0.685706314;0.695631378;0.693837691;0.695631378;0.630540497;0.695471939
schizo;0.717297822;0.764253017;0.719170481;0.559578305;0.759814121;0.794076848;0.719170481;0.68442225;0.765154668;0.559023443;0.740393952;0.759814121;0.804619226;0.68442225;0.542932446;0.759814121;0.79310584;0.765501457;0.68442225;0.804619226;0.555208767;0.557289499;0.68442225;0.719170481;0.68442225;0.68442225;0.68442225;0.533915938;0.52587044;0.556318491;0.556110418;0.542932446;0.623040644;0.56311555;0.515119989;0.52587044;0.556110418;0.542932446;0.556873353;0.623040644;0.558954085;0.73644056;0.719170481;0.780968234;0.759814121;0.542932446;0.794076848;0.751283118;0.68442225;0.771674296;0.759814121;0.542932446;0.804619226
sick;0.992188152;0.994368203;0.990445094;0.992202882;0.986114453;0.993302728;0.992202882;0.989276508;0.99390175;0.989301058;0.994589154;0.988490904;0.99184936;0.993528589;0.992202882;0.988490904;0.993435298;0.990936096;0.990445094;0.993302728;0.992283898;0.936417647;0.964402327;0.992202882;0.991525299;0.99376918;0.992075222;0.992998306;0.984287924;0.992190607;0.976841873;0.991449194;0.992283898;0.992283898;0.992016301;0.984287924;0.969327081;0.991449194;0.993327278;0.992283898;0.992283898;0.992477844;0.990445094;0.994441853;0.986114453;0.992202882;0.993302728;0.993258537;0.989276508;0.994402573;0.988490904;0.989301058;0.99184936
soybean;0.988910106;0.988542891;0.990599295;0.990525852;0.987441246;0.988910106;0.987074031;0.994051116;0.985825499;0.984576968;0.99170094;0.991039953;0.992655699;0.992655699;0.984576968;0.987441246;0.989424207;0.987735018;0.994051116;0.992655699;0.990525852;0.983108108;0.993757344;0.987881904;0.992655699;0.992655699;0.992655699;0.990599295;0.980757932;0.983181551;0.985311398;0.973450353;0.990746181;0.990672738;0.98072121;0.983108108;0.985311398;0.973450353;0.991921269;0.991260282;0.983108108;0.989644536;0.980757932;0.985311398;0.987441246;0.990525852;0.988910106;0.991333725;0.994051116;0.991480611;0.991039953;0.984576968;0.992655699
stress;0.905625;0.89875;0.9025;0.9475;0.901875;0.909375;0.909375;0.904375;0.903125;0.94625;0.90375;0.900625;0.90875;0.901875;0.933125;0.9321875;0.9321875;0.9321875;0.915625;0.909375;0.9321875;0.933125;0.9321875;0.9321875;0.9321875;0.909375;0.9321875;0.9321875;0.915625;0.9321875;0.9321875;0.933125;0.9321875;0.9321875;0.9321875;0.915625;0.9321875;0.933125;0.9321875;0.9321875;0.9321875;0.9321875;0.915625;0.9321875;0.9321875;0.933125;0.909375;0.9321875;0.915625;0.9321875;0.9321875;0.933125;0.9321875
vote;0.994225302;0.99351457;0.991915423;0.995113717;0.994758351;0.992270789;0.994758351;0.990760483;0.990938166;0.99173774;0.990138593;0.991115849;0.99173774;0.991115849;0.99053838;0.990716063;0.993869936;0.993425729;0.990760483;0.992270789;0.990716063;0.99053838;0.994758351;0.990716063;0.990716063;0.994758351;0.990716063;0.985963042;0.983208955;0.99173774;0.990716063;0.989072495;0.978233831;0.990716063;0.99000533;0.985429993;0.990716063;0.99053838;0.995113717;0.986007463;0.990716063;0.994580668;0.991915423;0.991915423;0.990716063;0.989072495;0.992270789;0.991648898;0.990760483;0.991471215;0.990716063;0.99053838;0.99173774
water-treatment;0.9875;0.9875;0.9875;0.788448661;0.954352679;0.98046875;0.9875;0.9875;0.986830357;0.773772321;0.9875;0.986049107;0.980859375;0.980859375;0.773772321;0.954352679;0.986830357;0.9875;0.9875;0.980859375;0.9875;0.994308036;0.9875;0.9875;0.9875;0.9875;0.9875;0.957979911;0.916071429;0.986272321;0.942522321;0.5;0.9625;0.955189732;0.9875;0.9875;0.942522321;0.5;0.986830357;0.978571429;0.9875;0.9875;0.9875;0.986830357;0.954352679;0.788448661;0.98046875;0.9875;0.9875;0.986830357;0.986049107;0.773772321;0.980859375
