CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
0.09103,0.0,?,0.488,?,?,27.006,3.0,193.0,17.8,394.12,4.82,0.0,0
?,?,9.69,0.585,5.794,?,?,?,?,?,?,?,?,1
0.15038,?,25.65,0.581,5.856,97.0,19.444000000000006,?,188.0,19.1,?,25.41,?,1
0.62356,?,6.2,0.507,?,77.7,?,?,307.0,?,390.39,9.93,?,0
0.52058,0.0,6.2,0.507,6.631,?,4.148,?,?,?,?,?,1.0,0
?,?,?,?,?,98.0,?,?,?,?,318.43,?,0.0,1
0.0456,0.0,13.89,?,5.888,56.0,?,?,276.0,16.4,?,?,1.0,0
115.172,?,?,?,?,95.0,?,4.0,?,21.0,?,18.35,?,1
?,20.0,3.97,0.647,?,?,?,?,264.0,?,?,?,0.0,0
?,?,?,?,?,89.6,?,24.0,666.0,20.2,?,8.88,?,0
?,0.0,?,?,?,97.9,?,24.0,666.0,20.2,314.64,26.4,?,1
0.12204,?,2.89,?,?,57.8,?,2.0,?,?,357.98,6.65,0.0,0
?,12.5,7.87,0.524,6.0120000000000005,66.6,55.605,5.0,311.0,?,395.6,12.43,0.0,0
?,12.5,7.87,0.524,6.004,85.9,65.921,5.0,311.0,15.2,?,?,0.0,1
149.632,0.0,19.58,0.871,?,100.0,15.916,?,?,14.7,?,13.28,0.0,1
?,0.0,?,?,6.176,?,27.301,?,432.0,?,393.3,?,?,1
?,85.0,4.15,0.429,?,?,85.353,?,351.0,?,?,6.36,0.0,0
?,?,?,?,?,84.7,?,?,666.0,20.2,?,17.15,0.0,1
0.537,0.0,6.2,?,5.981,?,?,8.0,307.0,?,378.35,11.65,0.0,0
?,?,18.1,0.614,6.229,88.0,?,24.0,666.0,?,383.32,?,?,1
0.14866,0.0,?,0.52,6.727,?,27.778,?,?,?,394.76,?,0.0,0
0.06162,?,4.39,0.442,5.898,?,?,3.0,352.0,?,?,?,?,1
0.19133,22.0,?,0.431,5.605,70.2,79.54899999999998,?,?,?,?,?,?,1
?,?,?,0.871,?,88.0,16.102,?,403.0,?,343.28,12.12,?,1
415.292,?,?,?,?,85.4,16.074,24.0,666.0,?,?,27.38,?,1
?,?,18.1,?,?,?,13.449000000000002,24.0,666.0,?,?,23.24,0.0,1
0.19073,22.0,5.86,?,6.718,?,78.265,?,330.0,19.1,393.74,?,?,0
0.07875,?,3.44,0.4370000000000001,6.782,?,?,?,?,?,393.87,6.68,?,0
0.03768,?,?,0.404,?,38.3,?,2.0,?,?,?,?,0.0,0
0.03659,?,4.86,0.426,6.3020000000000005,32.2,54.007,4.0,?,?,?,?,?,0
125.179,0.0,?,0.5379999999999999,5.57,?,37.979,4.0,307.0,21.0,?,?,0.0,1
?,?,18.1,?,?,100.0,?,?,?,?,?,13.33,?,0
?,?,5.64,0.439,5.997999999999998,?,?,?,?,?,396.9,?,?,0
?,22.0,?,0.431,8.259,?,89.06700000000002,7.0,?,19.1,396.9,?,0.0,0
0.35809,0.0,6.2,?,?,?,28.617,?,?,17.4,?,?,?,0
0.2896,?,9.69,?,5.39,?,27.986,?,?,?,?,21.14,0.0,1
0.22927,0.0,6.91,0.448,6.03,?,56.894,?,233.0,17.9,392.74,?,0.0,1
0.01432,?,1.32,0.411,?,?,?,5.0,256.0,?,?,?,?,0
?,0.0,21.89,?,?,96.0,17.883,4.0,?,?,392.11,17.19,?,1
?,0.0,10.59,?,?,?,42.392,4.0,?,18.6,381.32,?,1.0,0
?,?,25.65,0.581,?,?,20.869,2.0,?,19.1,378.09,17.93,?,1
0.7258,0.0,?,0.5379999999999999,?,?,?,4.0,?,21.0,?,11.28,?,1
0.06899,?,?,?,5.87,69.7,?,?,?,?,?,14.37,0.0,1
128.023,?,18.1,?,5.854,96.6,?,?,?,?,240.52,?,?,1
?,?,9.9,?,6.122000000000001,?,26.403,?,304.0,?,?,5.98,0.0,1
0.16211,20.0,?,?,6.24,?,?,3.0,?,18.6,?,6.59,0.0,0
?,?,?,?,?,?,?,?,666.0,20.2,?,17.44,?,1
?,?,?,0.445,7.416,62.5,34.952,?,?,18.0,396.9,6.19,0.0,0
?,0.0,?,0.5379999999999999,6.0470000000000015,88.8,44.534,?,?,21.0,306.38,17.28,0.0,1
0.03502,?,4.95,0.411,6.8610000000000015,?,51.167,4.0,?,?,?,?,?,0
0.03738,0.0,5.19,0.515,6.31,38.5,64.584,5.0,?,20.2,?,?,?,1
?,?,?,0.74,6.629,94.6,?,?,?,20.2,109.85,23.27,0.0,1
0.10008,?,2.46,?,6.563,?,2.847,?,?,17.8,?,5.68,0.0,0
0.16902,0.0,25.65,?,5.9860000000000015,?,19.929,?,?,?,385.02,14.81,0.0,1
0.19802,?,10.59,0.489,?,?,39.454,?,?,?,393.63,9.47,?,0
0.030410000000000006,?,5.19,?,5.895,?,5.615,5.0,?,20.2,394.81,?,0.0,1
123.247,?,?,0.5379999999999999,6.142,91.7,39.769,?,?,21.0,396.9,?,?,1
0.55007,?,3.97,0.647,7.206,91.6,19.301,?,?,13.0,?,8.1,0.0,0
?,12.5,7.87,?,?,82.9,62.267,?,311.0,?,396.9,13.27,0.0,1
0.33147,0.0,?,?,8.247,?,36.519,?,?,17.4,378.95,?,0.0,0
?,?,?,?,6.405,?,27.147,?,384.0,20.9,?,?,0.0,1
0.03551,?,4.86,0.426,?,?,54.007,?,281.0,?,390.64,?,?,0
180.846,?,?,?,?,100.0,?,?,666.0,?,27.25,29.05,0.0,1
?,?,7.38,?,5.707999999999998,74.3,?,5.0,?,19.6,?,?,0.0,1
0.06127000000000001,40.0,6.41,0.447,?,?,48.628,?,?,?,?,4.16,1.0,0
?,?,?,?,?,100.0,?,?,666.0,20.2,?,36.98,?,1
0.03961,?,5.19,0.515,?,?,59.853,?,224.0,?,396.9,8.01,0.0,1
0.14932,25.0,5.13,0.453,5.7410000000000005,?,72.25399999999998,?,284.0,19.7,?,13.15,0.0,1
?,?,8.56,?,6.127000000000002,?,?,5.0,?,?,?,?,?,1
?,?,18.1,0.58,?,71.0,?,24.0,666.0,?,368.74,?,?,1
?,0.0,?,?,?,97.3,?,24.0,666.0,?,349.48,?,?,1
0.01538,90.0,?,0.394,7.454,34.2,63.361,3.0,?,15.9,386.34,?,?,0
?,?,?,?,?,96.4,2.072,24.0,666.0,20.2,?,17.79,?,1
?,?,?,?,?,53.2,31.523000000000003,24.0,666.0,?,?,11.45,0.0,1
?,0.0,3.41,0.489,?,?,?,?,?,?,392.18,?,0.0,0
?,?,18.1,?,5.8370000000000015,59.7,?,?,666.0,20.2,?,15.69,0.0,1
?,?,18.1,?,?,?,?,24.0,666.0,20.2,?,24.56,?,1
?,?,18.1,?,6.852,100.0,?,?,?,?,179.36,?,0.0,0
?,25.0,4.86,?,?,?,54.007,4.0,?,?,395.63,?,?,0
?,0.0,?,0.77,?,?,?,24.0,666.0,?,?,14.64,?,1
162.864,?,21.89,?,?,?,14.394,4.0,437.0,21.2,396.9,?,0.0,1
?,60.0,2.93,0.401,6.8,9.9,?,?,?,15.6,?,?,?,0
?,?,?,?,5.942,?,19.669,?,437.0,?,378.25,16.9,?,1
?,?,?,?,6.4110000000000005,100.0,18.589,?,666.0,?,318.75,?,0.0,1
?,?,18.1,0.6679999999999999,4.138,100.0,1.137,24.0,?,?,?,37.97,?,1
0.01311,90.0,1.22,0.403,7.249,21.9,86.96600000000002,?,?,17.9,?,?,0.0,0
0.08447,0.0,4.05,0.51,5.859,?,27.019,5.0,?,?,393.23,9.64,0.0,0
?,?,18.1,?,5.277,?,14.261,24.0,?,?,?,30.81,0.0,1
?,?,10.81,?,6.245,6.2,?,?,?,?,377.17,?,0.0,0
?,?,18.1,?,5.759,48.2,?,?,?,?,334.4,?,?,1
?,0.0,?,0.624,6.151,97.9,16.687,?,437.0,?,396.9,18.46,0.0,1
0.59005,0.0,21.89,0.624,6.372000000000001,97.9,23.274,?,437.0,?,385.76,?,?,0
0.55778,0.0,21.89,?,?,?,?,4.0,437.0,?,?,?,?,1
0.07013,?,?,0.55,?,85.1,34.211,5.0,?,16.4,?,?,0.0,0
?,?,8.14,0.5379999999999999,?,?,?,?,?,21.0,?,?,?,1
?,?,?,?,?,95.6,?,24.0,666.0,20.2,?,24.08,?,1
?,34.0,?,0.433,?,?,54.917,?,329.0,16.1,?,?,?,1
0.12802,0.0,?,0.52,?,97.1,24.329,5.0,?,?,395.24,12.27,0.0,1
0.17331,0.0,9.69,?,5.707000000000002,?,?,?,391.0,?,?,?,?,1
0.3494,?,9.9,0.544,?,?,?,4.0,?,?,?,?,0.0,1
?,?,?,0.74,?,100.0,19.784,24.0,666.0,?,?,18.85,?,1
?,?,21.89,?,6.3260000000000005,?,2.271,?,437.0,21.2,396.9,?,0.0,1
?,0.0,?,?,4.926,95.7,?,?,403.0,14.7,391.71,?,?,1
0.05561,?,2.24,?,7.041,?,78.278,?,358.0,?,?,?,?,0
0.88125,0.0,21.89,0.624,5.6370000000000005,94.7,?,4.0,?,?,396.9,?,?,1
0.04011,?,1.52,0.404,7.287000000000001,?,?,?,329.0,12.6,396.9,4.08,0.0,0
?,20.0,?,0.575,?,?,?,?,?,13.0,?,?,?,0
?,?,18.1,0.74,?,?,20.048,24.0,666.0,?,395.69,16.59,?,1
0.14231,?,10.01,?,?,?,?,?,?,?,?,?,0.0,1
0.08244,?,?,0.428,6.481,18.5,61.899,6.0,?,16.6,379.41,?,?,0
18.811,0.0,?,?,4.628,?,?,?,?,20.2,?,34.37,?,1
?,0.0,18.1,0.7,?,89.5,?,24.0,?,?,396.9,31.99,?,1
0.44178,0.0,6.2,0.504,6.5520000000000005,?,?,8.0,?,?,380.34,3.76,?,0
?,?,?,?,?,91.9,?,?,384.0,?,?,?,?,1
?,0.0,12.83,0.4370000000000001,5.874,?,?,5.0,398.0,?,?,9.1,?,1
0.1415,0.0,6.91,0.448,?,6.6,?,?,?,17.9,?,?,?,0
?,?,?,?,?,98.8,1.358,24.0,666.0,?,?,21.24,?,1
0.01096,55.0,?,0.389,6.4529999999999985,31.9,?,?,?,15.3,394.72,?,0.0,1
0.62976,0.0,8.14,0.5379999999999999,5.949,?,47.075,4.0,?,21.0,396.9,8.26,0.0,1
?,22.0,5.86,0.431,6.438,8.9,?,?,330.0,?,?,3.59,?,0
?,?,2.01,0.435,6.635,29.7,8.344,?,280.0,?,?,5.99,0.0,0
?,?,?,?,4.88,100.0,15.895,?,666.0,?,372.92,30.62,0.0,1
?,22.0,5.86,?,?,6.8,89.06700000000002,7.0,330.0,?,386.09,3.53,0.0,0
0.02763,75.0,?,0.428,6.595,?,54.011,?,252.0,18.3,?,4.32,0.0,0
?,?,?,0.605,?,98.2,20.407,5.0,?,14.7,389.61,1.92,1.0,0
0.12269,?,?,0.448,?,?,?,?,?,17.9,389.39,?,0.0,1
?,?,?,?,6.7010000000000005,90.0,?,24.0,666.0,?,?,?,?,1
?,?,?,?,?,86.1,?,24.0,666.0,20.2,?,17.64,0.0,1
0.57834,20.0,?,?,8.297,?,24.216,5.0,?,13.0,384.54,7.44,0.0,0
0.06151,0.0,5.19,0.515,5.968,58.5,48.122,?,?,20.2,396.9,?,?,1
0.07503,33.0,2.18,?,7.42,71.9,30.992,?,222.0,18.4,396.9,?,0.0,0
0.02731,?,7.07,?,6.421,78.9,49.67100000000001,2.0,?,17.8,396.9,?,0.0,1
?,?,?,0.693,5.683,100.0,14.254,24.0,666.0,?,?,22.98,?,1
?,0.0,?,?,6.332999999999998,17.2,?,4.0,?,?,375.21,?,0.0,0
?,0.0,8.14,0.5379999999999999,?,89.2,40.12300000000001,4.0,307.0,?,392.53,13.83,0.0,1
?,0.0,12.83,0.4370000000000001,?,?,?,?,398.0,?,394.92,?,?,0
180.028,0.0,?,?,5.877000000000002,79.2,?,?,?,14.7,227.61,12.14,?,0
?,0.0,9.9,?,6.266,82.8,?,?,304.0,18.4,393.39,7.9,?,1
0.1,34.0,6.09,0.433,?,?,?,?,?,?,390.43,?,0.0,0
0.1676,0.0,7.38,0.493,?,?,45.404,5.0,?,19.6,?,7.2,?,0
?,0.0,12.83,?,6.279,?,40.522,?,?,?,373.66,?,?,1
?,?,?,?,?,?,66.407,?,?,?,?,?,0.0,1
?,40.0,?,0.447,?,32.1,41.403,?,?,17.6,396.9,?,?,0
?,0.0,?,?,5.67,?,?,6.0,?,?,?,?,0.0,0
?,?,?,?,?,95.4,?,?,666.0,?,7.68,24.39,0.0,1
?,?,?,?,?,91.9,?,24.0,666.0,20.2,?,17.21,?,1
0.01709,90.0,2.02,0.41,6.728,36.1,?,5.0,187.0,17.0,?,?,?,0
0.02543,?,3.78,?,?,56.4,57.32100000000001,?,370.0,17.6,396.9,7.18,?,0
113.081,?,?,?,5.712999999999999,94.1,4.2330000000000005,?,307.0,21.0,360.17,22.6,?,1
0.7842,?,?,?,5.99,81.7,42.57899999999999,?,?,21.0,386.75,14.67,0.0,1
?,?,?,0.52,?,?,21.069000000000006,5.0,?,20.9,394.05,?,0.0,1
0.04203,?,?,0.464,6.442,53.6,36.659,?,270.0,18.2,395.01,8.16,?,0
233.099,?,?,0.871,?,93.8,15.296,?,403.0,14.7,356.99,28.32,?,1
0.5341199999999999,20.0,?,0.647,?,89.4,?,?,264.0,13.0,?,?,?,0
0.03584,80.0,3.37,0.398,?,?,66.115,?,?,16.1,?,?,?,0
?,0.0,?,0.547,6.0920000000000005,95.4,2.548,6.0,432.0,?,396.9,17.09,?,1
783.932,?,?,?,?,65.4,29.634,?,666.0,20.2,?,13.22,?,1
237.93400000000003,?,?,?,6.13,100.0,?,5.0,?,14.7,172.91,27.8,0.0,1
0.22438,0.0,9.69,?,?,79.7,24.982,6.0,?,?,396.9,?,?,1
0.40771,0.0,6.2,0.507,6.164,91.3,3.048,?,?,17.4,395.24,?,1.0,1
?,?,?,?,?,73.3,38.384,?,?,?,385.91,?,0.0,0
0.05789,?,6.07,0.409,5.877999999999999,21.4,6.497999999999998,4.0,345.0,?,396.21,?,0.0,1
0.35233000000000003,?,?,0.624,?,?,18.498,?,437.0,21.2,394.08,14.59,0.0,1
0.0837,?,?,0.4370000000000001,7.185,?,?,5.0,?,?,396.9,?,0.0,0
696.215,?,?,?,?,97.0,19.265,24.0,666.0,20.2,?,17.11,?,1
?,?,?,?,6.395,?,?,?,666.0,?,391.34,13.27,1.0,1
0.0459,?,?,0.405,?,45.6,?,6.0,?,?,?,7.6,?,1
?,0.0,18.1,?,?,100.0,?,?,666.0,?,9.32,26.45,0.0,1
0.05644,40.0,?,0.447,6.757999999999999,?,?,4.0,254.0,17.6,396.9,?,1.0,0
?,0.0,8.56,?,6.229,91.2,25.451,5.0,?,?,391.23,?,?,1
0.03932,0.0,3.41,0.489,6.405,?,?,2.0,270.0,?,393.55,?,0.0,1
0.04294,28.0,15.04,?,6.249,77.3,?,?,270.0,?,396.9,10.59,?,1
?,0.0,2.46,?,7.765,83.3,2.741,?,?,17.8,395.56,7.56,0.0,0
?,?,?,0.713,?,98.7,22.616,24.0,666.0,20.2,?,18.13,?,1
?,?,?,0.7,?,98.9,?,24.0,666.0,20.2,?,20.85,?,1
0.37578,0.0,10.59,?,?,88.6,3.665,?,277.0,18.6,?,?,?,1
?,0.0,19.58,0.871,6.122000000000001,97.3,?,?,403.0,14.7,372.8,14.1,?,1
0.15098,?,?,?,?,?,27.474,?,?,17.8,394.51,?,?,1
122.358,?,19.58,?,?,?,18.773,5.0,403.0,?,363.43,?,0.0,0
0.10328,?,5.13,0.453,?,47.2,6.932,?,284.0,?,396.9,?,?,1
