A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
9.0,29.0,2.0,?,4.0,3.0,1.0,1.0,69.0,1.0,?,1.0,0.0,0.0,0
155.0,?,2.0,?,?,47.0,?,2.0,77.0,20.0,0.0,1.0,?,?,1
185.0,?,2.0,9.0,4.0,29.0,1.0,?,?,1.0,?,0.0,0.0,0.0,0
52.0,?,?,2.0,4.0,28.0,9.0,2.0,53.0,2.0,?,1.0,1.0,?,1
34.0,1.0,?,1.0,1.0,1.0,5.0,2.0,?,2.0,?,?,1.0,?,0
173.0,?,?,8.0,4.0,31.0,1.0,2.0,98.0,1.0,1.0,?,?,?,0
121.0,50.0,2.0,?,1.0,1.0,1.0,2.0,111.0,2.0,?,?,?,0.0,0
?,21.0,2.0,?,?,7.0,1.0,2.0,124.0,?,?,0.0,?,0.0,0
283.0,?,2.0,14.0,5.0,?,1.0,2.0,156.0,1.0,1.0,0.0,?,1.0,0
?,10.0,2.0,?,4.0,4.0,?,2.0,?,1.0,?,0.0,0.0,0.0,0
303.0,119.0,?,3.0,5.0,67.0,?,2.0,?,1.0,0.0,0.0,0.0,1.0,0
207.0,109.0,2.0,3.0,?,?,1.0,?,73.0,129.0,1.0,?,0.0,0.0,0
?,39.0,1.0,10.0,2.0,1.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,0.0,0
36.0,163.0,2.0,8.0,?,16.0,?,?,69.0,?,1.0,0.0,1.0,1.0,0
165.0,199.0,?,?,4.0,65.0,?,2.0,87.0,?,1.0,1.0,1.0,0.0,1
111.0,185.0,2.0,?,2.0,1.0,?,2.0,45.0,156.0,1.0,0.0,0.0,1.0,0
238.0,?,2.0,11.0,4.0,2.0,2.0,2.0,69.0,94.0,?,1.0,?,0.0,1
?,?,?,?,4.0,?,?,1.0,131.0,1.0,1.0,0.0,?,1.0,0
173.0,82.0,2.0,?,?,14.0,?,2.0,84.0,?,1.0,0.0,?,?,0
?,14.0,2.0,?,4.0,9.0,1.0,1.0,47.0,1.0,0.0,0.0,0.0,?,0
?,66.0,2.0,3.0,4.0,26.0,1.0,2.0,73.0,1.0,1.0,0.0,0.0,1.0,0
78.0,1.0,?,8.0,4.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,0.0,?,1
115.0,95.0,1.0,8.0,5.0,58.0,1.0,?,69.0,160.0,?,0.0,0.0,0.0,0
320.0,?,2.0,2.0,5.0,?,?,?,?,1.0,1.0,1.0,1.0,1.0,1
322.0,92.0,1.0,1.0,1.0,?,1.0,?,?,5.0,0.0,0.0,0.0,1.0,0
48.0,151.0,1.0,?,4.0,58.0,?,?,?,?,1.0,1.0,0.0,0.0,1
104.0,?,2.0,8.0,?,24.0,1.0,2.0,151.0,1.0,0.0,1.0,?,1.0,1
?,40.0,1.0,?,?,34.0,4.0,2.0,?,?,1.0,1.0,1.0,1.0,0
1.0,87.0,1.0,?,4.0,43.0,3.0,2.0,38.0,?,1.0,1.0,1.0,1.0,1
290.0,214.0,1.0,1.0,?,1.0,?,?,1.0,1.0,1.0,1.0,?,1.0,0
134.0,84.0,2.0,6.0,4.0,7.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,1.0,0
?,1.0,2.0,8.0,4.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,?,1.0,0
13.0,79.0,2.0,3.0,4.0,9.0,1.0,2.0,45.0,3.0,?,0.0,0.0,1.0,0
122.0,180.0,?,?,5.0,7.0,1.0,?,?,1.0,?,0.0,?,?,0
127.0,?,2.0,4.0,?,77.0,3.0,?,?,1.0,1.0,?,1.0,?,1
47.0,1.0,2.0,8.0,4.0,1.0,1.0,3.0,65.0,1.0,1.0,?,0.0,0.0,0
321.0,177.0,2.0,7.0,?,31.0,?,?,69.0,1.0,1.0,1.0,1.0,1.0,1
234.0,51.0,1.0,7.0,?,5.0,1.0,1.0,131.0,1.0,1.0,0.0,0.0,0.0,0
85.0,20.0,1.0,13.0,8.0,4.0,1.0,2.0,?,2.0,?,?,?,0.0,0
?,1.0,1.0,5.0,1.0,1.0,1.0,2.0,25.0,1.0,?,?,0.0,?,0
?,11.0,2.0,?,5.0,126.0,20.0,2.0,1.0,233.0,1.0,?,1.0,0.0,1
239.0,119.0,2.0,6.0,5.0,?,2.0,2.0,1.0,115.0,1.0,1.0,?,0.0,1
?,40.0,?,11.0,4.0,7.0,1.0,2.0,38.0,140.0,?,0.0,0.0,1.0,0
146.0,?,?,?,8.0,80.0,1.0,2.0,92.0,77.0,1.0,1.0,0.0,0.0,1
126.0,47.0,2.0,9.0,?,74.0,6.0,2.0,32.0,4.0,1.0,1.0,?,1.0,1
95.0,175.0,?,4.0,4.0,52.0,?,?,?,?,?,?,?,1.0,0
73.0,169.0,2.0,?,4.0,11.0,1.0,?,1.0,?,1.0,0.0,0.0,0.0,0
?,196.0,?,?,9.0,?,?,2.0,1.0,204.0,0.0,?,1.0,0.0,1
91.0,187.0,?,?,?,1.0,?,?,65.0,1.0,?,?,0.0,0.0,0
?,36.0,1.0,8.0,4.0,?,1.0,?,58.0,73.0,1.0,0.0,?,0.0,0
81.0,20.0,2.0,8.0,8.0,?,?,2.0,63.0,1.0,1.0,1.0,0.0,0.0,0
61.0,173.0,?,8.0,?,7.0,1.0,?,63.0,?,0.0,0.0,0.0,?,0
?,8.0,1.0,?,4.0,7.0,12.0,2.0,124.0,197.0,1.0,1.0,1.0,0.0,1
141.0,?,1.0,10.0,8.0,47.0,1.0,?,?,?,0.0,0.0,0.0,?,0
109.0,180.0,1.0,4.0,8.0,?,?,2.0,1.0,?,1.0,0.0,0.0,1.0,0
262.0,61.0,2.0,3.0,?,?,?,?,?,1.0,1.0,?,0.0,?,0
72.0,26.0,2.0,3.0,4.0,39.0,2.0,2.0,131.0,?,1.0,0.0,1.0,?,0
347.0,?,2.0,1.0,?,1.0,?,?,1.0,1.0,1.0,1.0,0.0,1.0,1
?,151.0,2.0,3.0,5.0,1.0,?,2.0,1.0,163.0,1.0,?,1.0,0.0,1
?,?,?,?,?,8.0,2.0,2.0,111.0,198.0,1.0,?,1.0,0.0,0
?,26.0,?,8.0,?,7.0,1.0,2.0,113.0,24.0,?,1.0,0.0,?,1
?,87.0,2.0,5.0,3.0,?,1.0,2.0,32.0,148.0,0.0,?,?,0.0,1
?,1.0,1.0,?,1.0,?,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
79.0,46.0,2.0,11.0,4.0,55.0,4.0,2.0,1.0,?,1.0,1.0,1.0,1.0,1
?,15.0,2.0,8.0,8.0,?,7.0,2.0,77.0,147.0,1.0,?,1.0,0.0,1
?,?,?,3.0,5.0,110.0,?,2.0,68.0,?,1.0,1.0,1.0,1.0,1
?,56.0,1.0,14.0,?,?,1.0,2.0,40.0,2.0,?,0.0,0.0,?,0
181.0,77.0,1.0,14.0,?,69.0,4.0,?,124.0,1.0,1.0,?,1.0,1.0,1
?,47.0,2.0,11.0,4.0,?,1.0,2.0,?,1.0,1.0,1.0,?,1.0,1
315.0,?,2.0,4.0,?,100.0,?,?,?,36.0,0.0,1.0,?,1.0,0
12.0,12.0,1.0,?,?,8.0,1.0,1.0,69.0,1.0,?,?,0.0,0.0,0
?,102.0,2.0,8.0,5.0,?,7.0,2.0,1.0,104.0,1.0,?,1.0,0.0,1
?,18.0,2.0,13.0,?,?,1.0,2.0,141.0,230.0,0.0,?,0.0,0.0,1
72.0,26.0,?,8.0,4.0,47.0,3.0,2.0,69.0,?,0.0,?,1.0,1.0,0
99.0,?,2.0,8.0,?,?,1.0,2.0,117.0,?,0.0,?,?,1.0,0
95.0,167.0,?,?,4.0,58.0,18.0,?,69.0,159.0,?,?,1.0,?,1
232.0,?,?,7.0,?,99.0,15.0,?,?,?,1.0,?,1.0,0.0,1
7.0,?,2.0,?,4.0,43.0,6.0,2.0,115.0,130.0,1.0,?,1.0,?,1
163.0,17.0,2.0,8.0,5.0,?,1.0,1.0,?,1.0,1.0,1.0,0.0,?,0
?,19.0,?,?,4.0,8.0,8.0,2.0,30.0,214.0,1.0,1.0,?,1.0,1
210.0,26.0,1.0,2.0,?,16.0,1.0,2.0,86.0,4.0,1.0,0.0,?,0.0,0
58.0,148.0,2.0,?,?,?,1.0,2.0,45.0,1.0,1.0,1.0,?,0.0,0
142.0,95.0,?,9.0,4.0,104.0,3.0,?,?,1.0,?,1.0,?,?,1
137.0,196.0,?,8.0,8.0,91.0,?,2.0,1.0,?,1.0,1.0,1.0,0.0,1
82.0,70.0,2.0,1.0,1.0,81.0,?,2.0,?,25.0,1.0,0.0,0.0,0.0,0
70.0,135.0,1.0,14.0,4.0,57.0,1.0,?,55.0,?,0.0,0.0,?,0.0,1
?,?,2.0,8.0,4.0,14.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,?,0
276.0,?,2.0,3.0,5.0,?,?,?,1.0,?,0.0,1.0,1.0,?,1
159.0,75.0,2.0,?,4.0,58.0,3.0,2.0,53.0,33.0,1.0,0.0,?,1.0,0
?,?,2.0,10.0,4.0,112.0,?,?,?,?,1.0,1.0,?,0.0,1
334.0,200.0,2.0,11.0,4.0,117.0,1.0,2.0,4.0,?,0.0,1.0,?,1.0,1
?,26.0,1.0,6.0,4.0,73.0,1.0,2.0,?,1.0,1.0,?,0.0,1.0,0
251.0,32.0,2.0,14.0,4.0,58.0,?,2.0,153.0,125.0,1.0,?,?,?,1
41.0,26.0,2.0,8.0,4.0,22.0,6.0,?,?,6.0,?,1.0,1.0,1.0,0
323.0,12.0,2.0,?,5.0,?,1.0,2.0,88.0,187.0,0.0,1.0,?,1.0,0
198.0,102.0,2.0,?,?,?,7.0,?,1.0,?,1.0,1.0,1.0,1.0,1
?,182.0,2.0,8.0,4.0,4.0,3.0,?,1.0,217.0,1.0,?,1.0,?,0
281.0,66.0,2.0,7.0,5.0,?,13.0,2.0,?,195.0,1.0,?,1.0,1.0,1
?,12.0,2.0,?,1.0,1.0,2.0,2.0,?,59.0,?,0.0,1.0,?,0
142.0,99.0,2.0,?,?,47.0,2.0,?,146.0,43.0,?,0.0,1.0,?,0
?,33.0,2.0,8.0,4.0,14.0,1.0,1.0,?,1.0,?,0.0,0.0,?,0
136.0,46.0,1.0,8.0,4.0,?,1.0,2.0,1.0,81.0,1.0,1.0,0.0,?,0
78.0,166.0,?,14.0,8.0,13.0,?,2.0,?,?,1.0,1.0,1.0,?,1
249.0,47.0,2.0,3.0,5.0,?,?,2.0,?,1.0,1.0,?,?,0.0,1
108.0,?,2.0,6.0,4.0,35.0,?,2.0,53.0,66.0,0.0,1.0,?,0.0,1
84.0,175.0,2.0,8.0,4.0,49.0,1.0,?,?,?,1.0,0.0,0.0,0.0,0
38.0,6.0,2.0,11.0,4.0,2.0,1.0,2.0,124.0,1.0,?,0.0,0.0,?,0
92.0,180.0,?,?,4.0,37.0,13.0,?,38.0,121.0,0.0,?,1.0,1.0,1
?,12.0,2.0,11.0,4.0,20.0,1.0,1.0,53.0,1.0,?,0.0,0.0,0.0,0
105.0,184.0,2.0,13.0,4.0,14.0,1.0,?,1.0,?,1.0,0.0,0.0,0.0,0
76.0,173.0,2.0,14.0,8.0,14.0,?,2.0,102.0,?,0.0,?,?,?,1
?,46.0,2.0,3.0,5.0,?,1.0,1.0,102.0,1.0,1.0,0.0,?,?,0
66.0,61.0,?,3.0,4.0,4.0,1.0,2.0,?,?,?,0.0,0.0,0.0,0
78.0,1.0,2.0,13.0,4.0,3.0,1.0,2.0,1.0,1.0,?,1.0,0.0,0.0,1
30.0,102.0,?,11.0,4.0,10.0,3.0,2.0,1.0,31.0,1.0,1.0,1.0,0.0,0
?,16.0,?,?,4.0,61.0,7.0,2.0,72.0,100.0,1.0,?,1.0,1.0,0
33.0,141.0,1.0,?,4.0,26.0,?,2.0,24.0,?,?,1.0,1.0,1.0,1
?,?,2.0,2.0,8.0,95.0,1.0,2.0,101.0,1.0,1.0,?,?,1.0,0
?,31.0,2.0,?,4.0,?,5.0,2.0,?,175.0,0.0,?,1.0,0.0,1
66.0,176.0,2.0,?,4.0,72.0,?,2.0,63.0,?,1.0,0.0,1.0,1.0,0
331.0,70.0,2.0,9.0,4.0,43.0,6.0,?,18.0,?,1.0,1.0,?,1.0,1
103.0,?,2.0,8.0,?,53.0,?,2.0,135.0,?,?,0.0,?,?,0
35.0,?,?,?,?,1.0,1.0,1.0,152.0,2.0,?,?,0.0,?,1
92.0,73.0,?,11.0,8.0,44.0,19.0,2.0,1.0,115.0,0.0,1.0,1.0,0.0,1
?,67.0,2.0,?,1.0,?,1.0,2.0,1.0,150.0,?,0.0,0.0,0.0,0
8.0,2.0,2.0,8.0,4.0,2.0,1.0,2.0,?,1.0,?,0.0,0.0,0.0,1
295.0,188.0,2.0,4.0,8.0,?,?,?,?,?,0.0,1.0,0.0,?,1
246.0,119.0,2.0,11.0,4.0,14.0,4.0,?,48.0,1.0,0.0,1.0,1.0,?,1
?,?,2.0,11.0,4.0,7.0,2.0,?,34.0,48.0,?,?,?,0.0,0
109.0,10.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
43.0,40.0,?,8.0,4.0,1.0,1.0,2.0,1.0,?,0.0,0.0,0.0,0.0,0
197.0,40.0,1.0,?,8.0,14.0,1.0,2.0,53.0,1.0,0.0,0.0,0.0,1.0,0
?,151.0,?,9.0,4.0,?,?,2.0,38.0,2.0,0.0,0.0,1.0,?,0
154.0,161.0,?,11.0,8.0,3.0,?,2.0,41.0,4.0,0.0,0.0,1.0,?,0
84.0,25.0,2.0,9.0,?,7.0,2.0,2.0,86.0,5.0,?,0.0,1.0,?,0
15.0,144.0,2.0,?,4.0,43.0,11.0,2.0,1.0,11.0,0.0,0.0,1.0,1.0,0
?,54.0,2.0,5.0,3.0,1.0,2.0,2.0,69.0,?,0.0,0.0,?,0.0,0
?,127.0,2.0,4.0,4.0,37.0,2.0,2.0,53.0,?,?,1.0,1.0,?,1
90.0,186.0,1.0,?,4.0,2.0,?,2.0,38.0,?,1.0,0.0,0.0,1.0,0
?,80.0,2.0,9.0,4.0,76.0,15.0,2.0,126.0,168.0,1.0,?,?,0.0,1
43.0,?,?,?,4.0,26.0,2.0,2.0,86.0,136.0,?,?,1.0,?,1
85.0,?,2.0,8.0,4.0,5.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,0.0,1
90.0,52.0,1.0,8.0,4.0,5.0,1.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0
?,?,?,9.0,?,?,?,2.0,?,?,1.0,0.0,0.0,1.0,0
188.0,109.0,1.0,8.0,4.0,37.0,1.0,?,18.0,1.0,?,0.0,?,1.0,0
103.0,180.0,?,13.0,4.0,30.0,?,2.0,45.0,?,1.0,1.0,?,?,1
?,180.0,2.0,6.0,4.0,65.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1
16.0,119.0,2.0,3.0,4.0,4.0,1.0,2.0,18.0,50.0,1.0,0.0,0.0,?,0
2.0,123.0,2.0,?,?,26.0,?,2.0,161.0,?,1.0,0.0,0.0,?,0
211.0,?,2.0,11.0,?,?,?,?,144.0,36.0,1.0,0.0,0.0,0.0,0
?,115.0,2.0,8.0,4.0,26.0,4.0,?,?,?,1.0,?,1.0,0.0,1
152.0,43.0,2.0,9.0,8.0,?,4.0,2.0,1.0,29.0,0.0,?,1.0,?,0
305.0,?,1.0,8.0,?,114.0,?,2.0,69.0,50.0,1.0,?,0.0,1.0,0
285.0,?,2.0,6.0,4.0,?,?,1.0,82.0,1.0,1.0,1.0,?,0.0,1
236.0,191.0,2.0,9.0,4.0,111.0,?,2.0,?,1.0,1.0,1.0,?,?,1
77.0,1.0,2.0,4.0,4.0,?,12.0,1.0,?,1.0,?,0.0,1.0,0.0,0
62.0,47.0,2.0,?,?,3.0,1.0,2.0,116.0,1.0,?,0.0,?,?,0
63.0,18.0,?,?,4.0,2.0,2.0,2.0,?,40.0,?,?,?,1.0,1
10.0,?,2.0,6.0,4.0,4.0,1.0,2.0,69.0,?,0.0,0.0,0.0,0.0,0
238.0,?,2.0,3.0,?,6.0,?,?,158.0,1.0,1.0,0.0,0.0,0.0,0
?,?,1.0,8.0,4.0,37.0,1.0,2.0,53.0,1.0,1.0,?,0.0,?,0
124.0,?,2.0,7.0,4.0,47.0,1.0,1.0,?,?,0.0,1.0,0.0,0.0,0
?,27.0,2.0,?,?,8.0,2.0,2.0,136.0,91.0,?,0.0,1.0,?,0
?,4.0,1.0,?,4.0,2.0,1.0,2.0,45.0,132.0,?,0.0,0.0,?,0
229.0,102.0,2.0,13.0,?,73.0,11.0,2.0,?,1.0,1.0,1.0,?,?,1
71.0,46.0,?,6.0,?,15.0,1.0,2.0,?,42.0,?,?,0.0,1.0,0
95.0,?,?,13.0,8.0,73.0,?,?,131.0,?,0.0,1.0,?,?,1
47.0,160.0,?,14.0,8.0,1.0,1.0,2.0,51.0,28.0,0.0,0.0,0.0,1.0,0
40.0,13.0,2.0,11.0,4.0,47.0,3.0,2.0,?,1.0,1.0,1.0,1.0,1.0,1
?,17.0,?,?,8.0,37.0,1.0,2.0,98.0,141.0,0.0,1.0,0.0,0.0,1
63.0,?,2.0,8.0,?,4.0,1.0,?,117.0,?,1.0,0.0,0.0,0.0,0
163.0,13.0,2.0,2.0,4.0,24.0,1.0,?,?,?,1.0,1.0,0.0,1.0,0
50.0,104.0,1.0,5.0,4.0,8.0,1.0,2.0,45.0,74.0,?,0.0,0.0,0.0,0
82.0,77.0,1.0,?,4.0,11.0,2.0,?,98.0,?,?,0.0,1.0,1.0,0
?,193.0,2.0,14.0,8.0,?,?,?,38.0,12.0,0.0,1.0,1.0,0.0,1
?,82.0,?,13.0,4.0,17.0,8.0,2.0,1.0,?,1.0,1.0,1.0,0.0,1
?,?,2.0,?,4.0,40.0,4.0,2.0,69.0,170.0,?,1.0,1.0,?,1
141.0,36.0,?,?,?,26.0,1.0,?,?,14.0,?,0.0,0.0,0.0,0
54.0,30.0,?,8.0,8.0,7.0,1.0,2.0,98.0,78.0,?,?,0.0,0.0,0
23.0,122.0,1.0,7.0,4.0,2.0,?,2.0,45.0,?,?,0.0,0.0,?,0
?,?,?,?,5.0,99.0,?,2.0,123.0,?,0.0,?,?,0.0,1
?,10.0,2.0,11.0,4.0,9.0,5.0,2.0,53.0,9.0,1.0,?,1.0,?,0
159.0,46.0,1.0,9.0,4.0,?,1.0,1.0,?,1.0,1.0,0.0,0.0,0.0,0
?,127.0,?,?,4.0,62.0,6.0,2.0,65.0,236.0,?,1.0,1.0,?,1
?,170.0,?,?,4.0,?,?,2.0,24.0,169.0,?,1.0,0.0,0.0,1
140.0,40.0,2.0,8.0,8.0,7.0,3.0,2.0,131.0,52.0,1.0,0.0,?,?,0
79.0,87.0,2.0,8.0,?,7.0,1.0,2.0,53.0,1.0,?,1.0,0.0,1.0,1
123.0,73.0,2.0,7.0,?,64.0,2.0,2.0,?,?,0.0,?,1.0,?,0
221.0,?,?,14.0,?,?,7.0,?,156.0,?,1.0,?,?,0.0,1
285.0,130.0,2.0,?,8.0,?,13.0,?,1.0,?,1.0,?,1.0,0.0,1
235.0,92.0,2.0,8.0,?,99.0,17.0,2.0,37.0,160.0,1.0,1.0,1.0,0.0,1
?,18.0,1.0,6.0,4.0,14.0,4.0,2.0,69.0,150.0,?,1.0,?,0.0,1
201.0,200.0,?,8.0,4.0,?,?,2.0,?,1.0,1.0,1.0,?,0.0,0
189.0,119.0,2.0,6.0,?,?,?,2.0,142.0,?,?,1.0,0.0,1.0,0
151.0,?,2.0,2.0,?,?,1.0,1.0,88.0,1.0,1.0,?,0.0,1.0,0
81.0,27.0,?,?,4.0,37.0,3.0,2.0,24.0,109.0,0.0,1.0,1.0,1.0,1
336.0,183.0,1.0,8.0,?,?,?,2.0,?,?,1.0,1.0,?,0.0,0
56.0,160.0,2.0,8.0,4.0,65.0,?,2.0,1.0,?,1.0,1.0,0.0,1.0,1
197.0,87.0,2.0,2.0,5.0,119.0,1.0,?,65.0,?,1.0,1.0,0.0,1.0,0
200.0,212.0,?,14.0,?,?,2.0,?,154.0,?,1.0,1.0,?,?,1
75.0,7.0,2.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
309.0,6.0,2.0,?,?,?,?,1.0,19.0,26.0,0.0,0.0,?,1.0,0
18.0,139.0,2.0,6.0,4.0,34.0,1.0,?,1.0,?,?,1.0,0.0,?,1
