CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
115.172,0.0,8.14,0.5379999999999999,?,95.0,37.872,4.0,?,21.0,358.77,18.35,?,1
0.61154,20.0,3.97,?,8.704,?,1.801,5.0,264.0,13.0,389.7,5.12,0.0,0
826.725,0.0,?,0.6679999999999999,5.875,89.6,11.296,24.0,666.0,20.2,347.88,8.88,1.0,0
740.3889999999999,0.0,?,0.597,5.617000000000001,97.9,14.547,24.0,666.0,20.2,314.64,26.4,0.0,1
0.12204,0.0,?,?,6.625,57.8,34.952,2.0,276.0,18.0,?,6.65,0.0,0
0.08829,12.5,7.87,0.524,6.0120000000000005,66.6,?,5.0,311.0,15.2,395.6,12.43,0.0,0
0.17004,12.5,?,0.524,6.004,85.9,?,?,311.0,15.2,386.71,?,0.0,1
149.632,0.0,19.58,0.871,5.404,100.0,15.916,5.0,403.0,?,341.6,13.28,?,1
0.13158,0.0,10.01,0.547,6.176,72.5,27.301,6.0,432.0,17.8,393.3,12.04,0.0,1
?,85.0,4.15,0.429,6.516,27.7,85.353,4.0,351.0,17.9,?,?,0.0,0
377.4980000000001,?,?,0.655,?,84.7,28.715,24.0,666.0,?,22.01,?,0.0,1
0.537,0.0,6.2,0.504,5.981,68.1,36.715,8.0,307.0,17.4,378.35,11.65,0.0,0
143.33700000000005,0.0,18.1,0.614,6.229,88.0,?,?,?,20.2,383.32,13.11,0.0,1
0.14866,?,8.56,0.52,6.727,?,?,?,384.0,20.9,394.76,9.42,0.0,0
?,?,4.39,?,?,52.3,80.13600000000002,3.0,?,18.8,?,?,0.0,1
0.19133,?,5.86,0.431,?,70.2,79.54899999999998,7.0,?,19.1,389.13,18.46,?,1
112.658,0.0,19.58,0.871,5.012,?,16.102,5.0,?,14.7,343.28,12.12,1.0,1
415.292,0.0,18.1,0.693,5.5310000000000015,85.4,?,24.0,?,20.2,329.46,27.38,0.0,1
15.288,0.0,?,0.6709999999999999,6.649,?,?,24.0,666.0,20.2,363.02,23.24,0.0,1
?,?,5.86,0.431,6.718,17.5,?,7.0,330.0,?,393.74,6.56,0.0,0
?,45.0,3.44,?,6.782,?,37.886,5.0,398.0,15.2,?,?,?,0
0.03768,80.0,1.52,?,?,38.3,?,2.0,?,12.6,?,6.62,0.0,0
0.03659,?,4.86,0.426,6.3020000000000005,32.2,54.007,4.0,?,19.0,396.9,6.72,?,0
125.179,0.0,8.14,0.5379999999999999,5.57,98.1,37.979,?,307.0,21.0,376.57,21.02,0.0,1
?,0.0,18.1,0.631,3.863,100.0,15.106,24.0,666.0,?,?,13.33,0.0,0
0.04981,21.0,5.64,0.439,5.997999999999998,21.4,68.14699999999999,4.0,243.0,16.8,?,8.43,?,0
?,22.0,5.86,0.431,8.259,8.4,89.06700000000002,7.0,?,19.1,396.9,3.54,0.0,0
0.35809,0.0,6.2,0.507,6.9510000000000005,?,28.617,?,307.0,?,391.7,9.71,?,0
0.2896,0.0,9.69,0.585,5.39,72.9,27.986,6.0,391.0,?,?,21.14,0.0,1
0.22927,0.0,6.91,0.448,?,85.5,56.894,3.0,233.0,17.9,?,18.8,?,1
?,100.0,1.32,0.411,6.816,40.5,83.24799999999998,?,256.0,15.1,392.9,3.95,0.0,0
0.25915,0.0,21.89,0.624,5.693,?,17.883,?,437.0,21.2,?,17.19,0.0,1
?,0.0,10.59,0.489,?,?,42.392,4.0,277.0,18.6,?,14.66,1.0,0
0.09299,0.0,25.65,0.581,?,?,?,2.0,?,19.1,378.09,17.93,0.0,1
?,0.0,8.14,0.5379999999999999,5.727,?,37.965,4.0,307.0,?,390.95,11.28,?,1
0.06899,0.0,?,?,?,?,22.577,2.0,188.0,19.1,389.15,14.37,0.0,1
?,0.0,18.1,0.74,?,96.6,?,24.0,666.0,20.2,240.52,?,0.0,1
0.7904100000000001,?,9.9,0.544,?,?,26.403,4.0,304.0,18.4,396.9,5.98,0.0,1
0.16211,?,6.96,?,6.24,16.3,4.4289999999999985,3.0,223.0,18.6,?,6.59,?,0
?,?,?,0.713,6.749,92.6,23.236,24.0,666.0,?,0.32,?,0.0,1
0.0686,0.0,?,0.445,7.416,62.5,?,?,276.0,18.0,396.9,6.19,0.0,0
0.95577,0.0,8.14,0.5379999999999999,?,88.8,44.534,4.0,?,21.0,306.38,17.28,0.0,1
0.03502,80.0,4.95,0.411,?,27.9,51.167,4.0,?,19.2,396.9,3.33,?,0
0.03738,0.0,5.19,0.515,?,?,64.584,?,224.0,20.2,389.4,6.75,?,1
111.604,?,?,0.74,?,94.6,21.247,24.0,666.0,20.2,?,?,?,1
0.10008,?,2.46,?,6.563,95.6,2.847,?,193.0,17.8,396.9,5.68,?,0
0.16902,0.0,25.65,0.581,5.9860000000000015,88.4,19.929,2.0,?,19.1,385.02,14.81,?,1
0.19802,?,10.59,?,?,?,39.454,4.0,277.0,18.6,393.63,9.47,?,0
0.030410000000000006,0.0,5.19,?,5.895,59.6,?,5.0,224.0,20.2,394.81,10.56,0.0,1
123.247,?,8.14,0.5379999999999999,6.142,91.7,39.769,4.0,307.0,21.0,396.9,18.72,0.0,1
0.55007,20.0,3.97,0.647,7.206,91.6,19.301,?,264.0,13.0,387.89,8.1,0.0,0
0.11747,12.5,7.87,0.524,6.009,?,62.267,5.0,?,15.2,?,13.27,0.0,1
0.33147,?,6.2,0.507,8.247,70.4,36.519,8.0,307.0,17.4,?,3.95,?,0
0.22876,0.0,8.56,0.52,6.405,85.4,27.147,?,384.0,20.9,70.8,10.63,0.0,1
0.03551,25.0,4.86,0.426,6.167000000000002,?,54.007,4.0,281.0,19.0,390.64,?,0.0,0
180.846,0.0,18.1,0.679,6.434,100.0,18.347,24.0,666.0,?,27.25,?,0.0,1
0.28392,0.0,7.38,0.493,?,74.3,47.21100000000001,5.0,287.0,19.6,391.13,11.74,0.0,1
0.06127000000000001,40.0,6.41,0.447,6.8260000000000005,27.6,48.628,?,254.0,17.6,393.45,4.16,?,0
?,0.0,18.1,0.693,4.519,100.0,?,24.0,666.0,20.2,88.27,36.98,0.0,1
?,0.0,5.19,?,6.037000000000001,?,59.853,5.0,224.0,20.2,396.9,8.01,0.0,1
0.14932,25.0,5.13,?,5.7410000000000005,66.2,72.25399999999998,8.0,?,19.7,395.11,13.15,?,1
0.13117,?,8.56,?,?,?,21.224,?,384.0,20.9,387.69,?,?,1
155.757,?,?,0.58,?,71.0,?,24.0,666.0,20.2,368.74,18.13,0.0,1
?,0.0,18.1,0.614,5.3039999999999985,97.3,21.007,24.0,666.0,20.2,349.48,?,0.0,1
?,90.0,3.75,0.394,7.454,34.2,63.361,?,244.0,15.9,386.34,3.11,0.0,0
628.807,?,?,0.74,6.341,?,2.072,24.0,666.0,?,318.01,17.79,0.0,1
?,?,?,0.583,5.905,53.2,31.523000000000003,?,666.0,20.2,388.22,?,0.0,1
0.04684,0.0,3.41,?,6.417000000000002,?,30.923,2.0,270.0,17.8,392.18,?,0.0,0
?,0.0,?,0.584,?,59.7,?,24.0,666.0,20.2,?,?,?,1
?,?,18.1,?,5.52,100.0,?,24.0,666.0,?,396.9,24.56,0.0,1
144.38299999999995,0.0,18.1,0.597,6.852,100.0,14.655,24.0,666.0,20.2,179.36,?,0.0,0
0.04462,25.0,4.86,?,6.619,70.4,54.007,4.0,?,19.0,395.63,7.22,0.0,0
?,?,?,0.77,5.803,89.0,?,24.0,666.0,?,353.04,14.64,1.0,1
162.864,0.0,?,0.624,5.019,100.0,14.394,4.0,?,?,396.9,34.41,0.0,1
0.02187,60.0,2.93,?,6.8,?,62.19600000000001,?,265.0,15.6,?,5.03,0.0,0
0.32264,0.0,21.89,0.624,?,93.5,19.669,4.0,?,21.2,378.25,16.9,0.0,1
?,?,18.1,0.718,6.4110000000000005,100.0,18.589,24.0,666.0,20.2,318.75,?,0.0,1
?,?,18.1,0.6679999999999999,4.138,100.0,?,24.0,666.0,20.2,396.9,?,0.0,1
0.01311,90.0,1.22,?,7.249,?,86.96600000000002,5.0,226.0,17.9,395.93,?,?,0
0.08447,0.0,4.05,?,5.859,?,27.019,?,296.0,16.6,393.23,9.64,0.0,0
168.118,?,18.1,0.7,5.277,98.1,?,24.0,666.0,20.2,396.9,30.81,0.0,1
?,0.0,10.81,?,6.245,6.2,52.87300000000001,4.0,305.0,19.2,?,?,0.0,0
31.636,0.0,18.1,0.655,5.759,48.2,?,?,?,?,?,14.13,0.0,1
0.54452,0.0,?,?,6.151,97.9,16.687,4.0,?,21.2,396.9,18.46,0.0,1
0.59005,0.0,21.89,0.624,6.372000000000001,97.9,23.274,4.0,437.0,21.2,?,?,0.0,0
0.55778,0.0,21.89,0.624,?,98.2,?,4.0,437.0,21.2,394.67,16.96,?,1
0.07013,0.0,13.89,?,6.642,85.1,34.211,5.0,?,16.4,392.78,?,?,0
0.67191,0.0,?,?,5.813,?,4.682,4.0,?,21.0,376.88,14.81,?,1
933.889,0.0,?,0.679,6.38,95.6,19.682,24.0,666.0,?,60.72,?,0.0,1
?,34.0,6.09,0.433,?,40.4,54.917,7.0,?,16.1,395.75,?,0.0,1
0.12802,0.0,8.56,0.52,6.474,97.1,24.329,5.0,384.0,20.9,395.24,?,0.0,1
0.17331,0.0,9.69,0.585,5.707000000000002,54.0,23.817,6.0,?,19.2,396.9,12.01,0.0,1
0.3494,0.0,9.9,?,?,76.7,31.025,4.0,304.0,18.4,396.24,9.97,0.0,1
996.654,?,18.1,0.74,6.485,100.0,?,24.0,666.0,?,386.73,?,0.0,1
119.294,0.0,21.89,0.624,6.3260000000000005,?,2.271,4.0,437.0,21.2,396.9,?,0.0,1
236.862,0.0,?,0.871,4.926,95.7,14.608,5.0,403.0,?,?,29.53,0.0,1
?,70.0,2.24,0.4,7.041,?,78.278,?,?,14.8,371.58,4.74,0.0,0
0.88125,0.0,21.89,0.624,5.6370000000000005,?,?,?,437.0,21.2,?,18.34,0.0,1
0.04011,80.0,1.52,?,7.287000000000001,34.1,7.309,2.0,329.0,12.6,396.9,?,0.0,0
0.5405,20.0,3.97,0.575,?,52.6,2.872,?,?,13.0,390.3,3.16,0.0,0
566.637,?,?,0.74,6.2189999999999985,100.0,20.048,24.0,666.0,?,395.69,?,0.0,1
0.14231,?,10.01,0.547,6.254,84.2,22.565,?,432.0,17.8,388.74,10.45,?,1
0.08244,30.0,4.93,0.428,6.481,?,61.899,?,300.0,16.6,379.41,?,0.0,0
18.811,0.0,?,0.597,?,100.0,15.539,24.0,666.0,20.2,?,?,0.0,1
225.971,0.0,18.1,0.7,5.0,89.5,?,24.0,666.0,20.2,396.9,?,0.0,1
0.44178,0.0,6.2,?,6.5520000000000005,?,33.751,8.0,?,17.4,380.34,3.76,0.0,0
0.1712,0.0,8.56,0.52,5.836,91.9,2.211,5.0,?,20.9,395.67,18.66,0.0,1
?,0.0,12.83,0.4370000000000001,5.874,36.6,45.026,?,398.0,18.7,396.06,?,0.0,1
?,0.0,6.91,0.448,?,6.6,57.209,3.0,233.0,17.9,383.37,5.81,0.0,0
982.349,?,?,0.6709999999999999,6.794,98.8,?,24.0,666.0,20.2,396.9,21.24,0.0,1
?,55.0,2.25,0.389,6.4529999999999985,?,73.07300000000002,?,300.0,15.3,394.72,8.23,?,1
?,0.0,8.14,0.5379999999999999,5.949,?,47.075,4.0,307.0,21.0,396.9,?,0.0,1
0.21409,22.0,5.86,0.431,6.438,8.9,?,?,?,?,377.07,3.59,0.0,0
0.01501,80.0,2.01,?,6.635,29.7,8.344,?,280.0,17.0,390.94,5.99,0.0,0
?,0.0,18.1,?,4.88,100.0,15.895,24.0,666.0,20.2,?,?,0.0,1
?,22.0,5.86,0.431,?,?,89.06700000000002,?,?,19.1,386.09,3.53,0.0,0
0.02763,75.0,?,0.428,6.595,21.8,54.011,?,252.0,18.3,395.63,?,0.0,0
183.377,0.0,19.58,0.605,7.802,98.2,20.407,?,403.0,14.7,389.61,1.92,1.0,0
?,0.0,6.91,?,?,40.0,57.209,?,233.0,17.9,?,9.55,?,1
481.213,0.0,18.1,0.713,6.7010000000000005,90.0,25.975,24.0,666.0,?,255.23,?,0.0,1
?,?,?,0.584,6.348,86.1,20.527,24.0,666.0,?,83.45,17.64,0.0,1
0.57834,20.0,3.97,?,8.297,67.0,24.216,5.0,264.0,13.0,384.54,?,0.0,0
?,0.0,5.19,0.515,5.968,58.5,48.122,5.0,?,20.2,?,?,?,1
0.07503,33.0,2.18,?,7.42,71.9,30.992,?,?,18.4,396.9,6.47,0.0,0
0.02731,0.0,7.07,0.469,6.421,78.9,49.67100000000001,?,242.0,17.8,?,9.14,0.0,1
679.2080000000002,?,18.1,0.693,5.683,100.0,?,24.0,666.0,?,384.97,22.98,0.0,1
0.06724,0.0,3.24,?,6.332999999999998,?,?,4.0,?,16.9,375.21,7.34,0.0,0
0.8520399999999999,0.0,8.14,?,5.965,89.2,40.12300000000001,4.0,307.0,21.0,392.53,13.83,?,1
?,0.0,12.83,0.4370000000000001,6.273,6.0,42.515,5.0,398.0,18.7,394.92,6.78,0.0,0
180.028,0.0,19.58,0.605,5.877000000000002,79.2,24.259,5.0,403.0,14.7,227.61,?,?,0
0.26938,0.0,9.9,?,?,?,32.628,4.0,304.0,18.4,393.39,7.9,0.0,1
?,34.0,6.09,0.433,6.982,17.7,54.917,7.0,?,?,?,4.86,0.0,0
0.1676,0.0,7.38,0.493,6.426,52.3,45.404,5.0,287.0,19.6,?,7.2,0.0,0
0.10153,0.0,?,?,6.279,74.5,40.522,5.0,398.0,18.7,?,11.97,0.0,1
0.03466,35.0,6.06,0.4379,?,23.3,66.407,?,?,16.9,362.25,7.83,0.0,1
0.07977999999999999,40.0,?,0.447,6.482,32.1,41.403,4.0,254.0,17.6,396.9,7.19,?,0
?,0.0,?,?,5.67,28.8,27.986,?,?,19.2,393.29,17.6,0.0,0
?,0.0,18.1,0.679,5.896,?,19.096,24.0,666.0,20.2,?,?,0.0,1
?,?,18.1,0.6709999999999999,6.968,91.9,?,24.0,666.0,?,396.9,17.21,0.0,1
0.01709,90.0,2.02,0.41,6.728,36.1,121.265,?,187.0,?,?,4.5,0.0,0
0.02543,55.0,3.78,?,?,56.4,?,?,370.0,17.6,396.9,?,0.0,0
113.081,?,8.14,0.5379999999999999,5.712999999999999,?,4.2330000000000005,4.0,307.0,21.0,360.17,22.6,0.0,1
0.7842,0.0,8.14,0.5379999999999999,?,?,42.57899999999999,4.0,307.0,21.0,386.75,14.67,0.0,1
0.13262000000000002,0.0,?,0.52,5.851,?,?,?,384.0,20.9,394.05,?,?,1
0.04203,28.0,15.04,0.464,?,53.6,36.659,?,270.0,18.2,395.01,8.16,0.0,0
233.099,0.0,19.58,?,?,93.8,15.296,5.0,403.0,?,356.99,28.32,0.0,1
0.5341199999999999,20.0,3.97,?,?,89.4,21.398000000000003,5.0,264.0,13.0,?,7.26,0.0,0
0.03584,80.0,3.37,0.398,?,17.8,66.115,4.0,?,16.1,396.9,4.67,?,0
0.22212,0.0,10.01,0.547,?,95.4,2.548,6.0,432.0,?,?,17.09,0.0,1
?,?,18.1,0.655,6.209,65.4,?,24.0,666.0,?,396.9,?,?,1
237.93400000000003,?,19.58,0.871,6.13,100.0,14.191,5.0,403.0,?,172.91,27.8,0.0,1
0.22438,0.0,9.69,0.585,6.027,79.7,24.982,?,391.0,19.2,396.9,14.33,0.0,1
0.40771,0.0,6.2,?,6.164,?,3.048,?,307.0,17.4,?,21.46,1.0,1
0.57529,?,6.2,0.507,?,73.3,38.384,8.0,307.0,17.4,?,2.47,?,0
?,12.5,6.07,0.409,?,?,6.497999999999998,?,?,18.9,396.21,8.1,?,1
0.35233000000000003,0.0,21.89,0.624,6.454,98.4,18.498,4.0,437.0,21.2,?,?,0.0,1
0.0837,45.0,3.44,0.4370000000000001,7.185,38.9,45.667,5.0,398.0,15.2,?,?,0.0,0
696.215,?,?,0.7,5.712999999999999,97.0,?,24.0,666.0,?,394.43,17.11,0.0,1
38.497,?,?,?,6.395,91.0,?,24.0,666.0,20.2,391.34,?,1.0,1
0.0459,52.5,5.32,0.405,6.315,?,73.172,6.0,293.0,?,?,7.6,0.0,1
151.77200000000005,?,?,0.74,?,?,19.142,24.0,?,?,?,?,0.0,1
0.05644,40.0,6.41,0.447,6.757999999999999,?,40.776,4.0,254.0,17.6,396.9,3.53,1.0,0
0.26363000000000003,0.0,8.56,0.52,6.229,91.2,25.451,5.0,384.0,20.9,?,15.55,0.0,1
?,0.0,3.41,0.489,6.405,73.9,30.921,2.0,?,17.8,393.55,?,?,1
0.04294,28.0,15.04,?,6.249,77.3,3.615,4.0,270.0,18.2,396.9,10.59,0.0,1
0.06588,?,2.46,0.488,7.765,83.3,2.741,?,193.0,17.8,395.56,7.56,0.0,0
?,?,18.1,0.713,6.185,98.7,?,24.0,666.0,?,396.9,18.13,0.0,1
815.174,?,?,0.7,5.39,98.9,17.281,24.0,666.0,20.2,396.9,?,0.0,1
0.37578,0.0,10.59,?,?,88.6,3.665,4.0,277.0,18.6,395.24,23.98,1.0,1
16.566,0.0,19.58,0.871,?,?,1.618,?,403.0,14.7,372.8,14.1,0.0,1
?,0.0,10.01,0.547,6.021,?,27.474,6.0,432.0,17.8,394.51,10.3,0.0,1
122.358,0.0,19.58,0.605,6.943,?,18.773,?,403.0,14.7,?,4.59,0.0,0
0.10328,?,5.13,0.453,5.9270000000000005,47.2,6.932,8.0,284.0,19.7,396.9,9.22,0.0,1
