height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
7.0,34.0,238.0,?,0.265,0.748,1.4,63.0,178.0,45.0,1
?,9.0,63.0,1.286,0.349,0.746,1.69,?,47.0,13.0,1
10.0,21.0,?,2.1,0.324,0.6,?,68.0,?,20.0,1
30.0,61.0,1830.0,2.033,0.157,?,1.88,288.0,?,153.0,0
10.0,1.0,10.0,?,1.0,1.0,10.0,10.0,10.0,1.0,0
9.0,20.0,?,2.222,0.361,0.7,2.32,65.0,126.0,28.0,1
9.0,32.0,288.0,3.556,0.333,0.861,1.68,96.0,248.0,57.0,1
?,23.0,391.0,1.3530000000000002,0.373,0.621,10.43,146.0,243.0,14.0,1
8.0,33.0,264.0,?,0.436,0.8859999999999999,1.89,?,234.0,61.0,1
9.0,24.0,216.0,2.667,0.213,0.468,1.28,46.0,101.0,36.0,1
12.0,117.0,1404.0,9.75,0.231,0.7120000000000001,1.68,324.0,1000.0,193.0,1
8.0,525.0,4200.0,65.625,0.095,0.444,1.34,398.0,1865.0,?,1
?,36.0,216.0,6.0,0.509,0.991,2.0,110.0,214.0,?,1
10.0,51.0,510.0,5.1,0.337,0.773,2.12,?,394.0,81.0,1
1.0,33.0,33.0,33.0,0.667,1.0,3.67,22.0,33.0,6.0,0
6.0,46.0,276.0,7.667000000000002,0.322,0.877,1.48,89.0,242.0,60.0,1
9.0,82.0,738.0,9.111,0.306,0.695,2.86,226.0,513.0,?,1
10.0,165.0,1650.0,?,0.258,0.695,1.65,426.0,1147.0,258.0,1
?,261.0,2088.0,32.625,0.218,0.773,1.34,455.0,1615.0,?,1
7.0,207.0,1449.0,29.571,0.249,0.7709999999999999,1.29,361.0,1117.0,279.0,1
9.0,249.0,?,27.667,0.301,0.7390000000000001,1.96,674.0,1655.0,344.0,1
53.0,48.0,2544.0,0.906,0.157,0.269,7.84,400.0,685.0,51.0,0
7.0,38.0,266.0,5.4289999999999985,0.301,0.85,1.45,?,226.0,55.0,1
?,22.0,242.0,2.0,0.632,0.8640000000000001,8.05,153.0,209.0,19.0,1
7.0,14.0,98.0,2.0,0.337,?,1.38,?,77.0,24.0,1
7.0,7.0,49.0,1.0,0.306,0.898,1.36,15.0,44.0,11.0,1
12.0,284.0,3408.0,23.667,0.325,0.725,?,1109.0,?,386.0,1
11.0,118.0,1298.0,10.727,?,0.7979999999999999,1.99,376.0,1036.0,189.0,1
8.0,69.0,552.0,8.625,0.205,0.826,?,113.0,456.0,82.0,1
9.0,169.0,1521.0,18.778,0.343,?,2.61,522.0,1058.0,200.0,1
7.0,14.0,?,2.0,0.3670000000000001,0.7859999999999999,1.57,?,77.0,23.0,1
8.0,48.0,384.0,6.0,0.354,0.865,?,136.0,332.0,72.0,1
1.0,12.0,12.0,12.0,0.583,1.0,1.75,7.0,12.0,4.0,1
1.0,45.0,45.0,45.0,0.35600000000000004,1.0,1.07,16.0,45.0,15.0,1
9.0,29.0,?,3.222,?,0.747,1.53,75.0,195.0,49.0,1
6.0,28.0,168.0,4.667,0.327,0.589,2.12,?,99.0,?,1
2.0,69.0,138.0,?,0.623,0.906,10.75,?,125.0,8.0,0
?,40.0,280.0,5.714,0.18600000000000005,0.754,2.26,52.0,?,23.0,1
52.0,461.0,23972.0,8.865,?,?,?,4607.0,?,400.0,0
8.0,148.0,1184.0,?,0.182,0.625,1.2,216.0,740.0,180.0,1
6.0,13.0,78.0,2.167,0.308,?,1.6,24.0,68.0,15.0,1
10.0,60.0,600.0,6.0,0.365,0.7879999999999999,?,219.0,473.0,93.0,1
12.0,167.0,2004.0,13.917,0.225,0.752,1.93,451.0,1507.0,234.0,1
5.0,24.0,120.0,4.8,0.375,0.95,1.45,45.0,114.0,31.0,1
1.0,36.0,36.0,36.0,?,1.0,1.14,8.0,36.0,7.0,1
7.0,346.0,2422.0,49.429,0.16699999999999998,0.7070000000000001,1.19,404.0,1712.0,339.0,1
8.0,23.0,184.0,2.875,0.348,0.723,2.0,64.0,133.0,32.0,1
8.0,98.0,?,12.25,0.282,0.8640000000000001,1.42,221.0,677.0,156.0,1
12.0,?,2940.0,20.417,?,0.797,1.7,599.0,2342.0,353.0,1
11.0,154.0,1694.0,?,0.36,?,2.96,609.0,1238.0,206.0,1
?,?,245.0,?,0.245,0.804,1.36,60.0,?,44.0,1
9.0,52.0,468.0,5.778,0.359,0.8270000000000001,2.4,?,387.0,70.0,1
10.0,?,2710.0,27.1,0.197,0.748,?,533.0,2027.0,?,1
?,3.0,15.0,0.6,0.467,1.0,7.0,7.0,15.0,1.0,1
8.0,70.0,560.0,8.75,0.388,0.841,2.21,?,471.0,98.0,1
6.0,83.0,498.0,13.833,0.329,0.823,1.58,164.0,?,104.0,1
24.0,187.0,4488.0,7.792000000000002,0.485,0.918,8.16,2178.0,4122.0,?,1
11.0,?,132.0,1.091,0.455,0.977,2.22,60.0,?,27.0,1
7.0,26.0,182.0,?,0.33,0.7859999999999999,2.07,60.0,143.0,29.0,1
8.0,14.0,112.0,1.75,0.35700000000000004,0.67,2.0,40.0,75.0,20.0,1
?,19.0,171.0,2.111,0.251,0.977,1.34,43.0,167.0,32.0,1
11.0,185.0,?,16.817999999999998,0.35600000000000004,0.772,2.94,724.0,1572.0,246.0,1
7.0,227.0,1589.0,32.429,0.217,0.509,1.6,345.0,809.0,215.0,1
7.0,53.0,?,7.5710000000000015,0.08900000000000001,0.245,1.5,33.0,91.0,22.0,1
24.0,468.0,11232.0,19.5,?,0.922,?,5296.0,10359.0,?,1
8.0,192.0,1536.0,24.0,0.207,0.579,1.57,318.0,889.0,203.0,1
25.0,340.0,8500.0,13.6,?,?,16.57,7358.0,?,?,1
8.0,7.0,56.0,0.875,0.268,?,1.67,15.0,44.0,9.0,1
8.0,9.0,72.0,1.125,0.319,0.639,2.09,23.0,46.0,11.0,1
10.0,511.0,5110.0,51.1,0.141,0.529,1.3,721.0,2701.0,555.0,1
8.0,33.0,264.0,4.125,0.39,0.973,1.72,103.0,257.0,60.0,1
10.0,162.0,1620.0,16.2,0.294,0.73,2.71,477.0,1183.0,176.0,1
9.0,48.0,432.0,5.332999999999998,?,0.738,1.41,111.0,?,79.0,1
9.0,82.0,738.0,9.111,?,0.924,2.39,301.0,682.0,126.0,1
8.0,1.0,8.0,0.125,1.0,1.0,8.0,8.0,8.0,1.0,0
8.0,4.0,32.0,0.5,0.594,1.0,2.71,19.0,32.0,7.0,1
10.0,131.0,?,13.1,0.415,0.857,2.74,543.0,?,198.0,1
8.0,24.0,192.0,3.0,?,0.964,1.8,72.0,185.0,40.0,1
7.0,32.0,224.0,4.5710000000000015,0.268,0.83,1.28,60.0,186.0,47.0,1
10.0,130.0,1300.0,13.0,0.425,0.773,2.79,552.0,1005.0,198.0,1
9.0,103.0,927.0,11.444,0.243,0.6629999999999999,1.42,225.0,615.0,159.0,1
8.0,64.0,512.0,8.0,0.541,0.947,3.85,277.0,485.0,72.0,1
39.0,353.0,13767.0,9.051,?,0.608,16.89,7667.0,?,?,1
8.0,11.0,88.0,1.375,0.318,1.0,1.4,28.0,88.0,20.0,1
6.0,4.0,24.0,0.667,0.5,0.75,6.0,12.0,18.0,2.0,1
?,232.0,2088.0,25.778,?,0.782,?,?,1633.0,326.0,1
7.0,7.0,49.0,1.0,0.245,0.878,1.71,12.0,43.0,7.0,1
11.0,9.0,99.0,0.818,0.465,0.818,9.2,46.0,81.0,5.0,1
?,46.0,322.0,6.5710000000000015,0.177,0.304,8.14,57.0,98.0,7.0,0
9.0,152.0,1368.0,?,0.379,0.765,2.77,518.0,1047.0,187.0,1
5.0,7.0,35.0,1.4,0.5710000000000001,1.0,2.5,20.0,35.0,8.0,1
8.0,?,672.0,10.5,0.229,0.6890000000000001,1.4,154.0,463.0,110.0,1
?,52.0,364.0,7.4289999999999985,0.266,0.959,1.21,97.0,349.0,80.0,1
8.0,48.0,384.0,6.0,0.302,0.914,1.76,116.0,?,66.0,1
9.0,55.0,495.0,?,0.275,0.6609999999999999,1.92,136.0,327.0,71.0,1
8.0,108.0,864.0,13.5,0.235,0.618,?,203.0,534.0,144.0,1
10.0,28.0,?,2.8,0.293,0.8,2.0,82.0,224.0,41.0,1
8.0,114.0,912.0,14.25,0.116,0.408,1.45,106.0,372.0,73.0,1
12.0,43.0,516.0,3.583,0.31,0.7929999999999999,2.32,160.0,409.0,69.0,1
13.0,?,5720.0,33.846,0.255,0.696,2.18,1459.0,3983.0,669.0,1
8.0,?,104.0,1.625,0.635,0.7879999999999999,8.25,66.0,82.0,8.0,1
8.0,12.0,96.0,?,0.4270000000000001,0.75,2.05,41.0,72.0,20.0,1
8.0,29.0,?,3.625,0.401,0.884,2.38,93.0,205.0,39.0,1
5.0,18.0,90.0,3.6,0.6890000000000001,?,3.44,62.0,90.0,18.0,1
11.0,?,1771.0,?,0.329,0.605,3.05,582.0,1071.0,191.0,1
7.0,7.0,49.0,1.0,0.327,1.0,2.0,?,49.0,8.0,1
5.0,16.0,80.0,3.2,0.313,0.813,2.08,25.0,65.0,12.0,1
9.0,63.0,567.0,?,0.289,0.778,1.98,164.0,441.0,83.0,1
10.0,40.0,400.0,4.0,0.428,0.895,3.05,171.0,358.0,56.0,1
1.0,?,?,40.0,1.0,1.0,40.0,40.0,40.0,?,0
8.0,?,160.0,2.5,0.406,0.906,?,65.0,145.0,35.0,1
6.0,13.0,78.0,2.167,0.179,?,2.0,14.0,72.0,7.0,1
9.0,21.0,189.0,2.333,0.529,0.958,3.33,100.0,181.0,30.0,1
7.0,37.0,259.0,5.2860000000000005,0.521,0.954,3.14,?,?,43.0,1
1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,1.0,0
9.0,174.0,1566.0,19.333,0.15,0.738,1.22,235.0,1156.0,193.0,1
10.0,62.0,?,6.2,0.265,0.6559999999999999,2.19,164.0,407.0,75.0,1
8.0,48.0,384.0,6.0,0.341,0.737,1.96,131.0,283.0,67.0,1
10.0,99.0,?,9.9,0.473,0.917,2.93,?,908.0,160.0,1
5.0,8.0,?,1.6,0.375,0.475,15.0,15.0,19.0,1.0,1
12.0,207.0,2484.0,17.25,0.2,0.6990000000000001,1.7,?,1736.0,292.0,1
10.0,23.0,230.0,2.3,0.361,0.774,?,83.0,178.0,34.0,1
?,?,?,22.571,0.211,0.552,1.6,233.0,610.0,146.0,1
12.0,85.0,1020.0,7.082999999999998,0.476,0.614,5.4,486.0,626.0,90.0,1
9.0,49.0,441.0,5.444,0.231,0.685,1.46,102.0,302.0,70.0,1
16.0,?,5744.0,22.438,?,0.652,5.41,2158.0,3747.0,?,1
11.0,43.0,473.0,3.909,0.336,0.753,2.74,159.0,356.0,58.0,1
8.0,?,2392.0,37.375,0.18600000000000005,0.687,?,446.0,1643.0,338.0,1
8.0,28.0,224.0,3.5,0.397,0.996,2.07,89.0,223.0,43.0,1
5.0,23.0,115.0,?,0.504,0.7829999999999999,2.42,58.0,90.0,24.0,1
14.0,84.0,?,6.0,0.261,?,2.31,307.0,733.0,133.0,1
9.0,16.0,144.0,1.778,0.375,1.0,2.08,54.0,144.0,26.0,1
9.0,17.0,153.0,1.889,0.608,0.856,7.15,93.0,?,13.0,1
9.0,21.0,189.0,2.333,0.519,0.942,3.27,98.0,178.0,30.0,1
8.0,102.0,816.0,12.75,0.403,?,2.7,329.0,758.0,122.0,1
10.0,72.0,720.0,7.2,0.292,0.667,?,210.0,480.0,116.0,1
13.0,369.0,4797.0,28.385,0.397,0.662,4.79,1906.0,3176.0,?,1
8.0,55.0,440.0,6.875,0.225,0.645,1.77,99.0,284.0,56.0,1
5.0,4.0,20.0,0.8,0.45,0.8,3.0,9.0,16.0,?,1
8.0,12.0,96.0,?,0.438,1.0,2.1,42.0,96.0,20.0,1
9.0,?,1395.0,?,0.34600000000000003,0.731,2.44,483.0,1020.0,?,1
12.0,497.0,5964.0,41.417,0.278,?,2.27,1657.0,?,731.0,1
5.0,12.0,60.0,2.4,?,0.75,1.46,19.0,45.0,13.0,1
13.0,350.0,4550.0,26.923,0.381,?,4.49,1732.0,2682.0,386.0,1
4.0,9.0,36.0,2.25,0.611,0.611,22.0,22.0,22.0,1.0,0
8.0,12.0,96.0,1.5,0.4270000000000001,0.7190000000000001,2.73,41.0,69.0,15.0,1
3.0,113.0,339.0,37.667,?,0.472,?,139.0,160.0,10.0,0
7.0,18.0,126.0,2.571,0.27,0.8809999999999999,1.36,34.0,111.0,25.0,1
8.0,43.0,?,5.375,0.343,0.977,1.71,118.0,336.0,69.0,1
12.0,8.0,96.0,0.667,0.292,1.0,3.11,28.0,96.0,9.0,1
6.0,14.0,84.0,2.333,0.298,0.619,1.79,25.0,52.0,14.0,1
7.0,13.0,91.0,1.857,0.33,0.923,1.76,30.0,?,17.0,1
9.0,47.0,423.0,5.222,0.274,0.747,2.42,116.0,316.0,?,1
8.0,24.0,192.0,3.0,?,0.568,1.7,?,109.0,23.0,1
?,?,40.0,0.4,0.375,0.4,15.0,15.0,16.0,?,1
?,239.0,3107.0,18.385,?,0.615,2.16,742.0,1912.0,?,1
8.0,80.0,640.0,?,0.303,0.922,1.72,194.0,?,113.0,1
?,22.0,198.0,2.444,0.268,0.596,3.31,53.0,118.0,16.0,1
9.0,54.0,486.0,?,0.191,0.741,1.24,93.0,360.0,75.0,1
11.0,43.0,473.0,3.909,0.281,0.774,2.18,133.0,366.0,61.0,1
8.0,535.0,4280.0,66.875,0.16399999999999998,0.6,?,?,2566.0,520.0,1
6.0,19.0,114.0,?,0.289,0.789,1.38,33.0,90.0,24.0,1
6.0,50.0,?,8.333,0.327,0.687,2.0,98.0,206.0,49.0,1
8.0,?,512.0,8.0,0.385,?,1.93,197.0,467.0,102.0,1
?,12.0,96.0,1.5,0.4270000000000001,0.927,2.05,41.0,89.0,20.0,1
24.0,84.0,2016.0,?,0.474,?,8.69,956.0,1758.0,110.0,1
13.0,38.0,?,2.923,0.314,0.957,3.6,?,473.0,43.0,1
9.0,?,1332.0,16.444000000000006,0.146,0.5579999999999999,?,195.0,743.0,167.0,1
8.0,162.0,1296.0,20.25,0.435,0.936,3.0,564.0,1213.0,188.0,1
9.0,96.0,864.0,10.667,0.281,0.815,1.96,?,704.0,124.0,1
10.0,?,?,10.0,0.41,?,2.81,410.0,846.0,146.0,1
7.0,15.0,105.0,2.143,0.229,?,1.41,24.0,103.0,17.0,1
1.0,17.0,?,17.0,1.0,1.0,17.0,17.0,17.0,1.0,0
9.0,?,?,2.333,?,0.762,1.57,?,144.0,35.0,1
17.0,245.0,4165.0,14.412,0.913,0.997,12.97,3801.0,4152.0,?,1
12.0,40.0,480.0,3.333,0.271,0.733,1.97,130.0,?,66.0,1
26.0,?,4420.0,6.5379999999999985,0.188,0.909,?,?,?,542.0,1
10.0,?,310.0,3.1,0.281,0.606,1.98,87.0,188.0,44.0,1
10.0,20.0,200.0,2.0,0.375,0.855,2.27,75.0,171.0,33.0,1
7.0,46.0,322.0,6.5710000000000015,0.304,0.963,2.58,98.0,310.0,38.0,1
9.0,40.0,360.0,4.444,0.35600000000000004,0.967,2.29,128.0,348.0,56.0,1
8.0,25.0,?,3.125,?,0.77,1.68,67.0,154.0,40.0,1
22.0,20.0,440.0,0.909,0.28,0.57,5.35,123.0,251.0,23.0,1
9.0,187.0,1683.0,20.778,0.42,0.7859999999999999,3.03,707.0,1323.0,233.0,1
12.0,73.0,876.0,6.082999999999998,0.257,0.591,2.14,225.0,518.0,105.0,1
