height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
7.0,7.0,?,?,?,?,1.36,15.0,?,11.0,1
12.0,284.0,?,?,?,0.725,?,?,2471.0,?,1
?,118.0,?,10.727,?,?,?,?,1036.0,?,1
?,?,552.0,8.625,0.205,?,1.38,?,?,82.0,1
?,?,1521.0,18.778,0.343,0.696,?,522.0,1058.0,?,1
?,?,98.0,?,0.3670000000000001,0.7859999999999999,1.57,?,77.0,23.0,1
8.0,48.0,?,?,?,?,?,?,332.0,?,1
1.0,12.0,12.0,12.0,0.583,?,1.75,7.0,?,4.0,1
?,45.0,?,?,0.356,?,1.07,?,45.0,?,1
9.0,29.0,?,3.222,0.287,0.747,1.53,?,195.0,49.0,1
6.0,?,?,?,?,?,?,?,99.0,?,1
?,?,138.0,34.5,0.623,0.906,?,86.0,125.0,8.0,0
7.0,?,280.0,5.714,?,?,2.26,52.0,?,?,1
52.0,461.0,?,8.865,?,0.248,?,?,?,400.0,0
?,?,?,18.5,?,0.625,1.2,?,?,180.0,1
6.0,?,78.0,2.167,?,0.872,1.6,24.0,?,15.0,1
?,?,600.0,?,0.365,?,2.35,219.0,473.0,?,1
12.0,167.0,?,?,?,0.752,?,?,?,234.0,1
5.0,?,?,4.8,0.375,?,1.45,?,?,?,1
?,36.0,36.0,?,?,1.0,?,?,?,?,1
7.0,346.0,2422.0,?,0.1669999999999999,0.7070000000000001,1.19,?,?,?,1
?,23.0,184.0,2.875,0.348,0.723,2.0,?,?,32.0,1
?,98.0,784.0,?,?,0.8640000000000001,1.42,?,?,156.0,1
?,?,?,20.417,?,0.797,?,?,?,?,1
11.0,154.0,?,?,0.36,0.731,2.96,609.0,1238.0,?,1
7.0,?,245.0,?,0.245,0.804,?,?,?,44.0,1
9.0,52.0,468.0,?,?,0.8270000000000001,?,168.0,?,?,1
?,?,2710.0,27.1,0.197,?,?,533.0,?,386.0,1
5.0,?,15.0,0.6,?,1.0,?,7.0,?,1.0,1
?,?,?,?,0.388,?,?,?,471.0,98.0,1
?,83.0,498.0,13.833,?,?,?,164.0,410.0,104.0,1
?,187.0,4488.0,7.792000000000002,0.485,?,?,?,4122.0,?,1
11.0,?,?,?,?,0.977,?,60.0,129.0,?,1
?,?,182.0,?,0.33,0.7859999999999999,?,?,?,29.0,1
?,?,112.0,?,?,0.67,2.0,40.0,?,20.0,1
9.0,?,171.0,2.111,0.251,?,1.34,43.0,167.0,?,1
11.0,185.0,?,16.817999999999998,?,0.772,2.94,?,1572.0,246.0,1
?,227.0,1589.0,32.429,0.217,?,?,?,?,215.0,1
7.0,53.0,371.0,?,?,?,1.5,33.0,?,?,1
?,?,?,19.5,?,0.922,?,?,?,?,1
8.0,?,?,?,?,0.579,1.57,318.0,889.0,?,1
?,340.0,?,13.6,?,0.926,?,?,7872.0,?,1
8.0,?,?,0.875,?,?,1.67,15.0,44.0,9.0,1
?,?,72.0,?,0.319,?,2.09,23.0,?,11.0,1
10.0,511.0,?,?,?,0.529,?,?,?,?,1
8.0,33.0,?,4.125,?,0.973,1.72,?,?,60.0,1
?,162.0,?,16.2,0.294,?,?,?,?,176.0,1
9.0,?,?,?,0.257,0.738,1.41,111.0,?,79.0,1
9.0,82.0,738.0,?,0.408,?,2.39,301.0,682.0,126.0,1
8.0,?,8.0,?,1.0,?,?,?,?,?,0
8.0,?,?,?,0.594,?,?,19.0,?,?,1
10.0,131.0,?,?,?,?,?,543.0,?,198.0,1
?,24.0,192.0,?,?,0.964,?,?,185.0,?,1
7.0,32.0,224.0,?,?,?,?,?,186.0,47.0,1
?,?,1300.0,?,?,0.773,?,?,1005.0,?,1
9.0,?,927.0,11.444,?,?,?,225.0,615.0,159.0,1
?,?,?,?,?,?,?,?,?,72.0,1
?,353.0,?,9.051,?,0.608,?,?,?,?,1
8.0,?,?,?,0.318,?,?,28.0,88.0,20.0,1
6.0,4.0,24.0,?,?,?,6.0,?,?,2.0,1
?,232.0,2088.0,25.778,?,0.782,?,573.0,1633.0,?,1
?,?,49.0,1.0,0.245,0.878,?,?,43.0,?,1
?,9.0,99.0,?,?,0.818,9.2,?,81.0,5.0,1
?,?,322.0,?,?,?,8.14,?,98.0,7.0,0
9.0,?,1368.0,16.889,0.379,?,?,?,1047.0,?,1
?,?,35.0,1.4,0.5710000000000001,1.0,2.5,20.0,35.0,?,1
8.0,84.0,?,10.5,0.229,?,1.4,?,?,110.0,1
?,52.0,364.0,7.4289999999999985,?,0.959,?,?,349.0,80.0,1
8.0,?,?,?,0.302,?,?,?,?,?,1
9.0,55.0,495.0,6.1110000000000015,0.275,0.6609999999999999,?,?,?,?,1
8.0,?,?,13.5,?,0.618,?,?,534.0,144.0,1
?,?,280.0,?,0.293,0.8,2.0,82.0,224.0,41.0,1
?,?,?,14.25,?,?,?,106.0,?,?,1
?,43.0,?,?,?,0.7929999999999999,?,?,?,69.0,1
?,?,?,33.846,?,0.696,?,?,3983.0,?,1
?,?,104.0,1.625,0.635,0.7879999999999999,?,66.0,82.0,8.0,1
?,?,96.0,1.5,0.4270000000000001,?,?,41.0,72.0,20.0,1
8.0,?,?,?,?,0.884,?,93.0,205.0,39.0,1
5.0,18.0,90.0,?,?,1.0,?,62.0,?,18.0,1
11.0,?,1771.0,14.636,0.329,0.605,3.05,?,1071.0,191.0,1
7.0,?,49.0,?,?,1.0,2.0,16.0,?,8.0,1
?,?,?,3.2,0.313,?,?,25.0,?,12.0,1
?,?,?,7.0,?,?,1.98,164.0,441.0,83.0,1
10.0,?,?,?,?,0.895,3.05,171.0,?,?,1
?,40.0,40.0,?,1.0,?,?,?,?,1.0,0
8.0,20.0,?,?,?,0.906,1.86,65.0,145.0,35.0,1
?,13.0,?,2.167,0.179,0.923,?,14.0,?,7.0,1
9.0,21.0,189.0,?,0.529,?,?,?,?,30.0,1
?,37.0,?,5.2860000000000005,0.521,0.954,?,135.0,247.0,?,1
1.0,?,?,10.0,1.0,1.0,10.0,10.0,?,?,0
?,174.0,?,?,?,0.738,?,235.0,1156.0,?,1
10.0,?,620.0,?,0.265,?,2.19,?,?,75.0,1
?,48.0,?,?,0.341,0.737,1.96,131.0,?,?,1
10.0,?,990.0,?,0.473,0.917,?,468.0,?,?,1
?,?,?,1.6,0.375,0.475,15.0,15.0,?,1.0,1
12.0,207.0,2484.0,17.25,0.2,?,?,?,?,?,1
?,23.0,230.0,2.3,0.361,?,2.44,?,?,34.0,1
?,158.0,?,22.571,?,?,1.6,233.0,610.0,146.0,1
12.0,85.0,1020.0,7.082999999999998,0.476,?,?,486.0,626.0,90.0,1
9.0,?,?,?,0.231,0.685,?,102.0,302.0,70.0,1
16.0,359.0,?,?,?,0.652,5.41,2158.0,?,399.0,1
11.0,43.0,?,3.909,0.336,?,2.74,?,356.0,58.0,1
8.0,?,2392.0,?,?,0.687,?,?,?,?,1
8.0,?,224.0,3.5,0.397,?,2.07,89.0,223.0,43.0,1
5.0,23.0,?,4.6,?,?,2.42,?,90.0,24.0,1
?,?,?,?,0.261,0.623,2.31,307.0,?,?,1
?,?,?,1.778,0.375,?,?,54.0,144.0,26.0,1
9.0,?,?,?,0.608,?,?,93.0,?,?,1
?,?,?,2.333,?,?,3.27,98.0,?,?,1
?,?,816.0,?,?,?,?,329.0,758.0,122.0,1
10.0,72.0,720.0,?,?,0.667,?,?,?,116.0,1
13.0,?,?,28.385,?,0.662,?,?,?,?,1
?,?,440.0,?,?,?,1.77,99.0,?,?,1
5.0,?,20.0,?,0.45,0.8,?,9.0,16.0,?,1
?,?,?,?,?,?,2.1,42.0,96.0,20.0,1
9.0,?,?,17.222,0.346,0.731,?,483.0,?,?,1
12.0,?,?,41.417,?,0.7509999999999999,?,1657.0,?,?,1
?,12.0,?,?,?,0.75,?,?,45.0,13.0,1
13.0,350.0,?,26.923,0.381,0.589,?,?,2682.0,?,1
4.0,?,36.0,?,0.611,0.611,?,?,?,1.0,0
?,?,?,1.5,0.4270000000000001,?,2.73,41.0,69.0,?,1
3.0,?,339.0,37.667,?,?,13.9,139.0,160.0,10.0,0
?,?,?,?,0.27,0.8809999999999999,1.36,?,?,?,1
8.0,?,?,5.375,?,0.977,?,?,?,?,1
12.0,8.0,?,0.667,?,?,?,28.0,?,9.0,1
6.0,14.0,?,2.333,?,0.619,1.79,?,?,14.0,1
7.0,13.0,91.0,?,0.33,?,?,30.0,84.0,17.0,1
?,?,423.0,5.222,0.274,?,2.42,116.0,?,48.0,1
8.0,?,?,3.0,0.203,?,1.7,?,?,?,1
10.0,?,40.0,?,?,0.4,15.0,15.0,?,1.0,1
13.0,239.0,?,18.385,?,0.615,2.16,742.0,?,?,1
8.0,?,640.0,?,0.303,?,?,?,?,?,1
?,22.0,198.0,2.444,?,0.596,?,?,118.0,16.0,1
9.0,?,486.0,?,0.191,?,1.24,93.0,360.0,?,1
11.0,43.0,473.0,?,0.281,?,2.18,133.0,366.0,?,1
?,?,?,?,?,0.6,?,?,2566.0,?,1
6.0,?,?,?,?,?,1.38,33.0,?,?,1
6.0,?,?,8.333,0.327,?,?,98.0,?,?,1
?,?,?,8.0,?,0.912,?,?,?,102.0,1
?,?,96.0,1.5,?,?,2.05,41.0,?,?,1
?,84.0,?,3.5,?,?,8.69,956.0,?,?,1
13.0,38.0,?,?,0.314,0.957,3.6,?,473.0,?,1
9.0,?,1332.0,16.444000000000006,0.146,?,?,?,?,167.0,1
8.0,162.0,?,20.25,0.435,0.936,3.0,564.0,1213.0,?,1
9.0,?,?,10.667,0.281,?,?,243.0,?,124.0,1
?,?,?,?,0.41,?,?,?,?,?,1
7.0,?,105.0,?,0.229,?,?,24.0,103.0,?,1
1.0,?,?,?,1.0,1.0,?,17.0,17.0,1.0,0
?,?,189.0,2.333,?,0.762,1.57,55.0,?,35.0,1
?,245.0,?,14.412,0.913,0.997,?,3801.0,?,?,1
?,40.0,480.0,3.333,?,?,?,130.0,352.0,66.0,1
?,?,?,6.537999999999999,?,?,1.54,833.0,4017.0,?,1
?,31.0,?,3.1,0.281,0.606,?,?,?,44.0,1
10.0,?,200.0,?,0.375,?,2.27,75.0,171.0,?,1
7.0,46.0,322.0,6.5710000000000015,0.304,0.963,?,98.0,?,38.0,1
9.0,40.0,?,4.444,0.356,?,2.29,128.0,?,56.0,1
?,?,?,3.125,0.335,?,?,?,?,40.0,1
22.0,20.0,?,?,0.28,?,5.35,123.0,251.0,?,1
9.0,187.0,1683.0,?,?,?,3.03,707.0,?,?,1
12.0,73.0,876.0,6.082999999999998,?,0.591,2.14,225.0,?,105.0,1
8.0,26.0,?,3.25,?,?,2.03,61.0,?,?,1
26.0,1.0,?,?,?,1.0,26.0,?,26.0,1.0,0
?,?,?,?,?,?,1.2,?,?,51.0,1
10.0,?,470.0,4.7,?,?,?,?,295.0,?,1
8.0,?,?,?,?,0.777,?,91.0,174.0,44.0,1
?,?,1728.0,?,0.408,0.747,3.18,705.0,?,?,1
5.0,94.0,470.0,18.8,0.183,?,1.62,86.0,?,?,1
?,?,?,?,0.241,0.5479999999999999,?,?,355.0,?,1
?,4.0,24.0,0.667,?,1.0,?,16.0,?,?,1
8.0,39.0,312.0,?,?,0.7120000000000001,1.36,64.0,222.0,47.0,1
?,6.0,?,?,0.417,?,?,?,12.0,?,1
22.0,72.0,?,3.273,?,0.848,8.64,?,?,?,1
?,?,230.0,2.3,0.313,0.8909999999999999,?,72.0,?,30.0,1
?,?,504.0,?,0.236,?,?,119.0,328.0,?,1
14.0,?,2618.0,13.357,0.265,?,?,?,?,?,1
8.0,8.0,?,1.0,?,0.922,?,22.0,59.0,12.0,1
?,?,700.0,?,0.411,?,?,?,594.0,157.0,1
12.0,?,540.0,?,0.467,?,6.63,252.0,?,?,1
8.0,31.0,?,?,0.371,?,?,?,?,?,1
?,9.0,?,?,?,?,2.0,20.0,?,10.0,1
?,340.0,?,14.167,?,?,2.67,?,?,?,1
8.0,?,824.0,?,?,?,?,?,?,129.0,1
?,85.0,?,7.727,0.257,?,?,240.0,836.0,144.0,1
12.0,?,?,?,0.266,?,1.99,377.0,1039.0,?,1
7.0,?,?,?,?,0.883,1.5,?,686.0,?,1
?,?,?,?,0.1689999999999999,?,1.37,295.0,1043.0,?,1
?,?,77.0,?,0.468,?,3.6,36.0,?,10.0,1
?,?,?,6.818,?,?,2.08,?,560.0,?,1
?,9.0,?,?,0.389,?,?,28.0,?,?,1
10.0,48.0,480.0,?,?,?,6.04,278.0,339.0,46.0,1
11.0,?,?,?,?,0.765,2.77,952.0,?,344.0,1
?,12.0,96.0,1.5,?,?,2.59,?,90.0,?,1
?,?,60.0,0.6,?,?,2.5,?,?,8.0,1
25.0,153.0,3825.0,?,0.255,?,2.08,?,?,?,1
7.0,?,?,?,?,0.738,1.84,?,62.0,?,1
5.0,16.0,80.0,?,?,1.0,1.36,?,?,25.0,1
?,?,287.0,5.857,0.226,0.784,?,65.0,225.0,?,1
?,?,328.0,?,0.265,?,2.35,?,202.0,?,1
?,155.0,?,?,0.257,0.584,?,?,995.0,?,1
?,?,42.0,1.167,?,?,30.0,30.0,36.0,1.0,1
?,?,440.0,3.636,0.27,0.618,1.8,119.0,?,66.0,1
?,?,245.0,5.0,?,?,2.81,?,206.0,42.0,1
?,?,324.0,?,?,0.926,3.51,?,300.0,51.0,1
5.0,118.0,590.0,23.6,0.154,?,1.44,91.0,?,63.0,1
8.0,6.0,48.0,?,0.396,0.813,?,?,39.0,?,1
7.0,63.0,441.0,9.0,?,?,1.99,?,?,?,1
9.0,12.0,108.0,1.3330000000000002,?,0.889,2.41,?,96.0,22.0,1
6.0,?,?,?,0.238,?,10.0,10.0,?,1.0,0
2.0,?,22.0,?,0.409,0.955,9.0,9.0,21.0,1.0,1
7.0,346.0,?,?,?,?,?,386.0,?,?,1
?,130.0,1690.0,10.0,?,0.6970000000000001,4.77,663.0,?,?,1
?,18.0,36.0,?,0.8059999999999999,0.833,?,29.0,30.0,1.0,0
?,10.0,10.0,?,1.0,?,?,10.0,?,?,0
9.0,?,729.0,9.0,?,?,?,?,?,?,1
9.0,?,378.0,?,?,?,?,?,346.0,?,1
?,?,?,7.8889999999999985,?,?,2.44,249.0,491.0,102.0,1
?,21.0,357.0,1.235,?,?,?,?,?,?,1
?,382.0,?,23.875,?,0.6,?,?,?,?,1
?,79.0,869.0,7.182,0.342,?,?,?,731.0,135.0,1
7.0,175.0,1225.0,?,?,0.906,?,?,1110.0,?,1
9.0,70.0,630.0,?,0.433,0.851,2.79,273.0,?,98.0,1
?,?,?,5.207999999999998,0.915,?,?,?,?,129.0,1
?,9.0,63.0,?,0.302,?,?,19.0,?,13.0,1
?,?,162.0,2.0,0.241,0.981,?,?,159.0,?,1
6.0,4.0,?,0.667,0.417,?,2.5,?,17.0,4.0,1
8.0,50.0,?,6.25,?,?,1.7,151.0,366.0,89.0,1
30.0,?,?,2.0,?,?,1.85,?,?,?,0
12.0,?,240.0,?,?,?,8.19,?,?,16.0,1
?,?,?,5.182,?,?,?,?,362.0,91.0,1
?,213.0,?,?,0.318,0.379,?,203.0,?,?,0
15.0,?,?,?,?,0.6509999999999999,?,1743.0,?,?,1
?,?,32.0,0.5,0.469,?,?,?,28.0,3.0,1
?,123.0,?,?,0.5,?,?,?,124.0,1.0,0
9.0,535.0,4815.0,?,?,0.6759999999999999,1.49,887.0,?,?,1
10.0,50.0,?,5.0,0.602,?,?,?,?,?,1
?,?,?,?,?,0.947,?,?,285.0,?,1
?,11.0,55.0,?,0.309,?,1.7,?,?,10.0,1
?,?,41.0,?,?,1.0,12.67,?,?,?,0
?,4.0,36.0,0.444,?,?,?,17.0,31.0,3.0,1
?,242.0,1936.0,?,0.171,0.409,1.45,331.0,?,?,1
?,?,75.0,?,?,1.0,?,69.0,75.0,?,0
24.0,?,6744.0,?,?,0.903,?,?,?,?,1
?,?,?,?,?,0.933,?,32.0,84.0,20.0,1
?,38.0,342.0,4.222,0.377,0.731,?,?,250.0,47.0,1
10.0,?,480.0,?,0.3,?,?,?,?,?,1
?,22.0,176.0,?,?,0.909,1.78,?,160.0,?,1
12.0,84.0,?,?,0.282,0.778,?,?,784.0,?,1
10.0,?,380.0,3.8,0.195,0.55,1.48,?,209.0,50.0,1
?,96.0,576.0,16.0,?,0.703,?,184.0,405.0,?,1
?,?,?,1.3,?,?,1.76,?,104.0,17.0,1
?,?,552.0,?,?,?,1.54,129.0,?,?,1
12.0,?,3084.0,?,?,?,3.0,?,1898.0,?,1
