Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Year,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,binaryClass
Mor,1,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,3268.0,18.01,3.26,?,?,?,?,?,?,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fr,1786.0,11.9,9.6,88.0,4.0,3.0,2.5,2.5,2.5,1
Cly,2,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,ob,1522.0,39.72,13.82,?,5.0,4.0,3.3,3.0,2.0,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,re,2553.0,25.57,17.43,50.0,3.7,3.0,2.7,3.0,2.0,0
Cly,2,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,nd,1596.0,24.42,10.47,?,4.5,4.0,4.3,3.7,3.3,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,el,1338.0,9.4,8.5,38.0,3.0,3.0,2.0,1.5,1.0,0
Lon,2,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,pa,2750.0,14.5,8.17,88.0,1.0,3.0,3.0,3.0,3.0,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2553.0,14.69,9.68,21.0,3.0,3.0,3.3,3.5,3.3,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,2426.0,8.3,5.93,4.0,2.0,3.5,3.0,3.0,3.0,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,bxs,1111.0,2.84,3.41,3.0,1.0,2.0,3.0,3.0,3.0,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2431.0,3.35,5.16,100.0,3.0,3.0,4.5,4.0,4.0,1
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,el,1338.0,7.3,5.6,3.5,3.0,2.5,2.5,2.5,1.5,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,el,2638.0,12.24,5.83,25.0,2.0,3.0,3.0,3.0,3.0,0
K82,1,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,fa,1482.0,19.66,12.21,100.0,4.5,4.0,4.0,3.0,2.7,1
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,co,2562.0,29.22,13.58,30.0,3.6,3.8,3.5,3.9,3.7,1
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,fa,2548.0,22.6,12.61,63.0,3.5,3.0,2.0,2.0,1.5,0
Nga,1,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,rd,1524.0,5.4,4.5,20.0,1.0,2.0,3.0,3.0,3.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,pu,1598.0,14.0,10.3,100.0,3.5,4.0,2.0,3.0,2.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,si,2435.0,15.0,13.0,2.5,3.0,4.0,4.0,4.0,2.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2574.0,12.41,9.68,67.0,4.0,4.0,3.5,4.0,3.0,1
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ov,2571.0,8.83,7.91,63.0,3.5,2.5,3.5,4.0,4.0,1
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,fa,2548.0,5.5,4.89,25.0,1.5,3.0,3.0,3.0,3.0,0
Nga,2,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,ov,1521.0,13.5,7.7,30.0,3.0,2.0,3.3,4.0,3.5,1
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,bxs,1111.0,15.0,8.4,88.0,3.0,3.0,3.0,3.0,2.0,0
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,el,1338.0,15.8,10.0,38.0,3.5,3.5,3.3,3.5,3.0,0
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,fa,2548.0,2.95,4.43,13.0,1.0,2.0,3.0,3.0,3.0,0
Lon,2,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,nd,2569.0,20.86,9.89,25.0,1.5,3.0,3.0,3.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,fr,2552.0,14.25,7.23,63.0,4.0,3.0,3.0,2.8,2.0,0
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,pa,2750.0,12.8,7.25,50.0,2.3,4.5,2.5,3.0,3.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ag,1094.0,1.03,2.17,13.0,2.0,2.0,2.0,2.0,2.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,ob,1337.0,24.5,13.5,75.0,5.0,3.0,4.0,4.0,2.5,0
K82,1,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,ka,2631.0,6.97,5.23,25.0,2.0,3.0,2.5,2.0,3.0,0
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,co,2562.0,14.87,15.56,38.0,3.5,3.5,3.3,3.3,3.0,1
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,rd,1524.0,12.2,13.8,50.0,2.0,1.5,3.0,3.0,3.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,sm,1340.0,7.7,6.1,2.0,2.0,2.0,2.0,3.0,0.5,0
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,2460.0,24.16,11.03,?,?,?,?,?,?,0
Lon,2,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,co,2562.0,17.62,9.9,88.0,3.3,3.3,3.0,3.5,3.3,1
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,bxs,1111.0,11.9,7.2,100.0,3.0,2.0,3.0,3.0,3.0,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,pu,2573.0,8.72,10.17,10.0,1.5,4.0,4.0,4.0,4.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,te,1609.0,21.89,8.21,?,?,?,?,?,?,0
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,3270.0,29.29,13.33,?,?,?,?,?,?,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ob,2469.0,13.4,12.3,88.0,4.0,3.0,3.5,3.0,2.5,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,pu,3273.0,24.72,10.58,?,?,?,?,?,?,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,re,2553.0,39.69,18.25,30.0,3.9,3.8,4.2,4.1,3.6,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,3271.0,23.46,10.68,?,?,?,?,?,?,0
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ov,2571.0,8.98,4.08,75.0,4.0,2.0,2.0,2.0,2.0,0
K82,1,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,nd,2634.0,6.6,8.1,50.0,2.8,4.0,3.0,4.0,3.5,0
Cly,3,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,rd,1524.0,22.72,11.52,?,3.0,2.5,3.5,3.5,2.8,1
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fr,1339.0,33.8,16.0,50.0,5.0,3.0,2.0,2.0,0.5,1
Lon,2,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,fa,1482.0,21.8,8.52,100.0,2.0,3.0,3.0,3.0,3.0,0
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,pu,1523.0,18.71,10.9,100.0,4.0,4.0,3.3,4.0,3.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fr,2447.0,20.8,12.6,63.0,4.0,3.0,3.3,3.5,3.5,1
Cly,3,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,co,1520.0,13.99,5.59,?,2.0,4.0,3.0,4.0,3.0,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nd,2634.0,5.43,4.44,9.0,1.0,2.0,2.0,3.0,3.0,0
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,nd,2634.0,10.97,9.97,75.0,3.5,3.0,3.2,4.0,3.0,1
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,fr,2552.0,15.05,9.05,25.0,4.0,4.0,2.0,1.5,1.0,0
K82,1,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,br,2620.0,2.29,3.2,50.0,1.0,1.0,3.0,3.0,3.0,0
Cly,2,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,pu,1523.0,31.72,9.96,?,4.5,4.0,3.5,3.5,3.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ov,1785.0,5.5,3.4,2.0,1.0,3.0,2.5,3.0,1.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fr,2447.0,21.4,12.7,75.0,4.6,4.0,3.0,3.0,3.0,0
K82,1,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,bxs,1111.0,6.02,3.63,38.0,2.5,3.0,3.0,3.0,3.0,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ka,1171.0,8.6,8.9,100.0,3.0,2.5,2.8,3.0,2.8,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ka,1171.0,3.5,2.9,75.0,1.0,1.0,3.0,3.0,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,br,2621.0,5.1,2.66,75.0,3.0,2.0,2.0,2.0,3.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,ag,1094.0,13.5,4.0,13.0,0.5,0.0,1.0,1.0,1.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ov,1788.0,6.76,6.76,75.0,1.0,1.0,3.0,3.0,3.0,0
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,re,2428.0,22.6,13.4,100.0,5.0,3.0,2.3,2.7,2.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,bxs,1111.0,16.4,13.3,100.0,4.5,3.0,3.3,3.3,2.7,1
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,rd,2575.0,9.84,5.67,100.0,1.5,1.5,2.0,2.0,2.0,0
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,3269.0,25.34,11.57,?,?,?,?,?,?,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fr,2447.0,6.9,7.3,88.0,3.5,3.0,3.0,3.5,3.0,1
Nga,1,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,co,1520.0,10.1,8.2,60.0,3.0,4.0,3.5,3.5,3.2,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,jo,1595.0,7.8,5.3,50.0,1.0,1.5,4.0,4.0,4.0,0
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,pu,2573.0,5.19,4.44,13.0,1.5,2.5,3.0,3.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,am,1592.0,19.34,8.3,100.0,3.5,3.5,2.5,3.5,2.5,1
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2553.0,11.96,9.91,33.0,4.0,4.0,4.0,4.0,4.0,1
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fr,1339.0,12.49,10.12,63.0,4.5,3.0,3.5,3.5,3.5,0
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ni,2568.0,9.13,7.02,13.0,2.8,2.5,3.0,3.0,2.5,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ov,1788.0,32.86,13.86,30.0,2.8,2.0,3.1,3.1,2.3,1
Nga,3,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,ov,1521.0,16.2,10.2,60.0,4.0,2.3,3.0,3.3,3.0,0
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,ob,1522.0,15.73,7.8,88.0,3.5,2.8,3.0,3.5,3.5,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,re,1787.0,19.6,16.6,100.0,5.0,3.0,4.0,4.0,3.0,0
Wen,1,Central_Poverty_Bay,N98_539/567,82__32,150,1750,-2,1986,co,?,30.93,13.05,?,?,?,?,?,?,0
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ov,1788.0,5.35,5.9,25.0,2.0,1.8,2.0,2.5,3.0,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,pu,1598.0,10.8,10.0,75.0,3.0,4.0,3.0,4.0,3.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,rd,1524.0,4.49,4.49,88.0,2.3,2.0,2.5,4.0,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,2426.0,17.42,9.01,45.0,4.5,4.5,3.0,2.0,1.5,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,jo,1595.0,2.8,2.92,75.0,2.5,1.8,3.2,3.5,3.5,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ka,1171.0,2.79,2.9,75.0,2.0,2.0,2.0,2.0,3.0,0
Cly,3,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,fr,1487.0,3.072,9.93,?,3.0,4.0,2.0,2.0,1.0,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ob,2570.0,10.16,7.74,100.0,3.0,3.0,4.0,4.0,4.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,1785.0,3.2,3.56,88.0,1.5,1.8,2.5,3.3,3.5,0
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,am,2560.0,17.35,16.11,38.0,3.0,3.0,2.5,3.5,2.5,1
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,fr,1487.0,13.15,9.65,90.0,4.5,4.0,3.5,3.5,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,rd,2575.0,9.63,5.11,50.0,1.0,0.5,2.0,2.0,2.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fr,1786.0,15.6,12.1,4.0,3.0,3.5,3.0,2.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,ob,2570.0,18.3,9.06,50.0,3.5,3.0,2.5,3.0,2.5,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,cr,1252.0,17.36,15.64,50.0,3.5,3.5,2.5,2.5,2.5,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,am,2560.0,16.04,8.66,100.0,3.0,4.0,4.0,4.0,4.0,1
Cra,3,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ov,1521.0,8.78,5.79,50.0,2.5,2.0,3.2,3.3,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ka,2631.0,5.75,4.26,75.0,2.0,3.0,2.0,2.0,2.0,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ob,2469.0,5.7,5.6,100.0,3.0,2.5,4.0,5.0,4.0,1
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2550.0,15.37,10.82,13.0,3.0,2.7,3.5,3.5,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,am,1592.0,14.22,11.45,35.0,3.0,3.0,3.0,4.0,3.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,1978.0,16.54,9.93,100.0,5.0,3.3,3.3,2.5,2.0,0
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,sm,1340.0,1.56,2.16,50.0,1.0,2.0,2.0,2.0,3.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,fa,2426.0,11.85,7.47,50.0,3.0,3.0,4.0,3.0,3.0,0
Cly,1,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,fr,1487.0,27.98,8.64,?,2.3,4.0,2.0,2.0,2.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,1596.0,32.88,14.98,?,?,?,?,?,?,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,am,2560.0,24.94,14.33,10.0,3.0,4.0,3.5,4.0,3.0,1
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,ra,1825.0,17.5,7.99,?,?,?,?,?,?,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,rd,1524.0,6.8,5.6,2.0,2.0,2.0,3.0,3.0,0.0,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,cr,1252.0,27.13,11.88,90.0,3.3,3.7,2.1,2.1,2.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,nd,1596.0,12.6,8.0,37.0,2.5,3.5,4.0,4.0,4.0,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,br,1112.0,7.83,6.68,100.0,3.0,1.8,3.5,4.0,4.0,1
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ni,2568.0,11.66,8.57,75.0,3.0,2.5,2.5,2.5,2.5,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,el,1338.0,7.28,7.45,63.0,4.0,3.0,3.3,3.3,3.0,1
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fa,1978.0,26.6,13.5,75.0,5.0,3.0,2.5,2.0,1.0,1
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,sm,1340.0,9.3,4.3,63.0,1.0,1.2,1.0,1.0,1.0,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ob,2570.0,17.59,12.2,50.0,3.0,2.7,3.0,3.5,2.7,0
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,pu,1523.0,19.05,11.26,100.0,5.0,4.5,3.5,4.0,2.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,pu,2573.0,27.66,11.83,?,?,?,?,?,?,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ob,1522.0,52.26,15.45,10.0,5.0,4.5,2.5,2.0,2.5,1
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nc,1780.0,6.24,4.85,25.0,2.5,4.0,3.0,3.0,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,2622.0,11.07,8.95,70.0,3.0,2.0,2.5,4.0,3.0,1
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ob,2458.0,18.88,10.53,63.0,3.5,3.0,2.0,2.0,1.5,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,br,1113.0,9.6,7.0,100.0,2.6,2.0,3.0,3.0,3.0,0
Wen,1,Central_Poverty_Bay,N98_539/567,82__32,150,1750,-2,1986,pu,?,38.51,16.46,?,?,?,?,?,?,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,fa,2548.0,49.34,16.85,10.0,5.0,4.5,3.5,3.5,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nd,2634.0,11.84,9.13,18.0,2.5,3.5,2.5,3.5,3.0,0
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,am,2560.0,4.39,5.19,50.0,2.5,3.5,3.0,4.5,4.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ov,1259.0,13.99,9.09,100.0,4.0,2.0,2.0,2.0,2.0,0
Nga,3,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,fr,1487.0,37.6,13.0,10.0,5.0,4.0,2.0,2.0,1.0,1
