FICE,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,binaryClass
3456,SC,IIA,464.0,378.0,327.0,378,578.0,474.0,413.0,474,73,78,70,19,1
2410,MS,IIA,425.0,391.0,337.0,362,511.0,471.0,407.0,436,81,79,114,54,0
2709,NY,IIB,352.0,289.0,275.0,303,436.0,366.0,363.0,387,11,6,14,1,1
9089,MO,IIB,?,284.0,248.0,258,?,366.0,308.0,324,4,8,21,5,1
2984,NC,IIA,533.0,419.0,366.0,421,648.0,511.0,449.0,514,94,105,108,1,0
11161,TX,IIA,475.0,396.0,334.0,400,604.0,513.0,440.0,517,49,44,45,4,1
1839,IN,IIB,395.0,324.0,291.0,340,485.0,395.0,356.0,415,23,28,10,3,1
3046,OH,IIB,?,?,?,345,?,?,?,438,0,0,0,0,1
3391,PA,IIB,407.0,332.0,297.0,333,541.0,453.0,399.0,451,20,11,22,11,1
1561,GA,IIA,456.0,375.0,333.0,396,588.0,491.0,437.0,515,75,50,51,2,1
1809,IN,I,674.0,479.0,399.0,540,852.0,615.0,507.0,685,624,344,305,1,0
2340,MN,IIB,638.0,486.0,394.0,521,807.0,604.0,505.0,659,68,36,45,4,1
2981,NC,IIA,515.0,439.0,364.0,414,627.0,537.0,448.0,506,71,106,93,1,0
2040,ME,IIB,464.0,348.0,292.0,385,594.0,448.0,377.0,496,47,26,13,14,1
2073,MD,IIB,529.0,387.0,358.0,411,661.0,489.0,452.0,518,21,27,23,4,1
3733,VA,IIB,522.0,395.0,313.0,399,632.0,484.0,385.0,488,22,30,21,6,1
2371,MN,IIB,373.0,339.0,313.0,333,510.0,454.0,406.0,441,13,16,27,1,1
3482,TN,IIB,414.0,347.0,312.0,345,509.0,435.0,395.0,432,22,28,32,4,1
2705,NY,IIA,456.0,408.0,329.0,374,534.0,503.0,403.0,455,19,50,46,14,1
2466,MO,IIB,350.0,298.0,302.0,304,431.0,370.0,374.0,377,12,6,8,14,1
3185,OK,IIA,686.0,500.0,404.0,513,835.0,608.0,493.0,625,84,108,73,20,0
6725,TN,I,605.0,461.0,403.0,486,757.0,576.0,502.0,607,53,60,40,11,1
1052,AL,I,633.0,445.0,366.0,461,786.0,569.0,475.0,587,106,163,107,19,0
2453,MO,IIB,402.0,336.0,252.0,310,478.0,403.0,308.0,374,11,20,22,3,1
3647,TX,IIA,696.0,477.0,389.0,548,860.0,610.0,497.0,686,95,61,57,3,1
3133,OH,IIB,335.0,266.0,241.0,272,425.0,314.0,297.0,333,9,12,14,1,1
3275,PA,IIB,480.0,395.0,335.0,364,599.0,504.0,432.0,465,12,14,33,16,1
2553,NE,IIB,372.0,?,278.0,301,449.0,?,346.0,371,14,4,25,9,1
1929,KS,IIB,337.0,290.0,265.0,293,394.0,343.0,299.0,340,11,14,10,3,1
1836,IN,IIB,524.0,391.0,331.0,388,675.0,509.0,435.0,505,21,43,52,1,1
2701,NY,IIB,669.0,505.0,406.0,539,848.0,637.0,497.0,677,78,61,56,3,1
1962,KY,IIB,354.0,291.0,272.0,286,438.0,362.0,337.0,355,17,23,32,20,1
2668,NY,IIA,520.0,427.0,367.0,439,641.0,538.0,467.0,548,46,25,36,6,1
3303,PA,IIB,497.0,383.0,314.0,359,623.0,490.0,397.0,454,8,18,20,7,1
2217,MA,IIB,513.0,428.0,354.0,423,657.0,541.0,458.0,539,24,56,36,0,1
3131,OH,I,608.0,457.0,379.0,486,750.0,572.0,481.0,607,217,152,167,20,0
3325,PA,IIA,660.0,552.0,429.0,549,842.0,723.0,576.0,716,117,97,100,6,0
1842,IN,IIA,559.0,423.0,372.0,446,681.0,525.0,459.0,548,67,58,74,5,1
1572,GA,IIA,495.0,408.0,328.0,363,623.0,509.0,407.0,453,105,135,254,109,0
1019,AL,IIB,339.0,303.0,287.0,301,421.0,371.0,347.0,366,8,15,19,2,1
2642,NJ,IIB,644.0,524.0,422.0,525,845.0,691.0,557.0,690,108,81,123,1,0
1380,CT,IIA,658.0,516.0,477.0,575,883.0,711.0,652.0,778,90,36,50,2,1
1817,IN,IIA,529.0,408.0,369.0,422,679.0,526.0,470.0,540,41,24,42,0,1
2551,NE,IIA,509.0,433.0,365.0,409,618.0,533.0,448.0,502,81,89,92,9,0
1358,CO,IIB,429.0,353.0,297.0,340,508.0,427.0,363.0,410,49,31,37,7,1
1610,HI,I,713.0,532.0,458.0,570,887.0,677.0,587.0,719,442,285,272,100,0
3184,OK,I,600.0,445.0,368.0,470,752.0,563.0,468.0,593,286,225,236,24,0
1133,CA,IIB,477.0,392.0,335.0,398,600.0,501.0,433.0,507,32,21,33,6,1
2041,ME,IIB,436.0,347.0,320.0,356,555.0,442.0,415.0,456,9,10,12,2,1
3623,TX,IIA,652.0,474.0,383.0,502,744.0,560.0,452.0,585,58,57,49,5,1
3394,PA,IIA,499.0,430.0,338.0,409,612.0,534.0,408.0,502,31,53,53,0,1
1315,CA,I,741.0,497.0,421.0,609,910.0,611.0,517.0,748,817,267,298,0,0
1948,KS,I,579.0,422.0,367.0,485,714.0,529.0,458.0,603,474,297,204,6,0
2358,MN,IIB,639.0,492.0,406.0,514,807.0,622.0,500.0,645,46,32,36,7,1
3258,PA,IIA,602.0,469.0,393.0,475,753.0,597.0,497.0,601,98,97,113,28,0
3265,PA,IIB,675.0,481.0,387.0,517,902.0,653.0,519.0,694,56,43,44,9,1
2241,MI,IIB,471.0,410.0,363.0,446,604.0,527.0,461.0,571,152,33,20,7,1
11163,TX,IIA,522.0,421.0,359.0,409,666.0,548.0,496.0,538,39,37,24,0,1
3531,TN,IIA,473.0,409.0,337.0,413,615.0,509.0,426.0,527,103,57,48,17,1
4673,MI,IIB,?,?,370.0,385,?,?,481.0,496,5,4,25,2,1
2078,MD,IIA,632.0,500.0,397.0,482,802.0,640.0,511.0,617,50,76,89,5,1
2388,MN,IIA,551.0,446.0,386.0,458,719.0,591.0,520.0,606,90,112,72,11,0
3681,UT,IIB,445.0,367.0,325.0,359,578.0,459.0,399.0,448,15,25,35,4,1
1385,CT,IIA,685.0,545.0,452.0,545,894.0,733.0,603.0,721,62,43,81,6,1
1664,IL,IIB,446.0,422.0,345.0,392,551.0,524.0,435.0,489,12,15,23,0,1
2218,MA,IIA,727.0,548.0,484.0,611,925.0,706.0,599.0,777,111,73,33,15,1
3422,SC,IIB,293.0,247.0,214.0,264,366.0,311.0,261.0,329,20,7,9,0,1
3658,TX,I,732.0,476.0,432.0,577,888.0,599.0,548.0,713,997,439,480,30,0
3032,OH,IIA,611.0,459.0,390.0,486,750.0,575.0,495.0,606,166,223,128,14,0
2327,MI,IIA,566.0,460.0,409.0,437,708.0,582.0,522.0,555,43,46,57,1,1
2713,NY,IIB,?,400.0,354.0,365,?,508.0,438.0,454,4,10,19,9,1
1325,CA,IIA,617.0,486.0,405.0,514,811.0,644.0,538.0,680,129,59,80,19,0
2109,MD,IIB,477.0,379.0,313.0,412,612.0,489.0,400.0,530,36,30,10,3,1
1684,IL,IIB,374.0,331.0,292.0,336,466.0,424.0,370.0,422,27,11,15,4,1
1174,CA,IIB,611.0,458.0,372.0,511,776.0,588.0,495.0,658,28,10,15,1,1
1744,IL,IIB,465.0,400.0,345.0,395,572.0,540.0,414.0,490,20,9,13,7,1
8795,OH,IIA,441.0,348.0,300.0,316,571.0,457.0,398.0,418,30,15,17,3,1
3813,WV,IIB,396.0,325.0,274.0,298,484.0,405.0,341.0,371,12,17,28,16,1
2091,MD,IIA,543.0,445.0,357.0,404,679.0,562.0,458.0,513,54,63,78,8,1
2729,NY,IIB,505.0,423.0,340.0,419,628.0,517.0,409.0,513,50,23,36,0,1
1816,IN,IIA,544.0,445.0,391.0,420,696.0,571.0,495.0,537,32,56,57,0,1
1044,AL,IIB,321.0,288.0,251.0,272,388.0,354.0,312.0,335,13,18,18,10,1
3069,OH,IIB,?,330.0,283.0,280,?,413.0,371.0,361,2,8,15,22,1
3825,WV,IIB,408.0,340.0,297.0,349,502.0,419.0,369.0,431,54,43,29,11,1
10392,VA,IIA,401.0,341.0,279.0,327,458.0,389.0,322.0,375,44,56,51,17,1
1122,CA,IIA,455.0,369.0,303.0,370,582.0,462.0,371.0,464,32,57,31,6,1
2190,MA,IIA,528.0,456.0,370.0,463,669.0,585.0,483.0,593,81,44,30,13,1
3089,OH,IIB,511.0,431.0,371.0,437,639.0,546.0,465.0,550,55,53,39,8,1
1403,CT,IIB,546.0,444.0,374.0,435,686.0,566.0,478.0,553,19,55,30,7,1
9743,NE,IIB,379.0,340.0,289.0,317,449.0,404.0,346.0,378,6,12,23,0,1
3227,OR,IIB,596.0,390.0,345.0,478,758.0,524.0,466.0,621,69,43,28,4,1
3644,TX,I,610.0,429.0,363.0,468,762.0,550.0,472.0,595,270,216,220,14,0
2016,LA,IIA,593.0,451.0,393.0,476,728.0,560.0,482.0,587,77,103,45,2,1
3230,PA,IIB,576.0,414.0,332.0,415,744.0,537.0,418.0,532,36,46,54,8,1
2559,NE,IIB,483.0,402.0,308.0,367,584.0,493.0,385.0,452,14,8,19,9,1
3466,SD,IIA,417.0,333.0,297.0,337,498.0,402.0,362.0,407,27,30,35,12,1
1262,CA,IIB,507.0,393.0,358.0,429,637.0,523.0,468.0,549,43,21,23,7,1
2498,MO,IIB,341.0,320.0,283.0,299,407.0,388.0,336.0,356,10,8,24,3,1
3317,PA,IIA,692.0,554.0,379.0,550,884.0,732.0,530.0,725,35,35,21,7,1
6951,SC,IIB,433.0,368.0,303.0,366,529.0,452.0,376.0,450,49,43,16,21,1
3721,VA,IIA,521.0,447.0,366.0,441,647.0,560.0,466.0,553,187,151,131,39,0
2015,LA,IIA,512.0,378.0,352.0,404,609.0,453.0,423.0,483,199,128,116,67,0
10311,AR,IIB,424.0,374.0,335.0,380,512.0,461.0,401.0,460,80,46,41,8,1
3565,TX,IIA,494.0,378.0,351.0,418,625.0,487.0,456.0,536,107,66,58,13,1
2440,MS,I,558.0,428.0,384.0,440,676.0,524.0,471.0,537,138,111,158,29,0
10300,SD,I,480.0,364.0,340.0,362,570.0,438.0,410.0,436,88,75,134,55,0
2347,MN,IIB,407.0,363.0,319.0,353,493.0,443.0,394.0,433,14,12,23,1,1
3620,TX,IIB,627.0,470.0,373.0,478,763.0,581.0,465.0,590,22,33,25,3,1
2909,NC,IIB,352.0,312.0,287.0,297,412.0,360.0,335.0,347,13,12,14,13,1
1131,CA,I,970.0,733.0,576.0,866,1204.0,909.0,717.0,1075,173,40,44,0,1
1350,CO,I,598.0,447.0,403.0,517,714.0,534.0,481.0,617,483,255,188,0,0
2537,MT,IIA,388.0,330.0,289.0,313,473.0,407.0,359.0,386,8,12,22,4,1
3815,WV,IIA,477.0,390.0,309.0,390,576.0,478.0,384.0,477,144,121,102,30,0
2608,NJ,IIB,490.0,425.0,373.0,403,592.0,509.0,450.0,487,19,13,30,8,1
3875,WI,IIB,375.0,296.0,271.0,325,458.0,354.0,344.0,397,19,15,7,2,1
1137,CA,IIA,605.0,493.0,387.0,544,760.0,637.0,506.0,690,393,120,105,5,0
3735,VA,I,610.0,492.0,404.0,491,753.0,611.0,501.0,609,220,310,211,43,0
3702,VA,IIB,372.0,319.0,281.0,328,454.0,395.0,342.0,400,19,15,11,3,1
3809,WV,IIB,409.0,315.0,268.0,310,483.0,388.0,341.0,384,23,22,34,12,1
1639,IL,IIB,?,?,?,312,?,?,?,370,0,0,0,0,1
1881,IA,IIA,?,?,?,302,?,?,?,373,0,0,0,0,1
1822,IN,IIB,396.0,342.0,294.0,335,492.0,431.0,367.0,418,22,23,34,2,1
3449,SC,IIB,461.0,392.0,317.0,374,563.0,481.0,392.0,457,30,39,36,12,1
1433,DE,IIB,448.0,373.0,334.0,376,565.0,449.0,396.0,456,14,12,22,1,1
3631,TX,IIA,446.0,399.0,347.0,354,570.0,516.0,455.0,462,42,48,48,62,1
2103,MD,I,703.0,487.0,406.0,539,865.0,608.0,505.0,669,535,388,163,133,0
1345,CO,IIA,436.0,356.0,321.0,360,527.0,444.0,400.0,444,29,21,40,8,1
1055,AL,IIA,636.0,443.0,375.0,451,771.0,540.0,455.0,548,72,87,98,7,0
1963,KY,IIA,519.0,439.0,371.0,442,648.0,551.0,468.0,555,237,135,185,29,0
2516,MO,I,603.0,456.0,407.0,485,729.0,560.0,499.0,592,336,256,244,63,0
1781,IL,IIA,510.0,437.0,368.0,452,640.0,569.0,461.0,574,67,54,32,3,1
2572,NH,IIB,397.0,380.0,277.0,329,488.0,468.0,349.0,410,9,9,19,1,1
1767,IL,IIA,463.0,395.0,315.0,409,576.0,493.0,403.0,511,38,36,17,0,1
2838,NY,I,755.0,534.0,414.0,589,961.0,688.0,526.0,751,346,216,183,24,0
2367,MN,IIA,512.0,421.0,353.0,419,651.0,544.0,461.0,540,131,65,120,29,0
9563,IN,I,500.0,394.0,343.0,423,647.0,513.0,438.0,545,248,133,151,16,0
3471,SD,IIA,440.0,368.0,326.0,368,521.0,440.0,392.0,440,132,67,122,44,0
8155,WA,IIB,?,?,?,430,?,?,?,541,0,0,0,0,1
1591,GA,IIB,370.0,308.0,294.0,317,439.0,368.0,355.0,379,16,17,17,5,1
1688,IL,IIB,522.0,424.0,347.0,424,621.0,503.0,410.0,502,16,18,14,3,1
3754,VA,I,655.0,467.0,404.0,519,802.0,582.0,506.0,641,598,526,270,91,0
2920,NC,I,854.0,584.0,459.0,699,1055.0,728.0,553.0,862,330,149,141,0,0
1531,FL,IIA,622.0,437.0,370.0,477,794.0,561.0,467.0,605,61,52,65,2,1
3270,PA,IIB,356.0,316.0,269.0,280,428.0,383.0,330.0,341,13,18,51,16,1
7540,MO,IIB,?,294.0,281.0,265,?,389.0,360.0,344,1,7,10,11,1
3842,WI,IIB,416.0,391.0,340.0,348,507.0,509.0,434.0,443,10,14,35,1,1
2029,LA,I,713.0,514.0,418.0,564,876.0,646.0,514.0,699,172,166,115,3,0
2554,NE,IIA,528.0,446.0,417.0,452,635.0,540.0,507.0,547,149,115,97,36,0
3621,TX,IIB,469.0,385.0,331.0,380,552.0,454.0,392.0,448,12,45,24,2,1
3436,SC,IIB,277.0,282.0,250.0,264,319.0,328.0,287.0,303,7,8,11,2,1
3732,VA,IIA,499.0,393.0,354.0,407,613.0,488.0,443.0,505,137,119,92,43,0
1138,CA,IIA,606.0,491.0,384.0,552,762.0,629.0,503.0,699,258,69,49,7,0
3241,PA,IIB,471.0,?,354.0,398,597.0,?,448.0,503,15,5,18,3,1
9862,NE,IIB,?,407.0,377.0,368,?,469.0,434.0,425,1,6,8,11,1
3244,PA,IIB,492.0,397.0,323.0,394,628.0,503.0,407.0,500,13,12,16,2,1
2010,LA,I,594.0,437.0,379.0,464,711.0,527.0,461.0,559,561,387,313,178,0
1146,CA,IIA,604.0,482.0,395.0,558,758.0,631.0,518.0,707,413,86,73,2,0
2128,MA,I,784.0,569.0,496.0,614,964.0,717.0,604.0,761,165,245,126,10,0
1347,CO,IIB,613.0,488.0,398.0,525,776.0,621.0,509.0,665,63,38,26,1,1
3768,VA,IIB,685.0,487.0,397.0,592,842.0,605.0,480.0,728,84,30,24,0,1
3224,OR,IIA,587.0,437.0,387.0,436,716.0,542.0,470.0,536,26,57,42,2,1
3401,RI,I,752.0,515.0,433.0,625,956.0,659.0,554.0,797,286,100,111,0,0
2960,NC,IIB,378.0,349.0,283.0,324,466.0,451.0,349.0,407,9,15,17,3,1
2062,MD,IIA,510.0,433.0,349.0,401,647.0,554.0,452.0,515,31,28,51,14,1
2343,MN,IIB,461.0,374.0,327.0,345,568.0,466.0,421.0,436,14,31,50,18,1
1149,CA,IIA,593.0,468.0,387.0,543,746.0,603.0,507.0,688,213,38,50,0,0
3050,OH,IIA,587.0,473.0,389.0,465,717.0,586.0,490.0,576,59,56,74,14,1
3379,PA,I,736.0,516.0,421.0,547,910.0,653.0,537.0,688,427,402,373,63,0
2926,NC,IIB,472.0,415.0,338.0,398,580.0,510.0,420.0,489,32,32,16,3,1
2117,MA,IIB,407.0,364.0,318.0,341,499.0,470.0,377.0,416,6,9,14,4,1
3167,OK,IIB,427.0,369.0,336.0,362,528.0,459.0,434.0,454,13,18,11,10,1
1090,AR,IIA,520.0,433.0,342.0,398,646.0,541.0,431.0,498,103,87,141,63,0
2599,NJ,IIB,?,305.0,252.0,266,?,371.0,310.0,326,1,10,16,9,1
1950,KS,IIA,555.0,417.0,361.0,415,679.0,518.0,450.0,514,101,154,188,24,0
10395,CA,IIA,719.0,533.0,452.0,575,904.0,678.0,569.0,725,105,72,76,12,0
10286,NY,IIB,543.0,437.0,361.0,430,706.0,562.0,468.0,554,33,47,35,3,1
3480,TN,IIB,287.0,?,255.0,262,345.0,?,307.0,323,9,4,9,5,1
2631,NJ,IIA,893.0,640.0,526.0,693,1097.0,812.0,682.0,871,141,125,73,16,0
2227,MA,IIB,602.0,435.0,357.0,486,740.0,539.0,448.0,601,44,16,25,6,1
1869,IA,I,684.0,506.0,404.0,534,842.0,635.0,514.0,666,467,353,284,84,0
2712,NY,IIB,404.0,385.0,327.0,359,485.0,456.0,390.0,427,15,22,32,7,1
1314,CA,I,708.0,488.0,423.0,574,870.0,599.0,520.0,705,319,161,138,0,0
2500,MO,IIB,446.0,392.0,350.0,393,547.0,483.0,425.0,482,27,25,23,4,1
2199,MA,I,688.0,525.0,460.0,543,880.0,689.0,599.0,705,236,260,176,0,0
2584,NH,IIB,335.0,299.0,261.0,286,393.0,383.0,312.0,349,6,11,13,4,1
6964,NJ,I,846.0,611.0,478.0,665,1045.0,780.0,624.0,838,601,393,258,90,0
2817,NY,IIA,492.0,398.0,377.0,425,642.0,535.0,495.0,562,56,51,43,4,1
1487,FL,IIB,534.0,424.0,357.0,436,676.0,547.0,472.0,563,32,18,37,0,1
2032,LA,IIA,459.0,389.0,332.0,352,546.0,456.0,386.0,413,37,41,91,34,1
2772,NY,IIB,524.0,399.0,341.0,416,640.0,493.0,423.0,511,53,38,48,6,1
1749,IL,IIA,484.0,405.0,359.0,416,610.0,517.0,464.0,531,50,58,42,2,1
3008,ND,IIB,403.0,368.0,313.0,340,501.0,462.0,383.0,425,12,14,16,6,1
2610,NJ,IIB,?,351.0,311.0,320,?,422.0,375.0,385,1,14,24,5,1
1960,KY,IIB,359.0,315.0,289.0,313,416.0,370.0,333.0,363,15,22,26,3,1
7993,CA,IIA,597.0,482.0,377.0,499,752.0,619.0,495.0,637,95,48,50,13,1
1887,IA,IIB,491.0,377.0,339.0,394,645.0,473.0,434.0,504,25,11,17,14,1
1946,KS,IIB,304.0,?,222.0,257,385.0,?,282.0,326,8,5,8,3,1
2389,MN,IIB,533.0,399.0,334.0,389,697.0,534.0,457.0,522,27,23,45,17,1
3584,TX,IIB,404.0,343.0,319.0,349,525.0,431.0,428.0,449,15,18,11,6,1
2441,MS,I,562.0,438.0,352.0,438,664.0,520.0,420.0,520,183,162,160,58,0
3016,OH,IIB,368.0,309.0,272.0,312,466.0,389.0,347.0,399,16,13,19,1,1
2711,NY,I,651.0,511.0,431.0,549,847.0,691.0,598.0,732,318,231,105,41,0
3818,WV,IIB,385.0,347.0,324.0,333,484.0,440.0,413.0,423,10,21,21,15,1
3892,WI,IIB,546.0,445.0,353.0,415,712.0,585.0,457.0,541,15,45,42,7,1
3427,SC,IIB,425.0,359.0,318.0,358,521.0,425.0,378.0,430,14,9,18,2,1
2580,NH,IIA,567.0,425.0,356.0,459,728.0,558.0,464.0,597,31,32,15,5,1
2905,NC,IIA,524.0,448.0,409.0,432,637.0,547.0,496.0,526,68,106,116,15,0
2814,NY,IIB,642.0,492.0,397.0,498,831.0,639.0,516.0,646,42,69,48,5,1
3479,TN,IIA,484.0,372.0,315.0,382,573.0,445.0,377.0,455,42,54,45,7,1
1083,AZ,I,648.0,462.0,411.0,537,771.0,561.0,498.0,645,647,377,272,2,0
2461,MO,IIB,448.0,394.0,323.0,375,546.0,483.0,400.0,460,26,23,31,2,1
3749,VA,I,753.0,524.0,445.0,568,909.0,650.0,550.0,696,210,266,156,43,0
3041,OH,IIB,373.0,333.0,277.0,326,438.0,388.0,330.0,382,14,18,11,0,1
2234,MI,IIB,439.0,365.0,316.0,386,559.0,466.0,407.0,493,37,8,14,7,1
3529,TN,IIA,494.0,420.0,365.0,428,628.0,525.0,452.0,538,113,60,79,11,0
1801,IN,IIB,555.0,437.0,377.0,432,682.0,539.0,455.0,524,28,16,35,13,1
1586,GA,IIB,516.0,454.0,329.0,450,630.0,550.0,390.0,546,21,9,10,0,1
3315,PA,IIA,669.0,538.0,428.0,528,856.0,710.0,580.0,696,98,109,131,10,0
1249,CA,IIB,624.0,469.0,388.0,490,806.0,593.0,482.0,621,49,42,33,15,1
3955,FL,IIA,489.0,391.0,350.0,390,636.0,505.0,458.0,507,59,65,75,22,1
2524,MO,IIB,422.0,342.0,306.0,364,529.0,458.0,391.0,463,42,12,31,3,1
2532,MT,I,497.0,397.0,346.0,407,602.0,487.0,427.0,498,154,146,144,24,0
3362,PA,IIB,489.0,380.0,329.0,368,575.0,479.0,403.0,453,7,23,24,1,1
1928,KS,I,550.0,419.0,368.0,440,686.0,530.0,466.0,554,305,231,259,63,0
1868,IA,IIB,642.0,517.0,405.0,513,809.0,641.0,496.0,638,46,36,52,3,1
3235,PA,IIA,496.0,405.0,353.0,381,652.0,532.0,462.0,500,12,20,32,2,1
2072,MD,IIA,498.0,423.0,366.0,416,646.0,538.0,468.0,530,76,56,70,8,1
2520,MO,I,782.0,534.0,451.0,601,952.0,652.0,540.0,730,264,136,175,18,0
3005,ND,I,460.0,391.0,345.0,379,572.0,489.0,431.0,473,130,124,163,27,0
2810,NY,IIA,487.0,409.0,351.0,397,609.0,506.0,435.0,493,19,56,37,6,1
1972,KY,IIB,?,359.0,278.0,294,?,427.0,331.0,349,2,7,11,18,1
3243,PA,IIB,475.0,392.0,318.0,375,591.0,495.0,392.0,468,14,17,29,0,1
1363,CO,IIB,489.0,434.0,349.0,424,626.0,531.0,428.0,527,16,26,12,2,1
1544,GA,IIB,444.0,395.0,335.0,371,578.0,519.0,437.0,484,38,24,68,8,1
3969,MN,I,662.0,468.0,418.0,557,842.0,613.0,552.0,719,785,468,271,12,0
1788,IN,IIA,521.0,442.0,366.0,439,650.0,551.0,447.0,544,72,66,77,3,1
3229,PA,IIB,488.0,396.0,359.0,430,648.0,514.0,451.0,562,39,21,15,3,1
2735,NY,IIB,318.0,?,261.0,278,376.0,?,315.0,336,6,3,12,7,1
2844,NY,IIA,562.0,438.0,350.0,450,731.0,569.0,451.0,585,93,65,54,15,1
3917,WI,IIA,489.0,410.0,372.0,428,627.0,533.0,487.0,555,167,126,112,12,0
1733,IL,IIA,490.0,405.0,337.0,348,566.0,472.0,394.0,405,20,51,120,23,1
1480,FL,IIA,524.0,426.0,359.0,424,661.0,543.0,460.0,540,103,123,111,27,0
2473,MO,IIB,440.0,?,299.0,373,535.0,?,357.0,450,26,1,13,7,1
1601,GA,IIA,466.0,391.0,353.0,392,595.0,502.0,454.0,502,98,50,97,27,0
3715,VA,IIB,498.0,398.0,306.0,388,609.0,512.0,374.0,484,18,27,23,3,1
2052,ME,IIB,?,338.0,297.0,318,?,404.0,341.0,374,2,7,8,0,1
1009,AL,I,580.0,437.0,374.0,455,692.0,527.0,451.0,546,366,354,301,66,0
1036,AL,IIA,565.0,425.0,363.0,449,710.0,556.0,476.0,578,83,46,77,9,1
1937,KS,IIB,338.0,292.0,264.0,284,410.0,348.0,309.0,338,13,12,22,8,1
1106,AR,IIB,?,?,264.0,266,?,?,327.0,331,4,4,12,4,1
1317,CA,I,723.0,487.0,401.0,595,888.0,598.0,493.0,732,405,147,130,0,0
1820,IN,IIB,412.0,340.0,289.0,340,527.0,416.0,348.0,420,24,22,17,11,1
3799,WA,IIB,333.0,314.0,300.0,312,403.0,382.0,367.0,379,45,20,36,13,1
3651,TX,IIA,474.0,432.0,364.0,395,578.0,550.0,446.0,489,23,35,25,1,1
9651,TX,IIB,445.0,432.0,380.0,404,570.0,554.0,494.0,522,10,16,18,4,1
1693,IL,IIA,460.0,378.0,359.0,394,529.0,439.0,418.0,455,139,88,71,0,0
2414,MS,IIB,498.0,376.0,322.0,387,615.0,478.0,381.0,475,25,27,29,4,1
1436,MD,IIB,?,344.0,?,352,?,406.0,?,416,5,7,5,0,1
3367,PA,IIA,594.0,484.0,427.0,487,764.0,628.0,539.0,623,39,50,63,2,1
2055,ME,IIB,465.0,355.0,284.0,360,582.0,459.0,366.0,462,7,24,8,0,1
1859,IA,IIB,411.0,356.0,308.0,355,548.0,470.0,406.0,472,30,14,16,12,1
2835,NY,I,732.0,526.0,407.0,576,934.0,679.0,524.0,739,260,217,125,0,0
10115,TX,IIA,546.0,441.0,379.0,429,685.0,562.0,489.0,548,61,120,108,6,0
1466,FL,IIA,488.0,420.0,350.0,394,598.0,508.0,424.0,477,39,77,84,15,1
