Analysis;DatasetID;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;Denoise_autoencoder_imputation;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection;no_indicators_and_Gain_Imputer;no_indicators_and_Mean-Mode_Imputation;no_indicators_and_Missing_Forest_Imputation;no_indicators_and_Soft_Imputation;no_indicators_and_PPCA_Imputation;no_indicators_and_Denoise_autoencoder_imputation;Indicator_Variables_and_Gain_Imputer;Indicator_Variables_and_Mean-Mode_Imputation;Indicator_Variables_and_Missing_Forest_Imputation;Indicator_Variables_and_Soft_Imputation;Indicator_Variables_and_PPCA_Imputation;Indicator_Variables_and_Denoise_autoencoder_imputation
MAR_10_segment_outcome;798;18;18;18;18;18;18;18;37;36;37;37;37;37;37;37;37;6;37;37;4;4;4;6;4;4;37;4;10;8;6;12;3;4;4;10;8;7;3;6;4;4;18;18;6;18;18;4;37;37;6;37;37;4
MAR_25_segment_outcome;799;18;18;18;18;18;18;18;37;36;37;37;37;37;36;37;37;36;37;37;37;6;7;6;18;36;36;36;10;10;6;12;5;8;6;14;13;10;7;6;11;6;18;18;18;18;18;18;37;37;36;37;37;37
MAR_25_boston_outcome;746;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;26;13;6;13;13;5;2;2;13;13;13;26;6;6;7;7;3;6;6;5;6;7;3;5;6;5;5;13;13;13;13;13;26;26;26;26;3;26
MAR_10_image_outcome;800;135;?;135;135;135;135;135;270;?;270;270;270;270;270;135;270;?;270;270;270;21;6;135;135;270;270;270;16;19;?;23;11;21;21;19;19;23;11;?;21;21;135;135;?;135;135;135;270;270;?;270;270;270
MAR_10_parkinsons_outcome;791;22;22;22;22;22;22;22;44;44;44;44;44;44;44;44;44;22;22;1;1;1;1;1;1;1;22;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;22;1;22;22;22;1;1;1;1;44;44;1
MAR_25_parkinsons_outcome;792;22;22;22;22;22;22;22;44;44;44;44;44;44;44;22;22;1;22;44;22;1;1;1;22;22;22;1;3;3;1;5;1;2;1;4;6;5;1;1;5;1;22;22;1;22;22;22;6;44;1;44;44;5
MAR_25_image_outcome;801;135;?;135;135;135;135;135;270;?;270;270;270;270;270;135;270;?;135;270;135;21;6;14;135;135;135;270;7;8;?;21;12;21;21;9;8;21;15;?;21;21;135;135;?;135;135;135;270;270;?;270;270;270
MAR_50_zoo_outcome;802;16;16;16;16;16;16;16;32;32;32;32;32;32;32;16;32;16;32;16;16;2;1;16;16;16;16;32;9;13;3;6;6;13;5;14;4;5;4;9;4;1;16;16;16;16;16;16;32;32;32;32;32;32
MAR_50_stock_outcome;803;9;9;9;9;9;9;9;18;18;18;18;18;18;18;18;18;18;9;9;8;6;5;18;9;18;18;18;8;9;6;7;1;8;8;8;8;7;5;6;11;8;9;9;9;9;9;8;18;18;18;18;18;18
MAR_50_segment_outcome;804;18;18;18;18;18;18;18;37;36;37;37;37;37;36;37;37;36;37;18;37;12;5;13;18;36;36;36;17;17;10;8;5;18;9;19;16;20;11;14;16;10;10;18;18;18;18;18;37;37;36;37;37;37
MAR_50_parkinsons_outcome;805;22;22;22;22;22;22;22;44;44;44;44;44;44;44;44;44;22;22;22;22;1;2;1;22;22;22;44;4;4;2;8;1;3;1;3;11;9;3;6;10;3;22;22;22;8;22;22;44;44;44;44;44;44
MAR_50_page-blocks_outcome;806;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;14;16;18;4;20;10;20;20;20;10;10;8;7;4;10;10;16;14;12;4;10;16;18;10;10;10;10;10;10;20;14;20;20;20;16
MAR_50_image_outcome;807;135;?;135;135;135;135;135;270;?;270;270;270;270;270;270;270;?;135;135;135;12;9;135;135;135;135;270;8;10;?;24;12;9;12;18;21;22;12;?;13;12;135;135;?;135;135;135;270;270;?;270;270;270
MAR_50_churn_outcome;808;20;20;20;20;20;20;20;40;40;40;40;40;40;40;13;40;7;13;40;15;15;6;40;15;15;20;40;11;9;6;7;13;15;15;9;10;10;15;10;8;8;13;20;7;20;13;15;40;40;40;40;40;8
MAR_50_boston_outcome;747;13;13;13;13;13;13;13;26;26;26;26;26;26;26;3;13;4;7;8;9;5;2;5;4;4;13;4;7;8;4;8;3;9;4;7;7;5;3;4;12;5;8;8;4;13;13;9;8;7;5;26;3;12
MAR_10_compas-two-years_outcome;781;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;26;13;7;8;26;7;5;7;13;13;13;6;6;8;7;3;4;6;6;7;8;4;5;7;6;6;6;8;13;13;13;6;7;8;6;26;26;26
MAR_10_Australian_outcome;742;14;14;14;14;14;14;14;28;28;28;28;28;28;28;28;14;14;28;9;9;9;4;9;14;14;14;28;8;5;3;3;7;4;3;8;9;4;7;3;9;9;14;5;14;14;14;4;28;9;28;28;28;9
MAR_25_Australian_outcome;743;14;14;14;14;14;14;14;28;28;28;28;28;28;28;10;8;3;28;10;10;10;3;10;3;10;28;10;3;10;3;7;9;9;3;5;10;8;10;3;10;10;14;14;3;7;9;9;28;10;3;8;10;10
MAR_50_Australian_outcome;744;14;14;14;14;14;14;14;28;28;28;28;28;28;28;8;6;6;8;10;10;5;3;5;6;5;14;6;8;6;5;5;8;7;7;6;10;6;8;4;10;6;7;6;6;5;14;7;6;10;4;6;8;10
MAR_10_boston_outcome;745;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;4;4;5;5;5;4;3;3;4;5;13;5;4;5;4;4;4;5;4;4;5;4;4;4;5;5;5;5;4;4;13;5;4;5;4;4;26;5
